Gene = Gtpbp6
index = 529
Annotated 5SS: [ 342 1138 1328 1545 1932 2999 3308 3688 3930]
Annotated 3SS: [ 999 1256 1413 1860 2839 3098 3538 3776 4028]
SMsplice 5SS: [ 342 1138 1932 2950 3308 3688 3930]
SMsplice 3SS: [ 999 1860 2839 3098 3538 3776 4028]
top_k =  100
Partition function (log Z): 9.396311031237955

Sorted 5' Splice Sites (High to Low Probability):
Position 1138: 0.9804400035759143
Position 1932: 0.9105608021508829
Position 3930: 0.8980553160954052
Position 3688: 0.8100482455375413
Position 342: 0.7701707623371912
Position 3308: 0.7089910544904863
Position 2950: 0.6923553723237271
Position 1545: 0.3462913508234528
Position 2999: 0.29287306724289286
Position 1328: 0.18392767529347193
Position 349: 0.16098992065248977
Position 3220: 0.15627514036255022
Position 3129: 0.07501742195647126
Position 3697: 0.0536818824556916
Position 1945: 0.049106982618167726
Position 686: 0.0399439875675811
Position 1553: 0.032341596208982144
Position 3889: 0.029936112286364044
Position 2476: 0.015520001149915728
Position 2069: 0.013481417643432565
Position 152: 0.011429394712168717
Position 3671: 0.010243650773385286
Position 1145: 0.010026028463542919
Position 2980: 0.008576741391005106
Position 1915: 0.008325631346488838
Position 554: 0.006915785362169288
Position 107: 0.006576289626313498
Position 3861: 0.0061252112166863245
Position 2515: 0.005819240408189398
Position 665: 0.0045894236692769945
Position 2204: 0.004017968280575339
Position 3563: 0.003820531013584067
Position 2973: 0.003478451096887081
Position 185: 0.002465974861322298
Position 2195: 0.002422346003115335
Position 454: 0.002211432845973678
Position 707: 0.0019541615233594333
Position 213: 0.0019422463727424343
Position 528: 0.0017808324886792527
Position 3904: 0.0017520841369722847
Position 1336: 0.0017218401600786215
Position 853: 0.0011719516580466422
Position 1373: 0.0006816070526918104
Position 125: 0.0005811180446978408
Position 1285: 0.0005416903473946753
Position 4128: 0.0005085250729020873
Position 166: 0.000427046163989304
Position 1052: 0.00022378744540750412
Position 180: 0.0001842684790806245
Position 192: 0.00015938759959772025
Position 120: 0.00015728389758820873
Position 2961: 0.00013235517572664237
Position 2977: 0.0001256902226007363
Position 74: 0.00010973647603480184
Position 134: 9.065713145199451e-05
Position 1032: 8.554720464995056e-05
Position 189: 2.1300292768129322e-05
Position 1436: 1.863241717086378e-05
Position 83: 1.6245357023012077e-05
Position 72: 3.6654672506712955e-06
Position 92: 3.3318258795487587e-06
Position 58: 1.1438866010354193e-06
Position 549: 2.3284629450259872e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2839: 0.9857709037283798
Position 4028: 0.9760404616578605
Position 3776: 0.9534250545948069
Position 1860: 0.8634597724838623
Position 3098: 0.798065245558293
Position 3538: 0.7883042097976417
Position 999: 0.7852929992237259
Position 1256: 0.24530788011721102
Position 1413: 0.16101673407771305
Position 1454: 0.12184707156815348
Position 922: 0.08673406133197414
Position 1047: 0.08495274615688339
Position 3250: 0.07285750406302259
Position 1723: 0.06811545824582804
Position 3145: 0.05239151171426655
Position 3455: 0.05028255890267873
Position 1804: 0.030575444131801695
Position 1010: 0.02395926554896104
Position 3425: 0.022037561712728217
Position 1416: 0.01749969176973392
Position 3384: 0.016405804231557304
Position 1261: 0.015174595237238417
Position 1758: 0.012619527206229181
Position 3103: 0.012289092996800748
Position 2317: 0.009422873676634084
Position 2341: 0.007436049716416695
Position 280: 0.00545661144407997
Position 2052: 0.00537789570229273
Position 2166: 0.005141309911957005
Position 3823: 0.005136822091168045
Position 1735: 0.004816298927428523
Position 811: 0.004630443877308115
Position 2876: 0.004561780369823722
Position 2766: 0.00412442842425597
Position 3261: 0.003912792800929723
Position 952: 0.003474138976791727
Position 1419: 0.0031225183938406766
Position 610: 0.002661525721525735
Position 2723: 0.002338930605606668
Position 2394: 0.002254081768510583
Position 1004: 0.0014597771752516081
Position 3412: 0.0011571672206141445
Position 1465: 0.0011055828733804681
Position 241: 0.0009178700728014928
Position 616: 0.0008699971574808567
Position 2844: 0.0008610299278626803
Position 557: 0.0007774987301145635
Position 2842: 0.0007440737176932877
Position 202: 0.0006317219020932916
Position 224: 0.0005903258714074962
Position 4199: 0.0005085250729020863
Position 742: 0.0005029245822090593
Position 427: 0.00035738221225968476
Position 4041: 0.0003180135027533966
Position 1081: 0.00031217312757502596
Position 464: 0.00030520417914972153
Position 4113: 0.00028180528924034694
Position 502: 0.00026157519299561477
Position 205: 0.0002520062957870154
Position 226: 0.00017732206562856212
Position 863: 0.00016762604772115955
Position 3045: 0.00014486221289305962
Position 1193: 0.00010410923253404275
Position 1276: 9.916080271620733e-05
Position 230: 8.897290768581231e-05
Position 1267: 8.80330833978129e-05
Position 3070: 3.6700051528833e-05
Position 1604: 1.3297015230403886e-05
Position 526: 7.502570631523174e-06
Position 2055: 6.878148416351393e-06
Position 232: 5.527791412302367e-06
Position 417: 2.9638124994160132e-08
Position 473: 2.628533142850245e-08
Position 2744: 1.2605567524191443e-08
