Gene = Psmd13
index = 866
Annotated 5SS: [  599  1611  4455  4599  4878  5138  7509  8444  8653 12576 15530 15757]
Annotated 3SS: [ 1531  4419  4542  4833  5050  7336  8363  8526 12512 15448 15639 16224]
SMsplice 5SS: [  599  1611  4878  5138  7509  8216  8444  8653 12576 15530 15757]
SMsplice 3SS: [ 1531  4833  5050  7336  8122  8363  8526 12512 15448 15639 16224]
top_k =  500
Partition function (log Z): 10.269816048148124

Sorted 5' Splice Sites (High to Low Probability):
Position 8653: 0.998475808307401
Position 5138: 0.9690784905668005
Position 7509: 0.9660296846776126
Position 15530: 0.8955963552072549
Position 1611: 0.8614309910993071
Position 12576: 0.7975925148628875
Position 15757: 0.7839446257179242
Position 4878: 0.7321747507949241
Position 8444: 0.6797683427137093
Position 599: 0.6395938367748285
Position 8216: 0.6050785132131499
Position 4455: 0.47438483661316994
Position 2386: 0.45425239604634193
Position 12099: 0.35533245613663755
Position 426: 0.3441475243668131
Position 2557: 0.31564734884689416
Position 9793: 0.26311944835935436
Position 9343: 0.23444747519246995
Position 4247: 0.23065721383050114
Position 4599: 0.23001787010997277
Position 9838: 0.18920325285114795
Position 257: 0.18134666002268734
Position 10087: 0.17888994156711835
Position 9388: 0.15963368189784663
Position 4971: 0.149623307247223
Position 7028: 0.128405064229392
Position 14142: 0.12760621321829485
Position 153: 0.11177309743661466
Position 4439: 0.08380985398126028
Position 8247: 0.0661506762761739
Position 4640: 0.05655846618428489
Position 13988: 0.05165381146945281
Position 9894: 0.050764902338968035
Position 3850: 0.049167376726746
Position 4274: 0.04895172732146115
Position 4674: 0.04729981172051699
Position 8091: 0.04318314956498393
Position 5358: 0.041171569119289354
Position 374: 0.035839394425850615
Position 8006: 0.03233931338057875
Position 6826: 0.031600238746083066
Position 7891: 0.027372385995056866
Position 145: 0.024493804391847698
Position 14697: 0.02134252910153447
Position 442: 0.01811914444491619
Position 417: 0.01758805727405618
Position 4998: 0.01592575824865576
Position 1111: 0.015049941867848004
Position 250: 0.013025070215045554
Position 1374: 0.012774679157965103
Position 4268: 0.012727061937838848
Position 4131: 0.011839961305295561
Position 906: 0.01161277272157108
Position 10138: 0.010602706286226173
Position 8313: 0.009254513359045452
Position 5467: 0.009009127550368456
Position 1126: 0.007863371996551367
Position 15679: 0.007711790881067309
Position 2951: 0.007318541944312341
Position 8955: 0.00704306931202015
Position 4784: 0.006976053315623005
Position 668: 0.0067093845883577
Position 49: 0.005782155790012677
Position 4702: 0.005464054832411913
Position 12277: 0.005103638575106805
Position 89: 0.004760864925921758
Position 230: 0.004073719142945277
Position 7781: 0.003711002095203842
Position 4544: 0.003649018674339366
Position 3967: 0.0035711274142897972
Position 5298: 0.0033436501135088283
Position 5655: 0.0030951507726105073
Position 9999: 0.002704119604132354
Position 459: 0.002626592849354153
Position 3533: 0.00244215545143864
Position 5520: 0.002433930090401131
Position 992: 0.0024223773790457174
Position 4923: 0.002305363695941118
Position 8267: 0.0021320774394839397
Position 4870: 0.002072032152428537
Position 3334: 0.0020414413768733786
Position 261: 0.001917893212008423
Position 10058: 0.0018587289619078726
Position 16011: 0.0018194355775117436
Position 1245: 0.0017377188644652557
Position 1746: 0.0016036237148338145
Position 5506: 0.001432471312491227
Position 4801: 0.0012603247836434155
Position 4882: 0.0012579593415569072
Position 7874: 0.00124435678082154
Position 8589: 0.0011546286726987426
Position 15986: 0.0011258040018676196
Position 4916: 0.0010889827682444065
Position 9229: 0.0009472424601702541
Position 587: 0.0009206427529093283
Position 2108: 0.0009149027502558901
Position 15584: 0.0009057207428607115
Position 271: 0.0008913325648072208
Position 8150: 0.0008293174918145214
Position 24: 0.0008145068860891378
Position 1352: 0.000676045815530665
Position 863: 0.0006707138826689851
Position 8097: 0.0006661126079080743
Position 8317: 0.0006245499334707863
Position 1760: 0.0005992721640914852
Position 8109: 0.0005961715418910866
Position 1845: 0.0005846591889876908
Position 1849: 0.00048540320425966075
Position 1853: 0.0004643631255513772
Position 1764: 0.0004426776178003128
Position 8350: 0.0004373786097972899
Position 15856: 0.00042753599244696304
Position 7419: 0.0003919889018445467
Position 659: 0.00037725881479389744
Position 8155: 0.0003663890898088265
Position 634: 0.0003448083903076972
Position 214: 0.00033555813224607207
Position 70: 0.00033201145915808867
Position 3303: 0.00032160863727601606
Position 383: 0.0002780686810356445
Position 5051: 0.00015429388388860948
Position 5148: 0.00013179256499474314
Position 1857: 0.0001245659257376196
Position 329: 7.694989298943962e-05
Position 193: 7.098288764140248e-05
Position 352: 6.967309831849664e-05
Position 7387: 6.063762602929166e-05
Position 118: 4.013522266612987e-05
Position 38: 3.8886162961350706e-05
Position 36: 2.64092398842316e-05
Position 999: 1.7288376450122893e-05
Position 26: 1.6980093657790216e-05
Position 876: 1.5441358066136454e-05
Position 340: 1.5041536369670837e-05
Position 8606: 1.392441285590192e-05
Position 8634: 1.3124411885561516e-05
Position 855: 7.892566812243119e-06
Position 5153: 4.576605579836297e-06
Position 574: 3.555970975994639e-06
Position 15723: 3.4933760134941353e-06
Position 8619: 3.4658126877460458e-06
Position 1106: 3.057804483482264e-06
Position 15640: 1.73597561906042e-06
Position 7606: 1.5094546754158745e-06
Position 5546: 4.508347321632097e-07
Position 677: 4.453362487507926e-07
Position 730: 3.575234365891862e-07
Position 5442: 8.086735208661345e-08
Position 910: 5.818318652634366e-10
Position 5315: 5.686793853286212e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8526: 0.9997777997264251
Position 15448: 0.9863626346047102
Position 5050: 0.9545556308070305
Position 4833: 0.9038938074790307
Position 12512: 0.7966508922445829
Position 1531: 0.6954193653120738
Position 7336: 0.68290184295235
Position 8363: 0.6561161375930176
Position 16224: 0.5914427239669402
Position 15639: 0.5360205632883503
Position 2295: 0.5286517389817506
Position 8122: 0.4500629202839693
Position 4419: 0.39600588980822976
Position 9676: 0.39477160827647595
Position 530: 0.3060973357653976
Position 11995: 0.26536738516987457
Position 15919: 0.2609869549264901
Position 4048: 0.2399528919286589
Position 9248: 0.23802010259319886
Position 4542: 0.22443553949329867
Position 8012: 0.21727014857626822
Position 7419: 0.2168406675103164
Position 2465: 0.20439799469388212
Position 4349: 0.19270343537237763
Position 13867: 0.11863403024099782
Position 1500: 0.11733082490467749
Position 6895: 0.11186200188468366
Position 4116: 0.10684007038754008
Position 15627: 0.09529695800194363
Position 9964: 0.08290747813118392
Position 12019: 0.0797643418589738
Position 15613: 0.0770714390889141
Position 9204: 0.06840481352068307
Position 491: 0.06346744181019941
Position 7398: 0.059454230671672784
Position 9998: 0.05556901851376167
Position 7943: 0.050425015486128835
Position 9792: 0.04968116340376858
Position 5345: 0.04818364768932259
Position 7733: 0.04461368050681177
Position 16192: 0.04336626958169657
Position 10028: 0.03849297815751629
Position 533: 0.03836808877706075
Position 4193: 0.03484813417210703
Position 9713: 0.03250609147535844
Position 13900: 0.031225910963018626
Position 1248: 0.030213984423238645
Position 9201: 0.029554913226845666
Position 3742: 0.02938076013631573
Position 2241: 0.02560158908759665
Position 4565: 0.025161045499827766
Position 9208: 0.02494870421350543
Position 9648: 0.02235939611224173
Position 16127: 0.020690076087622175
Position 7983: 0.019666084464726324
Position 13977: 0.018117043872110414
Position 16338: 0.01810106629240474
Position 1574: 0.01721083115041374
Position 9968: 0.01592663610410171
Position 3745: 0.015818750579126482
Position 9198: 0.01576459876541113
Position 6765: 0.01469254312206584
Position 8129: 0.014638861243033208
Position 6709: 0.012435662935895327
Position 13840: 0.011692212175473383
Position 9255: 0.011000134937141182
Position 14495: 0.01084479366477018
Position 14541: 0.010497735436764289
Position 986: 0.01037568075789772
Position 12027: 0.010200729107789207
Position 15855: 0.009864366342203511
Position 1431: 0.008930096021950553
Position 4945: 0.008091062354482223
Position 6921: 0.007996944393785297
Position 16071: 0.007685861041584936
Position 304: 0.007580425812076455
Position 3794: 0.007538993425593618
Position 509: 0.006529044143181919
Position 16142: 0.006318101788590889
Position 5241: 0.006170492032693973
Position 8312: 0.006159571931177404
Position 737: 0.006139621717218834
Position 1077: 0.005927258771949841
Position 2823: 0.005793546955240867
Position 15477: 0.005530842687072118
Position 2246: 0.005528096982512187
Position 1022: 0.005185065724865175
Position 12137: 0.0051036385751068065
Position 6962: 0.005013605608801696
Position 16522: 0.004639537543573352
Position 8233: 0.004447823302493099
Position 9600: 0.004127299912993495
Position 15806: 0.003873325142997932
Position 16230: 0.0035310822010953015
Position 16088: 0.0030174682531407732
Position 7677: 0.003008389789024108
Position 6560: 0.0029327630937159583
Position 15427: 0.0028186642261668667
Position 753: 0.0027508051582718104
Position 15753: 0.0027058597753040134
Position 8776: 0.0026946657375087803
Position 7254: 0.0025882373430812255
Position 7653: 0.002572313497936607
Position 2474: 0.002563427847684309
Position 4620: 0.002430775457561537
Position 3180: 0.0023353480833817482
Position 9267: 0.002292063949836494
Position 473: 0.002232372264195017
Position 1217: 0.0021956635166891546
Position 3397: 0.0021162061906707954
Position 6588: 0.0021049085120140327
Position 6639: 0.002071063480278235
Position 2490: 0.0019789144190993178
Position 4025: 0.0019143586268877404
Position 7463: 0.0018667889575539206
Position 16064: 0.001783927675603913
Position 12469: 0.001751348386251925
Position 1703: 0.001650149501215871
Position 16152: 0.0016184068888089823
Position 8819: 0.001550963482461665
Position 8201: 0.001513942826546106
Position 7296: 0.0014932129110208536
Position 9150: 0.0014328125704179298
Position 16358: 0.001425409143392787
Position 15969: 0.0013954292790839672
Position 7154: 0.001338840314166777
Position 7852: 0.0013140373533270387
Position 15881: 0.00128984879428845
Position 8369: 0.0012636642986860358
Position 8764: 0.0011966377735953633
Position 9100: 0.0011959290272176581
Position 1593: 0.0011954246962523644
Position 835: 0.00116959158327433
Position 535: 0.0011582412885706521
Position 5505: 0.001122286259061195
Position 5186: 0.0011055359372450768
Position 16299: 0.0010937002854418739
Position 9339: 0.0010118395126759404
Position 9264: 0.0009462908656648428
Position 15966: 0.0009239905674625566
Position 6996: 0.0008958099442349123
Position 8016: 0.000794918890057147
Position 1269: 0.0007449009277864483
Position 9893: 0.0006991077273292663
Position 1919: 0.0006570632612492602
Position 16320: 0.000614823558425103
Position 2665: 0.0005956706484308124
Position 309: 0.0005883914290270766
Position 378: 0.0005355950847174599
Position 8719: 0.0005146960046954774
Position 2222: 0.0004926526349367333
Position 8846: 0.0004691881737745194
Position 2855: 0.00046287009282450496
Position 12704: 0.00044881626039810216
Position 2846: 0.0004453978312649736
Position 220: 0.0004084091115856683
Position 1317: 0.00039594019670708753
Position 1046: 0.00036847419520223424
Position 3122: 0.000353651191535493
Position 15820: 0.0002754831674197268
Position 2506: 0.00027486791837679587
Position 557: 0.0002707675496944522
Position 4966: 0.00026828876172589557
Position 9128: 0.000215634849785836
Position 8840: 0.0002146526328927772
Position 1739: 0.00016988298746527667
Position 1991: 0.00016965268884706173
Position 2082: 0.00013184733466414022
Position 12659: 0.00012004557526638907
Position 5570: 0.00011405040349603211
Position 2167: 0.00011360045684133245
Position 2170: 0.00010287232478883306
Position 9387: 0.0001023221541238781
Position 8603: 9.802689436357003e-05
Position 9147: 9.278705426267982e-05
Position 1943: 8.818680015956817e-05
Position 8975: 7.021045733732397e-05
Position 8748: 6.714022899368343e-05
Position 5086: 6.581187816680572e-05
Position 539: 6.270455827510506e-05
Position 278: 6.257830807118087e-05
Position 2322: 6.214221110330785e-05
Position 1596: 5.7659997758074266e-05
Position 193: 5.2598453324001025e-05
Position 9069: 4.535941694358115e-05
Position 148: 4.3558989147648154e-05
Position 315: 4.32041749727393e-05
Position 5202: 3.226515247927252e-05
Position 9117: 3.220458955937767e-05
Position 334: 2.48542585931288e-05
Position 329: 1.640365535766519e-05
Position 2626: 1.5058946542274814e-05
Position 803: 1.2421005359363078e-05
Position 237: 1.19034505216584e-05
Position 8500: 1.047929935482793e-05
Position 383: 7.658142746176111e-06
Position 222: 6.482541810426727e-06
Position 2768: 5.997470008906732e-06
Position 5128: 4.785268152900933e-06
Position 762: 4.594335742739292e-06
Position 244: 4.273439856460347e-06
Position 268: 2.7930456850715084e-06
Position 340: 2.4483923610768927e-06
Position 582: 2.0350520820012102e-06
Position 326: 1.540520028523365e-06
Position 174: 1.3361564111350122e-06
Position 723: 1.0941619936543896e-06
Position 397: 1.0801813751455609e-06
Position 230: 1.0052892695838656e-06
Position 257: 9.217863270764778e-07
Position 261: 7.943112329287221e-07
Position 426: 5.600959935033575e-07
Position 145: 4.832760330857585e-07
Position 345: 4.55587799459809e-07
Position 8547: 4.3412955307260603e-07
Position 999: 2.7765903547280946e-07
Position 541: 1.2360543290789322e-07
Position 5220: 1.0363975336915776e-07
Position 5400: 8.530086044121515e-08
Position 584: 5.389287697431761e-08
Position 1307: 4.2038304206729554e-08
Position 97: 2.544264980513931e-08
Position 430: 2.253233144567958e-08
