Gene = Arpin
index = 142
Annotated 5SS: [ 207 3557 5787 7188 7734]
Annotated 3SS: [3480 5653 6980 7569 8508]
SMsplice 5SS: [ 207 3557 5700 7734]
SMsplice 3SS: [3480 5653 7569 8508]
top_k =  500
Partition function (log Z): -0.807770705683778

Sorted 5' Splice Sites (High to Low Probability):
Position 3557: 0.927360791361655
Position 7734: 0.9058639403445844
Position 207: 0.829092447584217
Position 3380: 0.38726228793278944
Position 5700: 0.37617086838258545
Position 1534: 0.3176901792001533
Position 5756: 0.21707183012185208
Position 5787: 0.20396326395264489
Position 5447: 0.203806472264877
Position 4054: 0.12284925520393272
Position 326: 0.1184192207144935
Position 5546: 0.09241379546369667
Position 6435: 0.06909109493131928
Position 2663: 0.06804076007398382
Position 3363: 0.06532623289973022
Position 3565: 0.06138894473216765
Position 7188: 0.060729124205956914
Position 5057: 0.06049389992619733
Position 7037: 0.05623309234947375
Position 984: 0.050505318435265
Position 7767: 0.05024029935559566
Position 1000: 0.049186301538647954
Position 8290: 0.04438784870028314
Position 8376: 0.03956866761779008
Position 3193: 0.03619242107934077
Position 5791: 0.03558238720919809
Position 7738: 0.03459122453603714
Position 8838: 0.030119119422765416
Position 1423: 0.029830508328562644
Position 5264: 0.029654106106489997
Position 277: 0.027510929717429355
Position 5200: 0.027036101927108015
Position 8687: 0.0189324131087057
Position 3231: 0.014287586161741864
Position 57: 0.013793273773341537
Position 853: 0.012191499580239845
Position 7291: 0.011322862608625275
Position 6195: 0.011002565584770961
Position 1057: 0.009362733900261508
Position 6398: 0.00930168170119415
Position 9610: 0.007916332946187004
Position 3680: 0.005588452333736235
Position 7393: 0.004529133710519072
Position 7124: 0.0044380695302841215
Position 8299: 0.0043709740090994926
Position 8654: 0.004213063500188855
Position 7975: 0.004149864041343851
Position 5463: 0.0038396165055112155
Position 9817: 0.0038097358805268835
Position 8308: 0.0034982248516728935
Position 1419: 0.0034844528977496132
Position 1712: 0.003348497069168607
Position 6828: 0.0031123419703225808
Position 717: 0.0029166504029808074
Position 3209: 0.002096724709117349
Position 8789: 0.0019959360549173686
Position 9566: 0.0014302530624695498
Position 5514: 0.0012919915946077915
