Gene = NSL1
index = 964
Annotated 5SS: [  253  4224  7420  9411 52249]
Annotated 3SS: [ 4144  7288  9355 52180 53095]
SMsplice 5SS: [  253  4224  7420 25594 34804 40541 52249]
SMsplice 3SS: [ 4116  7288 25508 34621 40364 52180 52639]
top_k =  100
Partition function (log Z): -24.891030338639027

Sorted 5' Splice Sites (High to Low Probability):
Position 7420: 0.9971613521314306
Position 253: 0.9183763059614777
Position 4224: 0.9123499732334189
Position 9411: 0.7426748986631647
Position 8582: 0.09808951199900691
Position 130: 0.07755155528580909
Position 8540: 0.059341418381360464
Position 4486: 0.05241155915986867
Position 2982: 0.04545327391933421
Position 6248: 0.025540152155875122
Position 8535: 0.023796999419229487
Position 765: 0.020087530165405015
Position 2783: 0.017887920360911556
Position 8158: 0.0040133020274511
Position 249: 0.001447442052001442
Position 506: 0.0010023139959386322
Position 565: 0.0004446538886483619
Position 174: 0.00013341749790689246
Position 517: 2.8373152101130882e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 7288: 0.9980957285310236
Position 4116: 0.471388701337956
Position 4144: 0.40219490250649953
Position 9224: 0.38922896777263283
Position 13780: 0.30748221000908543
Position 9355: 0.29071993228168796
Position 8362: 0.17349164276804732
Position 14394: 0.1327492327095161
Position 12563: 0.13207147173268588
Position 12721: 0.1145506286760124
Position 9358: 0.07385827899029049
Position 2774: 0.06193334258527008
Position 11393: 0.03899829332551919
Position 9487: 0.03568859042522411
Position 12800: 0.03405137218523458
Position 9733: 0.02943283001264081
Position 4313: 0.02936087266684634
Position 11309: 0.028151487778657114
Position 8365: 0.02623161640028445
Position 6125: 0.025540152155875212
Position 14417: 0.02347974964091355
Position 11673: 0.022911946521255507
Position 10582: 0.021200894132025548
Position 4097: 0.014664029236786613
Position 8668: 0.013307119835302503
Position 627: 0.013294463737813067
Position 4396: 0.011383644054163205
Position 3877: 0.00890464322593102
Position 8451: 0.007802484845115171
Position 4157: 0.007801158714282473
Position 4330: 0.007759514601256514
Position 9549: 0.007723290213312579
Position 9911: 0.007568314070108962
Position 3927: 0.007236236712659905
Position 8043: 0.006611642868733828
Position 673: 0.005245720653864302
Position 10517: 0.004538542708830516
Position 4333: 0.0042372718575426314
Position 9535: 0.003133444526747077
Position 2685: 0.0018888443251933512
Position 564: 0.0005314076076197293
Position 4979: 0.00046491166111499763
Position 7081: 0.000372878018881518
Position 7017: 0.00025574513881684743
Position 3943: 0.00016030149930373633
Position 8310: 8.137555891421546e-05
Position 8004: 1.2122632868894895e-05
