Gene = CD48
index = 327
Annotated 5SS: [  170 26965 30650]
Annotated 3SS: [26661 30382 32719]
SMsplice 5SS: [  170  1428 11721 19722 20105 26965 32501]
SMsplice 3SS: [ 1337 11633 19491 19965 26873 32302 32719]
top_k =  500
Partition function (log Z): -16.117609099635867

Sorted 5' Splice Sites (High to Low Probability):
Position 11721: 0.9449383107197152
Position 1428: 0.7796658941877856
Position 19722: 0.6361271708121057
Position 170: 0.561710942670341
Position 5348: 0.4578882758177143
Position 16648: 0.3537449567522059
Position 7344: 0.3022200199790992
Position 4302: 0.29087463407884967
Position 20105: 0.2894776112671588
Position 7446: 0.24092976024632828
Position 7399: 0.21769016750358208
Position 1939: 0.1888014050849922
Position 284: 0.18475751815982694
Position 929: 0.15980875514084664
Position 5: 0.11772101777139564
Position 1468: 0.11443835754221987
Position 216: 0.07342300959856836
Position 2154: 0.0606549940628413
Position 595: 0.051406989300294074
Position 1109: 0.03470305075019662
Position 1188: 0.025100171337290735
Position 1134: 0.01993779886861756
Position 1712: 0.01737619566267946
Position 4814: 0.014469924558162445
Position 793: 0.013596240690020632
Position 1908: 0.011616364030262238
Position 9800: 0.009976732941564521
Position 408: 0.007838265302087973
Position 101: 0.003551868957135319
Position 154: 0.0035143012773469844
Position 1154: 0.002523030982634777
Position 188: 0.0022412334886719072
Position 12884: 0.0018178601478000432
Position 1064: 0.0016385092163624323
Position 12123: 0.0012445726143634071
Position 434: 0.0012027399067264463
Position 1219: 0.0011645216480076635
Position 1432: 0.0007893074557661588
Position 759: 0.0006611982000012591
Position 10136: 0.0005369835089196628
Position 317: 0.00045095988810819177
Position 570: 0.0004141364143275971
Position 1010: 0.0003743461925674913
Position 753: 0.00030636761987877953
Position 989: 0.00030483012592673184
Position 7403: 0.00028018038503163325
Position 1706: 0.0002373867039835428
Position 690: 0.0002159872952981736
Position 450: 0.00021105687150314883
Position 3778: 0.00020436504703876692
Position 242: 0.00018757949053424316
Position 1472: 0.00018555996414427949
Position 1214: 0.00018392248531153398
Position 981: 0.0001823373456351523
Position 941: 0.0001802799590163593
Position 575: 0.00016936011577707702
Position 8282: 0.00016512820921533837
Position 3053: 0.0001340765833397556
Position 1497: 9.835668222406094e-05
Position 1643: 9.615149873118346e-05
Position 194: 6.565148630464885e-05
Position 3996: 5.624877245278407e-05
Position 2436: 3.58127305354415e-05
Position 1564: 3.274523676411027e-05
Position 1442: 2.797001791336924e-05
Position 269: 9.839658716528269e-06
Position 73: 6.970117786088266e-06
Position 463: 6.673587871824964e-06
Position 375: 6.105572569777395e-06
Position 1718: 3.0439800377688407e-06
Position 781: 2.9844082525618107e-06
Position 786: 1.8349421704254196e-06
Position 90: 6.167417972973475e-07
Position 220: 3.9344142310992315e-07
Position 438: 3.5789453598814104e-07
Position 676: 2.4333815268658085e-07
Position 113: 2.0485256221492875e-07
Position 2566: 1.79755751720915e-07
Position 441: 1.7485477043545456e-07
Position 461: 1.3902796907182992e-07
Position 271: 1.3749227942528807e-07
Position 53: 1.070496851558344e-07
Position 1998: 9.815418411066565e-08
Position 2136: 5.4592645924760476e-08
Position 9: 3.379131854027672e-08
Position 200: 2.710563974396628e-08
Position 111: 7.407577258184496e-09
Position 186: 5.949391761997702e-09
Position 144: 2.524424438919024e-09
Position 245: 1.4048740772102685e-10
Position 14: 1.7798311654322647e-13
Position 62: 1.7645039650041e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11633: 0.9483183185032176
Position 1337: 0.8771809471677787
Position 7312: 0.7684618063462633
Position 19491: 0.6652363006776185
Position 21067: 0.6253540424441517
Position 19965: 0.419231016482204
Position 16527: 0.36263394233540375
Position 5137: 0.30211090371208466
Position 1845: 0.24454590465953355
Position 4146: 0.17923897709915312
Position 5075: 0.1567281506255831
Position 834: 0.13684070495868064
Position 4234: 0.08786413761128811
Position 19792: 0.08111601654082067
Position 862: 0.05464289703493572
Position 13122: 0.024636199260951612
Position 1108: 0.02450171414168408
Position 13499: 0.021748333840784034
Position 4208: 0.021260397007582144
Position 1806: 0.01881600237191405
Position 11880: 0.017463668416083513
Position 1590: 0.01716343872983553
Position 4639: 0.014702364953794003
Position 545: 0.012509908707493399
Position 9661: 0.010247561309654537
Position 882: 0.008571030433517209
Position 10513: 0.008449539943479011
