Gene = Gatd1
index = 425
Annotated 5SS: [ 135 2339 3151 3359 4291 4806 5048]
Annotated 3SS: [2261 3044 3250 4195 4711 4935 5171]
SMsplice 5SS: [ 135  316 2339 3151 4291 4806 5048]
SMsplice 3SS: [ 248 2261 3044 4195 4711 4935 5171]
top_k =  100
Partition function (log Z): 8.180958528645334

Sorted 5' Splice Sites (High to Low Probability):
Position 135: 0.9945101611264847
Position 5048: 0.9871918634454067
Position 4806: 0.9824379142691025
Position 3151: 0.9174021182512854
Position 2339: 0.7237941347515718
Position 4291: 0.7181717362478622
Position 316: 0.6516124455455401
Position 708: 0.5582449019683718
Position 1869: 0.361160222991683
Position 496: 0.31126192504206557
Position 3359: 0.30083607156900694
Position 2362: 0.1480442458177705
Position 3363: 0.10136741725580439
Position 653: 0.098515642415365
Position 1913: 0.08962518291317281
Position 1932: 0.08323796803497302
Position 3404: 0.06710845071634297
Position 3167: 0.04316456266361772
Position 284: 0.0380722495938628
Position 467: 0.033003547778627615
Position 2027: 0.03245189950328794
Position 2448: 0.03244256176479867
Position 334: 0.02617024023780853
Position 3492: 0.020990474548461088
Position 2324: 0.01793546484362056
Position 2262: 0.01204638623454395
Position 755: 0.011993630680360138
Position 3258: 0.0110387996359311
Position 4816: 0.006179923024474543
Position 5175: 0.006071237084258818
Position 3155: 0.005181734604757416
Position 5319: 0.00234785937886675
Position 423: 0.001807439687399199
Position 1634: 0.0013268167245601634
Position 783: 0.001301068506219622
Position 635: 0.0009672527365064303
Position 157: 0.00020293735954779628
Position 194: 5.6408885041494105e-05
Position 105: 3.3107203733129224e-05
Position 113: 1.7300172590706165e-05
Position 5067: 1.4403706320831922e-05
Position 155: 1.0032850232730178e-05
Position 535: 7.460162300168741e-06
Position 175: 4.787293514915436e-06
Position 76: 3.864776340510165e-06
Position 65: 3.163851635393469e-06
Position 103: 2.0414720807594648e-06
Position 209: 1.0575898815206982e-07
Position 200: 8.529832869603798e-08
Position 204: 9.26216179919125e-09
Position 198: 3.129489472151414e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3044: 0.9608317718692568
Position 4711: 0.9349573815694964
Position 4935: 0.9061440128214174
Position 2261: 0.9040446287300657
Position 248: 0.789176991051842
Position 4195: 0.718171736247862
Position 1784: 0.5664752734431168
Position 3250: 0.5013412137255465
Position 5171: 0.500222459171828
Position 624: 0.4284103444928521
Position 404: 0.4279615221967496
Position 5360: 0.16271477352985447
Position 5814: 0.10071905108705868
Position 5985: 0.08484527012644207
Position 4915: 0.06908065131004369
Position 5988: 0.05851600297240167
Position 542: 0.057915427893720395
Position 4696: 0.053774691904327016
Position 5911: 0.03280537989440109
Position 2113: 0.030218164682240384
Position 4939: 0.02346029934050018
Position 5365: 0.015135960444566096
Position 274: 0.013344788635952617
Position 5381: 0.013063002681400114
Position 5112: 0.007291917727579288
Position 6289: 0.007106055047359263
Position 5856: 0.006682204498602397
Position 214: 0.0044887597769818965
Position 6042: 0.004233097007100823
Position 2895: 0.0034750726036362686
Position 506: 0.0032011051432528155
Position 5204: 0.0023206758331098904
Position 3050: 0.001441571046767431
Position 583: 0.0013953996970943574
Position 1528: 0.0013268167245601623
Position 278: 0.0009917820849378641
Position 4991: 0.0009487692380811182
Position 209: 0.0004992541654104583
Position 408: 0.000343855224855407
Position 5044: 0.0001136611244902319
Position 5007: 0.0001078835783697856
Position 326: 2.4757617439361842e-05
Position 320: 2.4131085075872667e-05
Position 461: 2.0619260401211794e-05
Position 297: 2.143211884826149e-06
Position 288: 7.407966668057406e-07
Position 422: 1.0452141293945483e-07
Position 299: 5.517232258157228e-08
Position 316: 3.0765745232759976e-08
