Gene = LOC105841553
index = 789
Annotated 5SS: [ 169  929 3379]
Annotated 3SS: [  746  3267 22716]
SMsplice 5SS: [ 169  929 2773 3379 8403]
SMsplice 3SS: [  746  2721  3267  8323 22716]
length: 22877
Partition function (logZ) = -3.497459300162151
#Exons = 1536
3SS, 5SS, prob
0, 169, 0.9873460180886874
3267, 3379, 0.9828118482038445
746, 929, 0.9444646186498904
22716, -1, 0.9317720856363357
8323, 8403, 0.6992209184100896
2721, 2773, 0.3499790971775312
2612, 2773, 0.1860398686048727
4966, 5272, 0.1591328126051044
4630, 4796, 0.12172401099080564
2850, 3066, 0.10527925285933619
7943, 8255, 0.06601478575314523
1456, 1697, 0.06583578165222856
2873, 3066, 0.056929430003287866
9754, 9899, 0.047317184840184955
2540, 2773, 0.04321741861607911
5123, 5272, 0.04071088965949321
2615, 2773, 0.035532523539134706
4160, 4315, 0.03474686198787024
1825, 2000, 0.034024238654234124
2630, 2773, 0.033735626382765393
5101, 5272, 0.03297353534891622
1028, 1114, 0.03294019539219955
1836, 2000, 0.031067939679554367
792, 929, 0.028348516068970295
6798, 6912, 0.02732587150648572
5098, 5272, 0.027225967069300566
19749, -1, 0.025219729094952258
5388, 5603, 0.02424337021861026
2694, 2773, 0.022846497499194336
1600, 1697, 0.0227663177191812
8304, 8403, 0.02188431043980716
21009, -1, 0.019003426412998528
2850, 3090, 0.01690976891268521
1825, 2018, 0.016067395246494268
5469, 5603, 0.01582162682804709
1836, 2018, 0.01565451413028051
1825, 2047, 0.014148772922716265
7711, 7872, 0.013562996096694348
1836, 2047, 0.013463234244601236
7567, 7665, 0.013260972235782513
7495, 7665, 0.012054006444440567
1514, 1697, 0.011556273278166723
3251, 3379, 0.011251152093670056
1600, 1853, 0.009356238382338797
5412, 5603, 0.009291177125914868
5388, 5533, 0.0089188160553626
4090, 4315, 0.008443608971561701
2873, 3090, 0.008353513413757015
19951, -1, 0.008308620670852116
2563, 2773, 0.007891106774994463
2689, 2773, 0.007465924386024122
1436, 1697, 0.007430479429558532
4630, 4727, 0.007268662958500708
2850, 2968, 0.00710919722088306
7543, 7665, 0.00664145906330451
4160, 4393, 0.0065635289703235775
7567, 7753, 0.0064175415833764285
2850, 3098, 0.00624988374448215
1456, 1853, 0.006144420629981374
4173, 4315, 0.0061163808293723185
0, 71, 0.0060194391256411595
7438, 7665, 0.005962853082538963
3570, 3716, 0.0058158227096474216
3973, 4149, 0.005792239475256943
1600, 1825, 0.005522980434963078
2580, 2773, 0.005249079106805785
13196, -1, 0.005204973284911337
813, 929, 0.004917091871917191
746, 1004, 0.004775973940780148
3879, 4149, 0.004659635900765387
7693, 7872, 0.004152059079251034
1600, 1839, 0.003929210144593275
1456, 1825, 0.003631008084881275
0, 158, 0.003364255859853947
746, 793, 0.003362564109858431
2873, 3098, 0.003091071791287127
1825, 1949, 0.0029664259976850886
2612, 2728, 0.0029358232607552153
2898, 3066, 0.0028862893798164988
7567, 7872, 0.0028336065162288234
1003, 1114, 0.002770150487910054
13022, -1, 0.002733425321876857
8346, 8403, 0.0026541193801670046
1456, 1839, 0.0025831475066189634
865, 929, 0.002558184886120992
1462, 1697, 0.0023332459036977597
1488, 1697, 0.002309425394798392
2721, 3066, 0.0022593294487961786
2183, 2269, 0.0022226204808503567
2499, 2773, 0.0021740657148627105
5130, 5272, 0.002106951604336758
2203, 2269, 0.0021051032978690594
1520, 1697, 0.0020860952002805986
1836, 1949, 0.0020358388700215317
1600, 2000, 0.002030217720883845
3879, 3958, 0.0020147353993934846
3973, 4315, 0.001973624727096599
7943, 8403, 0.0019136059760888771
883, 929, 0.001911230253183694
5388, 5537, 0.0019019203837858534
2850, 3139, 0.0018800029296994326
5412, 5533, 0.001835867395227096
1056, 1114, 0.0018308049360251163
2540, 2728, 0.0017805637652815835
2850, 2989, 0.001779426340616634
18143, -1, 0.0017614892109702085
2721, 2728, 0.0017394027095079046
3879, 4315, 0.0017385208585688771
4148, 4315, 0.001718321473809271
693, 929, 0.0017121663756002464
1784, 2000, 0.001656863658973016
4090, 4393, 0.0015895147235493407
4492, 4796, 0.0015647677334477551
2873, 2968, 0.0015553373910647838
3973, 4174, 0.0014824663485888618
1456, 1607, 0.0014637686134898816
1825, 1853, 0.0013804651922212148
4173, 4393, 0.0013782258494488718
1456, 2000, 0.0013336219461934215
2880, 3066, 0.0012809287164599315
3879, 4174, 0.0012638816567362738
1603, 1697, 0.0012589686537494344
4795, 5272, 0.0012316444308527513
7216, 7388, 0.0012085860931801819
711, 929, 0.0011714842330983952
4630, 5272, 0.0011626965053768074
2850, 3129, 0.001152524543458159
4676, 4796, 0.0010867054864273286
8470, 8644, 0.0010706673124276475
0, 929, 0.001062865366779015
845, 929, 0.001028082104835616
6561, 6912, 0.0009961871847900432
2138, 2269, 0.0009937278827426474
1600, 2018, 0.0009710925279351852
447, 656, 0.0009616948470014242
1514, 1853, 0.0009538850262630212
11301, -1, 0.0009499982636815246
1600, 2047, 0.0009358200175992765
4090, 4149, 0.0009288337357091244
447, 607, 0.0009278670511751471
2873, 3139, 0.0009248338364166455
3267, 3716, 0.0009218974233456668
5359, 5603, 0.0009029757737285362
3267, 3282, 0.0008948374319003703
9754, -1, 0.0008286310542554063
2850, 3038, 0.0008114177983504245
1836, 1853, 0.0008108720920648635
1925, 2047, 0.0008040834417122476
1784, 2018, 0.0007964835520345912
4090, 4174, 0.0007933628813559005
1784, 2047, 0.0007662089747648342
3303, 3379, 0.0007208281319534764
0, 173, 0.0007186700371496517
2380, 2773, 0.0007094348601547448
151, 169, 0.0006919726193036677
4392, 4796, 0.0006883003068061887
1436, 1853, 0.0006858571027898334
