Gene = CG4291
index = 719
Annotated 5SS: [ 103  232 1013]
Annotated 3SS: [ 158  287 1070]
SMsplice 5SS: [ 103  232 1013]
SMsplice 3SS: [ 158  287 1070]
length: 1480
Partition function (logZ) = 2.2077378303100414
#Introns = 1059
5SS, 3SS, prob
232, 287, 0.9969104993234482
103, 158, 0.9758627076922323
1013, 1070, 0.441829213264092
1008, 1070, 0.10178619531834106
630, 1070, 0.07603717255594046
1387, 1449, 0.01618008739052819
492, 1070, 0.013559483394164674
492, 550, 0.010395422470870016
630, 901, 0.01022109775255725
630, 1121, 0.005675962115449099
630, 788, 0.004039990461821923
437, 1070, 0.003017340265345287
463, 525, 0.0020410041137206444
492, 901, 0.002016929394420976
232, 1070, 0.00166766632898894
1002, 1070, 0.0015340714072544198
463, 1070, 0.0014943964442622143
1013, 1121, 0.0014715195822987102
1332, 1449, 0.0013686303356279074
630, 1449, 0.0012617476803590878
870, 1070, 0.0011737664367741183
1327, 1449, 0.0010634262491650678
492, 1121, 0.0009674298633599606
943, 1070, 0.0007121301515483664
492, 788, 0.0006650640126594998
630, 737, 0.0006244483027976888
1291, 1449, 0.0005367163617492817
1355, 1449, 0.0005294767519930982
630, 716, 0.00046133773898592034
437, 525, 0.0004536568569547933
492, 1449, 0.00039737803146602883
1355, 1411, 0.0003860151933149819
630, 806, 0.0003784649681241334
630, 1098, 0.0003782421948198034
630, 1156, 0.0003608328285809979
680, 1070, 0.00034061740414544664
1013, 1083, 0.0003378763351201274
1355, 1431, 0.0003294811952949434
1008, 1121, 0.0003199863190782925
437, 901, 0.0002839591864919486
1013, 1098, 0.0002832912877277167
1332, 1431, 0.0002778128731015442
770, 1070, 0.00027586166356917126
1332, 1411, 0.00026760072520827266
711, 1070, 0.00025670231990121905
992, 1070, 0.00024466091167378465
434, 1070, 0.0002409082770661558
630, 926, 0.00020745438761142276
1327, 1431, 0.00019205577960078134
630, 1431, 0.0001906451782835404
437, 1121, 0.00018852299281124128
1387, 1431, 0.00017539225054987224
232, 901, 0.00017374791677840284
1013, 1449, 0.00016781117289138973
630, 770, 0.00016696957078586242
1355, 1422, 0.00014918451125921968
463, 901, 0.00014802487618065065
1300, 1449, 0.00014349773383298385
1327, 1411, 0.0001338914981262072
492, 1098, 0.00012182378880436838
1308, 1449, 0.00012038728366913821
