Gene = fon
index = 1705
Annotated 5SS: [ 119  426  536 2325]
Annotated 3SS: [ 412  499  841 2442]
SMsplice 5SS: [ 426 2325]
SMsplice 3SS: [ 841 2442]
top_k =  100
Partition function (log Z): -7.724333382235041

Sorted 5' Splice Sites (High to Low Probability):
Position 2325: 0.8628884258656898
Position 426: 0.48475494796424495
Position 536: 0.33758063054529175
Position 119: 0.07134566395610017
Position 614: 0.0457782998813144
Position 1308: 0.039300851779168006
Position 2879: 0.03732760866919178
Position 373: 0.019877199728293875
Position 109: 0.014787644170175899
Position 1424: 0.013072838463398457
Position 2592: 0.012686792329392998
Position 273: 0.010541506457984573
Position 216: 0.009276708351609953
Position 308: 0.008885519147857443
Position 1075: 0.008695355229192969
Position 339: 0.006881359107879659
Position 1021: 0.0064864016030857325
Position 1945: 0.004815978432033492
Position 951: 0.004316773120908658
Position 469: 0.003996440354375022
Position 2694: 0.0030169989354271987
Position 240: 0.0013743465943760347
Position 213: 0.001337554881185803
Position 2763: 0.0012306588950671325
Position 149: 0.0010988518432883895
Position 2539: 0.0010061288388165106
Position 2599: 0.0009191068836746815
Position 167: 0.00042328348502673334
Position 331: 0.0003958424702292728
Position 104: 0.0002705574963566816
Position 34: 0.00018292816507141748
Position 996: 0.0001001984258394519
Position 7: 4.9328563959701915e-05
Position 904: 2.9720847236914333e-05
Position 442: 2.7692466183341382e-05
Position 122: 2.392677959008234e-05
Position 211: 2.3316492401751146e-05
Position 1356: 2.260931310982177e-05
Position 170: 1.3518880894490224e-05
Position 130: 2.7181904210582923e-06
Position 265: 2.6403153384961117e-06
Position 27: 8.615494529343564e-07
Position 44: 2.973028097658837e-07
Position 113: 2.769682837784574e-07
Position 106: 2.429647282748923e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2442: 0.9268984043711219
Position 841: 0.7311620417127219
Position 3005: 0.07248238924768223
Position 850: 0.06895214223594599
Position 499: 0.06342601892709268
Position 412: 0.05216804519014926
Position 1481: 0.03723610192105867
Position 644: 0.023355576020169345
Position 338: 0.017991680254439705
Position 1450: 0.013034712122752498
Position 792: 0.007048801145028901
Position 425: 0.0005755406698130631
Position 273: 0.0003654267973306144
Position 211: 0.00015214578139184716
Position 442: 6.537733372533318e-07
Position 523: 6.312701373747541e-07
Position 308: 2.412657866035688e-07
