Gene = GeneID_100862783
index = 46
Annotated 5SS: [761]
Annotated 3SS: [1262]
SMsplice 5SS: [761]
SMsplice 3SS: [1262]
Partition function (log Z): -7.862960887150728

Sorted 5' Splice Sites (High to Low Probability):
Position 761: 0.8639975023645471
Position 931: 0.05269871628824162
Position 569: 0.045612199498961226
Position 152: 0.011745091066046397
Position 989: 0.006980669192087877
Position 807: 0.006327547987669901
Position 222: 0.004047291204195362
Position 362: 0.0037680381082326317
Position 821: 0.0032463714311456227
Position 425: 0.002039362170012469
Position 996: 0.0016112936537074028
Position 1137: 0.0015621050084758906
Position 771: 0.001416524727958072
Position 143: 0.0007098156590555033
Position 212: 0.0005690533589440189
Position 971: 0.0005390918771727102
Position 825: 0.0005225348559936358
Position 169: 0.0004624117397061386
Position 1114: 0.00043119180616767026
Position 193: 0.0004123988226062478
Position 627: 0.0003420032760510547
Position 1164: 0.00027749072270562156
Position 881: 0.0002771712271218725
Position 488: 0.00019458635376118312
Position 635: 0.00015854302192708862
Position 1146: 0.00015825390606649507
Position 219: 0.00015309175999551392
Position 895: 0.0001199233802982208
Position 1087: 0.00011353865194212698
Position 49: 0.00011289769166691512
Position 792: 0.00010233199520331688
Position 775: 9.786111432189825e-05
Position 1043: 8.979043094799748e-05
Position 713: 8.602398308743065e-05
Position 872: 7.344643125328623e-05
Position 51: 5.2347609493531714e-05
Position 752: 3.4680384595160996e-05
Position 859: 2.937518836581169e-05
Position 278: 2.6800329604044857e-05
Position 868: 2.6549460562946704e-05
Position 1048: 2.2760525637762516e-05
Position 698: 2.0042244636880505e-05
Position 957: 1.7220998675638786e-05
Position 935: 1.6584145614422723e-05
Position 256: 1.5187073049457617e-05
Position 948: 1.2972117182794806e-05
Position 795: 1.124610810128682e-05
Position 951: 9.31858443025844e-06
Position 1221: 4.964091794430714e-06
Position 23: 2.207305205308532e-06
Position 892: 2.1220794329500583e-06
Position 1153: 1.5462863989845379e-06
Position 1200: 1.1659228483834143e-06
Position 154: 9.996681142455124e-07
Position 696: 6.036491515471347e-07
Position 851: 4.4741189365709766e-07
Position 811: 1.4518964615541046e-07
Position 1004: 6.506095445552496e-08
Position 1263: 2.887579151320646e-08
Position 1067: 2.4787470258080103e-08
Position 866: 5.704349769330494e-09
Position 1235: 6.761024794686623e-11
Position 1250: 4.2107480038349776e-11
Position 1233: 8.601843338671127e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1262: 0.9002564338917304
Position 1216: 0.08652473546082043
Position 526: 0.005491964607968108
Position 1233: 0.0051449587993311246
Position 1287: 0.005044844200404555
Position 879: 0.002390731671640874
Position 798: 0.0015195111103529523
Position 1159: 0.0012204025774304576
Position 228: 0.0010386761465782702
Position 824: 0.0009113422212600283
Position 467: 0.0004886198440064715
Position 859: 0.0003823890115151374
Position 1164: 0.00014190601874801428
Position 856: 0.00011902719363232544
Position 954: 9.754599151252447e-05
Position 988: 9.72821549302357e-05
Position 635: 9.518724940050713e-05
Position 404: 8.47725200836339e-05
Position 1189: 3.593535699947433e-05
Position 1324: 3.2789342262588145e-05
Position 488: 3.081878800485949e-05
Position 1043: 2.9313518381407378e-05
Position 1142: 1.9102763858558502e-05
Position 760: 1.7497520909777412e-05
Position 356: 1.5686708814694268e-05
Position 671: 1.4353000447571513e-05
Position 1310: 1.2281948168907695e-05
Position 1327: 1.1512695584604824e-05
Position 233: 9.76473718932401e-06
Position 889: 9.682859020886584e-06
Position 930: 9.531157302497487e-06
Position 509: 9.46279386188991e-06
Position 1137: 9.42251939337184e-06
Position 1067: 7.625197364566693e-06
Position 1048: 6.889345972024197e-06
Position 596: 5.308585088691684e-06
Position 446: 4.440737524644394e-06
Position 1101: 3.997803293013196e-06
Position 425: 3.117720482385871e-06
Position 971: 2.979826663650574e-06
Position 572: 2.4360880748818214e-06
Position 1168: 1.7437114727832753e-06
Position 1170: 1.3571322449422902e-06
Position 732: 1.308147514172001e-06
Position 713: 1.2655180575031593e-06
Position 254: 1.0880204895005775e-06
Position 915: 8.742159937254317e-07
Position 1106: 8.337527302095645e-07
Position 383: 4.950128819647697e-07
Position 193: 4.3762225138962397e-07
Position 239: 3.4399808447874704e-07
Position 752: 3.184568348666433e-07
Position 311: 2.5800844197950226e-07
Position 708: 2.4359483774766396e-07
Position 362: 1.8519065188806548e-07
Position 1336: 1.5169744559852845e-07
Position 1341: 8.664886737168117e-08
Position 346: 8.21673018585645e-08
Position 1347: 6.158664666508208e-08
Position 908: 5.271268825453346e-08
Position 541: 3.895448228556345e-08
Position 1183: 3.345020947292131e-08
Position 1000: 3.144382374875253e-08
Position 720: 1.7623963517777459e-09
Position 811: 1.1604810871865586e-09
Position 148: 3.575928643999957e-11
