Gene = Nup107
index = 1337
Annotated 5SS: [2299]
Annotated 3SS: [2362]
SMsplice 5SS: [2299]
SMsplice 3SS: [2362]
Partition function (log Z): -5.54311288805717

Sorted 5' Splice Sites (High to Low Probability):
Position 2299: 0.9969494687116895
Position 1918: 0.3334001747990319
Position 661: 0.21973392530857036
Position 355: 0.07409325157216891
Position 1831: 0.07276081815904399
Position 13: 0.046998833800852235
Position 1380: 0.02316354477990593
Position 1464: 0.014941608308487366
Position 2068: 0.01242455589971722
Position 1139: 0.012304487429583712
Position 378: 0.011006870291603714
Position 1239: 0.010724513198215019
Position 846: 0.007670555264755442
Position 451: 0.00764367945387245
Position 52: 0.006542003763275326
Position 1587: 0.005712193497240169
Position 742: 0.0048641378210588
Position 2039: 0.004666226655701981
Position 638: 0.0030492564192652442
Position 1376: 0.0026683226749401115
Position 399: 0.0019419389147107163
Position 1006: 0.001851384349937005
Position 819: 0.0016442554952749966
Position 1399: 0.0015781378096143123
Position 624: 0.0015706680702379748
Position 1599: 0.0015668483753351324
Position 953: 0.00154601443619489
Position 2280: 0.0010295694096023197
Position 1159: 0.0008594065487417746
Position 675: 0.0007981747502500728
Position 315: 0.0005142310575949992
Position 1974: 0.0005039055441492687
Position 752: 0.0003621503683521672
Position 1473: 0.00029662280102483454
Position 339: 0.00029397963026309317
Position 414: 0.00027989614194988166
Position 411: 0.00027458634070543094
Position 678: 0.00023309793111905418
Position 2031: 0.000207059854573866
Position 695: 0.0001980006496193716
Position 863: 0.0001970602907426652
Position 2004: 0.00018937668113942635
Position 1420: 0.00017268802538654472
Position 2019: 0.0001457434105018206
Position 2049: 0.00014500822885072322
Position 2128: 0.00013995152938272592
Position 2303: 0.00013396780392752638
Position 62: 0.00012730289673159773
Position 1044: 0.00011792377277055897
Position 479: 9.93016380202699e-05
Position 2090: 9.685047880811834e-05
Position 665: 9.583141850679877e-05
Position 1106: 6.740682395373221e-05
Position 2075: 6.552209053034593e-05
Position 1362: 6.348576776821645e-05
Position 1674: 6.015354264976434e-05
Position 1161: 5.786337826738175e-05
Position 2108: 4.9001448153059436e-05
Position 1543: 4.34957414965676e-05
Position 635: 4.085922813466657e-05
Position 1841: 4.0389244073188766e-05
Position 5: 3.556499258299385e-05
Position 1782: 3.543526815905052e-05
Position 1255: 3.517065944320526e-05
Position 2550: 3.422176580913567e-05
Position 2227: 3.244345003363315e-05
Position 329: 3.154317441582464e-05
Position 2133: 3.14263257911323e-05
Position 1704: 2.5272463996472908e-05
Position 1764: 2.5189493120351226e-05
Position 160: 2.5080648430101365e-05
Position 1717: 2.1165268234789016e-05
Position 515: 2.0307667752404905e-05
Position 1555: 1.6247088139216827e-05
Position 2539: 1.564397859920033e-05
Position 1922: 1.5394506063236654e-05
Position 1788: 1.1912891519625234e-05
Position 1691: 9.25243356735303e-06
Position 826: 8.918060402005024e-06
