Gene = TCAIM
index = 1383
Annotated 5SS: [  201 16693 19758 23400 29590 54859 58379 58716 62469 63216]
Annotated 3SS: [16619 19621 23245 29336 54735 58280 58623 62235 63083 69322]
SMsplice 5SS: [  201 16693 16878 19758 20227 23400 24346 29590 54859 58379 58716 63216]
SMsplice 3SS: [16619 16765 19666 20097 23245 24300 29336 54735 58280 58623 63083 69322]
length: 69672
Partition function (logZ) = -23.409420578869405
#Introns = 2051
5SS, 3SS, prob
16693, 16765, 0.5778672564856226
23400, 24300, 0.5008149837882294
20227, 23245, 0.39381899930678876
19758, 20097, 0.3633128671429625
10830, 16619, 0.34603987159649446
8301, 16619, 0.2247673039420873
201, 1567, 0.22364121866357298
16878, 19666, 0.21974753478554868
19758, 23245, 0.18766093374957626
7519, 8213, 0.18541875361640608
201, 7012, 0.17508567576918738
24346, 29336, 0.17504577669771598
23400, 29336, 0.14859626588287145
24346, 29412, 0.1439633830957603
16693, 19666, 0.13216847448647603
16878, 20097, 0.12861232903401512
16878, 19621, 0.12604122754032174
201, 1775, 0.12438055406911872
23400, 29412, 0.12375026422398702
29590, 30527, 0.12304519215579268
29590, 33746, 0.12088382454390942
201, 3206, 0.11753504591890913
7519, 16619, 0.10991092604613978
9296, 16619, 0.10690379100611569
7086, 7427, 0.1037377156483331
7519, 8075, 0.1018605700724828
7224, 7427, 0.09627303414280051
8301, 10649, 0.09163197594772596
1822, 7012, 0.08966164070902109
8086, 8213, 0.08383559302454902
8332, 16619, 0.0827082341273058
29160, 29336, 0.08255428154675516
8328, 16619, 0.08108498939665121
29590, 35033, 0.07966633519279953
16693, 19621, 0.07485465076878917
16878, 23245, 0.07366736757790283
29590, 32651, 0.0707074797264935
23174, 23245, 0.06828005124234152
16693, 16792, 0.06679129663246544
29590, 41315, 0.06635376143719653
7086, 8213, 0.06441791840901348
7519, 10649, 0.0632788010029875
16693, 20097, 0.06290699583012403
29590, 36084, 0.061508074689410164
24346, 28998, 0.06032856999345971
23400, 28998, 0.06002034863027679
29160, 29412, 0.057063737641657696
201, 5136, 0.05632697976463445
3291, 7012, 0.05586547654538014
7086, 7406, 0.05112985724636956
7224, 7406, 0.049845771807765775
1838, 7012, 0.04831860022103467
7224, 8213, 0.04507962774819749
8332, 10649, 0.04133324986077261
8328, 10649, 0.04049240897776743
20179, 23245, 0.04012510104491534
9296, 10649, 0.03989052831818961
20227, 22983, 0.03905810599562473
30609, 33746, 0.03797636054811526
20227, 23271, 0.037735670836453884
5274, 7012, 0.03737135258811481
201, 7133, 0.03677182373156448
7086, 8075, 0.036693430586963546
29590, 33781, 0.03586416527285666
16910, 19666, 0.03504815771016261
20185, 23245, 0.03355561110012759
1822, 7427, 0.03222731349465345
29590, 34179, 0.03137669554381469
201, 7427, 0.030931439890352613
20227, 20774, 0.030823994800401988
7519, 8245, 0.03015718575462467
8301, 9036, 0.029897338361213523
1822, 3206, 0.029229612392257184
24346, 29370, 0.028755648009652288
7224, 8075, 0.02800785089871387
21081, 23245, 0.027777904912550246
7086, 7424, 0.027079742545708545
6796, 7012, 0.026651689033347786
3291, 7427, 0.025374007452071735
7224, 7424, 0.025270607537013375
30609, 35033, 0.02518774556402204
24346, 29539, 0.024843696244188973
29590, 30169, 0.02436102663468919
16693, 23245, 0.0242018690997874
8301, 9114, 0.023293157839051143
7519, 7943, 0.0231707982110884
29590, 37183, 0.022980740242832604
30609, 32651, 0.022418779668107566
7086, 10649, 0.022173640161483443
29590, 35938, 0.022105815828761012
19758, 22983, 0.02176896051727405
20841, 23245, 0.021418215482302813
16910, 20097, 0.02125589105692282
