Gene = nesd
index = 1816
Annotated 5SS: [ 382 1968]
Annotated 3SS: [ 466 2030]
SMsplice 5SS: [  10  382 1968]
SMsplice 3SS: [  78  466 2030]
top_k =  1000
Partition function (log Z): -3.559622454951266

Sorted 5' Splice Sites (High to Low Probability):
Position 382: 0.9729583783927509
Position 1968: 0.9071573369144856
Position 10: 0.62283712357898
Position 29: 0.02356250417257493
Position 14: 0.013064976910519312
Position 580: 0.010047787775108341
Position 629: 0.008910697457849871
Position 1679: 0.008854745656840652
Position 333: 0.0052598189221395135
Position 2054: 0.0049714982531103334
Position 556: 0.0021192625178912956
Position 1216: 0.0012209472416857272
Position 1840: 0.00069540899029782
Position 1243: 0.0006439281920049313
Position 1741: 0.0005443291524632525
Position 979: 0.0005045462588809757
Position 822: 0.0002438996081643029
Position 2188: 0.0002287137268740322
Position 1540: 0.000207048574863011
Position 589: 0.00020662467971636846
Position 1982: 0.0001806124863562268
Position 161: 0.000178696588799353
Position 1321: 0.00014598452393823212
Position 1507: 0.00013282220648916634
Position 851: 0.00012245648175884506
Position 809: 0.0001127571369524134
Position 1853: 9.906488934512457e-05
Position 1361: 9.455377200889869e-05
Position 1939: 5.630635851197091e-05
Position 1985: 5.133982090997525e-05
Position 1933: 4.8495561128634086e-05
Position 820: 4.180584870968963e-05
Position 637: 3.6839030974229127e-05
Position 787: 2.681368437532935e-05
Position 691: 2.3775913740477527e-05
Position 855: 1.9759143577324453e-05
Position 128: 1.9504638235517826e-05
Position 79: 1.4256517874247489e-05
Position 357: 1.3655274805562675e-05
Position 100: 1.1995056277091407e-05
Position 1860: 1.1854237467750472e-05
Position 742: 7.0410230775009715e-06
Position 646: 6.5845692800603096e-06
Position 726: 4.997113974715181e-06
Position 294: 2.1763678062503054e-06
Position 586: 2.0842046942588983e-06
Position 547: 1.9651698876634436e-06
Position 1240: 1.6141422351415506e-06
Position 218: 1.0701022080434504e-06
Position 344: 8.463279674081248e-07
Position 302: 8.28408557483971e-07
Position 2108: 5.341254054258309e-07
Position 263: 1.9938288549729366e-07
Position 243: 8.532194149638547e-08
Position 315: 4.007373412494138e-08
Position 415: 1.0900252280456512e-08
Position 664: 6.4486759390980404e-09
