Gene = ALG2
index = 73
Annotated 5SS: [410]
Annotated 3SS: [3119]
SMsplice 5SS: [410]
SMsplice 3SS: [3469]
top_k =  100
Partition function (log Z): -7.748415761047589

Sorted 5' Splice Sites (High to Low Probability):
Position 410: 0.9790672412648284
Position 3656: 0.2081043627525443
Position 978: 0.17026401638087488
Position 2976: 0.03455829591318845
Position 3574: 0.024742606260181797
Position 2969: 0.016248987832757696
Position 263: 0.01611254041055889
Position 3674: 0.010177232269414959
Position 4017: 0.007912473426518307
Position 3045: 0.00501619473717635
Position 33: 0.004567818613719951
Position 1218: 0.004293376763303553
Position 110: 0.0029719424220731932
Position 694: 0.0023790654349527293
Position 635: 0.0022301953950061887
Position 544: 0.001398688999816465
Position 645: 0.0008266314904961636
Position 505: 0.00040583857985074153
Position 400: 0.00035381225100244746
Position 395: 0.00028050296126535916
Position 439: 0.00020140381804158262
Position 106: 0.00017673531652056843
Position 95: 0.00013240765702075025
Position 535: 7.938526725452434e-05
Position 683: 7.262802277539035e-05
Position 392: 6.521038776561017e-05
Position 40: 6.0136405464590846e-05
Position 45: 5.2079655622769386e-05
Position 726: 4.385998125573846e-05
Position 237: 1.1949137706272384e-05
Position 115: 1.0510645563444457e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 3469: 0.4936963006791396
Position 818: 0.32515155397961426
Position 4194: 0.21910414207681345
Position 3882: 0.1149951199828002
Position 3573: 0.09123451985956868
Position 2861: 0.08528259369022172
Position 3119: 0.05335373306039457
Position 3712: 0.019700065796332253
Position 1182: 0.016053725286300374
Position 3921: 0.01586680101751347
Position 3192: 0.008491184128924594
Position 3138: 0.008211580188821246
Position 2457: 0.006907738707091861
Position 184: 0.00585481315308598
Position 1217: 0.0049904814425545604
Position 1831: 0.0042102825440156555
Position 573: 0.003547393894693908
Position 1147: 0.0035116471495218785
Position 1344: 0.0031851686509064554
Position 855: 0.0020001557536733355
Position 3238: 0.0019173668485669923
Position 128: 0.0017305754900871645
Position 619: 0.0015550545952465996
Position 1009: 0.0009102253284734416
Position 514: 0.000560769199615666
Position 681: 0.0004441363570017924
Position 596: 0.00013750528174400045
Position 385: 8.32067434336191e-05
Position 590: 3.248845455900742e-05
Position 488: 1.4859859459132984e-05
Position 634: 1.3775327667107551e-05
Position 851: 1.3583885411086588e-05
Position 198: 1.193203540928828e-05
Position 205: 1.0144583600013723e-05
Position 103: 8.28833574714414e-06
Position 249: 6.0446645971528066e-06
Position 382: 5.62678213783627e-06
Position 874: 3.702747428125413e-06
Position 871: 3.833113402222903e-07
