Gene = Exph5
index = 390
Annotated 5SS: [  182 36323 38829 51533 65543]
Annotated 3SS: [36161 38671 51483 65406 70572]
SMsplice 5SS: [  182 17176 20295 23932 36323 38829 39801 43679 43877 51533 65543]
SMsplice 3SS: [17088 20131 23786 36161 38671 39623 43540 43785 51483 65406 70572]
top_k =  500
Partition function (log Z): -46.50006550728268

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.9045369465656913
Position 431: 0.5834764043192048
Position 5030: 0.3772208527597106
Position 6147: 0.14486865440100272
Position 132: 0.0908507742496475
Position 507: 0.06465843957789204
Position 3293: 0.04994015837220232
Position 1275: 0.027853361912855455
Position 2690: 0.023105886225922
Position 768: 0.0229818847485939
Position 8329: 0.008870498559710765
Position 5063: 0.007030702574194411
Position 553: 0.004924688442486241
Position 6285: 0.004167067872210086
Position 270: 0.003382276172247459
Position 7884: 0.0032105335629988296
Position 3016: 0.0007514259355729674
Position 5203: 0.000524454300242213
Position 435: 0.00023762788262559102
Position 223: 7.905262522317067e-05
Position 312: 4.93229357812751e-05
Position 533: 4.519134569513271e-05
Position 708: 2.7898026828993714e-05
Position 664: 2.6015529863333742e-05
Position 335: 1.6539452638642112e-05
Position 764: 1.5003027090201027e-05
Position 83: 8.18649745858833e-06
Position 227: 7.609643592543519e-06
Position 449: 6.432285483454258e-06
Position 407: 6.2274105738784045e-06
Position 34: 6.180742940228133e-06
Position 439: 2.6673014993788993e-06
Position 484: 1.2018983320274296e-06
Position 72: 1.193757440123404e-06
Position 8: 4.574925710236127e-07
Position 660: 4.172184484618079e-07
Position 932: 3.950720251843344e-07
Position 282: 2.400213155724826e-07
Position 303: 8.549961676184841e-09
Position 316: 1.647431933268494e-09
Position 306: 1.2651625406260003e-09
Position 1491: 4.6089316142898146e-10
Position 377: 3.9177818745821053e-10
Position 495: 2.2688981315155967e-10
Position 683: 1.40505167975423e-10
Position 414: 1.0636163429041702e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 347: 0.3890179992689308
Position 4949: 0.2513422375381325
Position 5981: 0.22090173942209743
Position 8328: 0.2178312212512008
Position 269: 0.21247385663445398
Position 4909: 0.1436588684160802
Position 12123: 0.12257702784997127
Position 8914: 0.08202156754390626
Position 6314: 0.05391021013851565
Position 11328: 0.05352958464718198
Position 9813: 0.04963518567721666
Position 11365: 0.04182395066291888
Position 10187: 0.041583815857337544
Position 9529: 0.0400771188094238
Position 312: 0.02735253974934594
Position 1149: 0.024680356472661064
Position 4320: 0.02332092848378544
Position 362: 0.02284124498605797
Position 5352: 0.02054514994818911
Position 8429: 0.01817933167807741
Position 5656: 0.01636263320228249
Position 7791: 0.015257270015857465
Position 6231: 0.013806264325711344
Position 2065: 0.012982232142872262
Position 8222: 0.012923694108033228
Position 6463: 0.011821725272635092
Position 7512: 0.01144771787684751
Position 2653: 0.010998624717537969
Position 547: 0.01091120840629284
Position 2518: 0.01072299907768584
Position 3220: 0.01063946719103344
Position 11449: 0.010331580765851256
Position 578: 0.009955911218325201
Position 2962: 0.009088176632041837
Position 3170: 0.008233475802193285
Position 9694: 0.007524065781470326
Position 3148: 0.006915114917076522
Position 5564: 0.006749420300730028
Position 323: 0.005985001632162467
Position 3247: 0.00558223859601399
Position 3177: 0.0052421077652335096
Position 2279: 0.0041955550527217516
Position 3125: 0.003950442985280113
Position 5511: 0.0037487323826970597
Position 2550: 0.0033051922349655385
Position 8001: 0.0032212289751116178
Position 1223: 0.002650339325865597
Position 5459: 0.0026112551390076663
Position 3036: 0.002481947332016115
Position 8974: 0.002249423859643688
Position 1036: 0.0015109445295207761
Position 6117: 0.0014861139295237948
Position 608: 0.0013912728867725883
Position 244: 0.0013031514610189576
Position 3292: 0.0011243871345160271
Position 6397: 0.0010843346784845482
Position 1203: 0.0010289496575163189
Position 4471: 0.0009113259150103968
Position 2316: 0.0008218549661124893
Position 289: 0.0007865742784754086
Position 1535: 0.0007478995329995228
Position 767: 0.0007054107396835423
Position 3067: 0.0006344622413757166
Position 3640: 0.0005889876609504958
Position 6412: 0.0005003383579739257
Position 4294: 0.0004723803741445028
Position 2520: 0.00046390819339262013
Position 1591: 0.0004605604594419581
Position 612: 0.00044020097863674425
Position 594: 0.00043466087036263793
Position 4054: 0.00039518138229487076
Position 3588: 0.0003649234518175836
Position 382: 0.00035776075841399343
Position 3484: 0.000340759227924052
Position 2479: 0.00033681788666414434
Position 1840: 0.00032752058875762114
Position 3090: 0.0003039161621190308
Position 1080: 0.00029985357280492317
Position 2850: 0.0002836894449774132
Position 3464: 0.00028026516173405467
Position 1089: 0.00028015826405395884
Position 3415: 0.00026076756407193897
Position 1153: 0.00024952097751966123
Position 4324: 0.0002113317337799207
Position 235: 0.0001989444129807551
Position 4378: 0.00018251281586432528
Position 614: 0.00017622660624604846
Position 715: 0.0001744498201544931
Position 712: 0.00014351162451514308
Position 2219: 0.0001411502961276195
Position 2003: 0.00013308449087904268
Position 2183: 0.00012270680216142088
Position 300: 0.000121469941040129
Position 3900: 0.00012027849677811485
Position 1257: 0.00011442656766984092
Position 997: 0.00010548613373751507
Position 517: 0.00010023465955214931
Position 868: 9.605739512280419e-05
Position 1176: 8.889569071622008e-05
Position 678: 8.343779103282887e-05
Position 855: 7.335819722815359e-05
Position 282: 6.572811308452855e-05
Position 1974: 5.414302709790888e-05
Position 2889: 5.206308694477036e-05
Position 1864: 5.009303359591973e-05
Position 1393: 2.807894961430388e-05
Position 889: 2.132594747377263e-05
Position 454: 8.232217001472018e-06
Position 718: 7.026940840297465e-06
Position 3006: 5.4052906950813545e-06
Position 392: 5.298234408567923e-06
Position 3015: 5.186739169588077e-06
Position 525: 4.79742092236622e-06
Position 396: 4.1591154226939495e-06
Position 377: 3.085307461423564e-06
Position 399: 2.5312222628567028e-06
Position 638: 2.3725156145327086e-06
Position 403: 1.2548992158650985e-06
Position 489: 1.1270761943034502e-06
Position 291: 1.0723287343080084e-06
Position 1227: 9.638065194739647e-07
Position 1254: 8.853466866223407e-07
Position 625: 7.477805928920742e-07
Position 474: 6.210642803171292e-07
Position 1182: 4.516686766351551e-07
Position 649: 2.479981387744017e-07
Position 632: 2.18570279315941e-07
Position 407: 1.3031190069669346e-07
Position 532: 1.006740046679911e-07
Position 557: 4.638194693332889e-08
Position 506: 3.190549344378914e-08
Position 979: 2.4179366773079955e-08
Position 1049: 1.862547673213224e-08
Position 804: 1.3270014763493579e-08
Position 481: 4.640412043483263e-10
Position 94: 4.386655030304938e-10
Position 114: 3.9818486850694483e-10
Position 111: 1.4485684863618892e-10
Position 131: 1.258406541613143e-10
Position 1425: 3.4663565080913124e-11
Position 1326: 1.802555516622238e-11
Position 80: 3.0249411147803437e-14
Position 107: 1.8967903303244398e-14
Position 118: 8.53749657619622e-15
