Gene = MRPS33
index = 880
Annotated 5SS: [  73 4565]
Annotated 3SS: [4322 8447]
SMsplice 5SS: [ 433 4565]
SMsplice 3SS: [4322 8447]
top_k =  100
Partition function (log Z): -10.066619273774426

Sorted 5' Splice Sites (High to Low Probability):
Position 4565: 0.6858343007349949
Position 433: 0.6497106748207075
Position 917: 0.4728046336418975
Position 73: 0.2134834574596163
Position 632: 0.13400108839760907
Position 53: 0.08857109792898447
Position 62: 0.0801668868792394
Position 4502: 0.046040972409400305
Position 2635: 0.017080888939155544
Position 540: 0.014724397647709372
Position 2653: 0.009266274168647429
Position 49: 0.005266013634108885
Position 2639: 0.004467503262818058
Position 4449: 0.0037258046162953295
Position 438: 0.0031442701628972263
Position 18: 0.002180606825698248
Position 67: 0.0017685892758615908
Position 200: 0.0010015217049794138
Position 206: 0.0008086103594769817
Position 85: 0.0006465971927175257
Position 97: 9.412880973969484e-05
Position 81: 7.864170349271995e-05
Position 184: 5.770162831012051e-05
Position 147: 3.7900993733988455e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 8447: 0.7865244360225186
Position 4322: 0.6883298987865404
Position 779: 0.262531191580579
Position 301: 0.17073051368335734
Position 4365: 0.16623695151426215
Position 815: 0.08252920360763659
Position 792: 0.04970495094869769
Position 746: 0.03619853407127433
Position 2573: 0.03209473264653235
Position 6387: 0.02660997758227984
Position 4393: 0.019434974000176904
Position 7669: 0.015123781631148107
Position 520: 0.014687668019678524
Position 684: 0.014681743522180829
Position 8178: 0.01352351863044781
Position 508: 0.010744777136739492
Position 655: 0.009231445852811304
Position 243: 0.006077434981486454
Position 5894: 0.004996588359691693
Position 333: 0.0048266999321878645
Position 265: 0.003775785706860765
Position 4668: 0.0029423912179131206
Position 4915: 0.0026525165731831404
Position 5501: 0.002471625981891161
Position 4651: 0.0016761528531739245
Position 6356: 0.0015556306580868427
Position 400: 0.001251106900139033
Position 336: 0.0007799803679827992
Position 380: 0.0007511351945503861
Position 4018: 0.0007085365492584486
Position 580: 0.00041253428187488014
Position 423: 0.0003749834565581847
Position 150: 0.00035182178498288196
Position 524: 0.0003355157276825726
Position 4347: 8.348285229868804e-05
Position 595: 1.9450045880380382e-05
Position 104: 8.905355467111172e-07
