Gene = C9orf142
index = 250
Annotated 5SS: [ 145  283  557  826  994 1247]
Annotated 3SS: [ 221  506  634  924 1161 1347]
SMsplice 5SS: [ 557  826  994 1247]
SMsplice 3SS: [ 634  924 1161 1347]
top_k =  500
Partition function (log Z): 5.818129424250256

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.9859453469729599
Position 826: 0.9810480998549698
Position 557: 0.8552683953612078
Position 1247: 0.8125941666915757
Position 145: 0.7667946155008183
Position 287: 0.2486979815892807
Position 283: 0.027296346074445324
Position 167: 0.02063222100081858
Position 299: 0.016996228191614497
Position 1238: 0.01477774882755813
Position 738: 0.01385999773474709
Position 1020: 0.008702004086164613
Position 551: 0.004874029942289957
Position 838: 0.0024263560215924827
Position 155: 0.00239089216769281
Position 1390: 0.0020294292006127193
Position 585: 0.0009185112708629915
Position 643: 0.0008827898213808632
Position 442: 0.0006622156689398695
Position 88: 0.0006108662260207424
Position 398: 0.0005663857868276965
Position 526: 0.0002799333932118945
Position 1280: 0.00019908293132182533
Position 1180: 0.00015440381236846553
Position 149: 0.00011728907271380391
Position 1003: 9.09103885798049e-05
Position 600: 8.852004978191081e-05
Position 1106: 7.045862369740567e-05
Position 86: 6.979546477342843e-05
Position 433: 6.827321878353934e-05
Position 1128: 4.786142695481159e-05
Position 1347: 4.39303600150915e-05
Position 1418: 4.001669830727443e-05
Position 1011: 2.721955559878721e-05
Position 1208: 2.3160922474079198e-05
Position 404: 2.008127618987856e-05
Position 173: 1.722025181809437e-05
Position 449: 1.4791532557111635e-05
Position 328: 8.335584009768372e-06
Position 1050: 6.33287458858914e-06
Position 1197: 4.207645690712364e-06
Position 1210: 2.020144558159853e-06
Position 337: 1.7299734055507175e-06
Position 798: 1.6959213521908764e-06
Position 1220: 1.6012460042059794e-06
Position 407: 1.5881416760277141e-06
Position 800: 5.873430207452194e-07
Position 223: 4.7331618408593576e-07
Position 6: 4.483064528231806e-07
Position 1028: 1.984525429639918e-07
Position 37: 5.6104912117264396e-08
Position 458: 1.5112315869754243e-08
Position 942: 2.608671711583228e-09
Position 469: 7.212484881601102e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1161: 0.9573483296103166
Position 924: 0.9491271731266177
Position 1347: 0.7514832485137386
Position 634: 0.5901032280338213
Position 674: 0.2859514196373564
Position 221: 0.23243252297460595
Position 475: 0.20244546525970503
Position 401: 0.1313614508013534
Position 458: 0.10557197737038425
Position 207: 0.09806054186698962
Position 328: 0.08164290546389136
Position 1317: 0.08085076361151967
Position 737: 0.049924228883944634
Position 506: 0.04953169670158532
Position 930: 0.04546207634750047
Position 702: 0.0434947465302581
Position 639: 0.024286637965008677
Position 1167: 0.015326511080524585
Position 441: 0.01200999172423846
Position 333: 0.011957193907409734
Position 1351: 0.009061892808149568
Position 510: 0.005275955265439966
Position 423: 0.005078164107730992
Position 479: 0.004706030925788952
Position 1501: 0.004641025491329584
Position 370: 0.0028024240744513786
Position 373: 0.002658428904986507
Position 1066: 0.0025853313710218536
Position 1127: 0.001756505195373891
Position 677: 0.0015159103417566506
Position 269: 0.0014577051333084254
Position 1544: 0.0013486760307395895
Position 1105: 0.0010212981992705266
Position 896: 0.000954915156446092
Position 744: 0.0008859812732674412
Position 1079: 0.0007507727914771922
Position 352: 0.0005675767869962974
Position 1460: 0.0005592885163485087
Position 1278: 0.00044705670706376077
Position 1358: 0.0004077939163084766
Position 407: 0.00040288376372528265
Position 650: 0.00038244592530422823
Position 972: 0.00022150713844502562
Position 1102: 0.00022092600067823102
Position 933: 0.0001779426846465355
Position 1325: 0.00016878954151837818
Position 682: 0.00016759143474240684
Position 1389: 0.00013597514813620834
Position 240: 0.00011855303894121759
Position 1133: 0.00010344813301532413
Position 1175: 7.599848018093732e-05
Position 526: 5.873020911946765e-05
Position 935: 3.860573907545935e-05
Position 556: 3.8568503225300915e-05
Position 1197: 3.153682329608307e-05
Position 490: 2.330361858411041e-05
Position 1201: 2.328537122651183e-05
Position 1260: 2.0681919034821428e-05
Position 610: 1.7526505255457018e-05
Position 763: 1.696338529271172e-05
Position 1244: 1.4197830505066209e-05
Position 1381: 1.2987425475683536e-05
Position 248: 7.902224107998331e-06
Position 1437: 7.037357288282162e-06
Position 1418: 3.845571558646e-06
Position 1083: 3.7100906020512653e-06
Position 654: 3.213419441932322e-06
Position 952: 3.0534633775917627e-06
Position 307: 3.006186115219408e-06
Position 993: 2.9323331946870845e-06
Position 1395: 2.325734609210624e-06
Position 1215: 2.173991569566319e-06
Position 1462: 1.7270126479395372e-06
Position 939: 1.5763259271179351e-06
Position 1441: 1.4166131285014887e-06
Position 1081: 1.1059033393330127e-06
Position 956: 8.600927330633737e-07
Position 1050: 7.921675530340986e-07
Position 825: 6.820869998335437e-07
Position 980: 6.116073698050946e-07
Position 958: 5.666576633478548e-07
Position 1177: 4.564417842524648e-07
Position 1179: 2.4370706883621e-07
Position 536: 1.7211935719209652e-07
Position 166: 5.6718052239696066e-08
Position 170: 3.7947118544070484e-08
Position 178: 3.3591241339516236e-08
Position 1020: 1.425316068013735e-08
Position 1204: 1.383056719466242e-08
Position 1023: 1.144300123850049e-08
Position 145: 3.7568800179417466e-10
Position 182: 7.424088061771175e-11
Position 73: 6.553453162869865e-11
Position 149: 3.087849109548553e-11
Position 101: 3.678190374488353e-12
Position 106: 7.064783664198562e-14
Position 111: 3.88007326952673e-14
Position 118: 4.871876064914647e-16
