Gene = 2310057M21Rik
index = 36
Annotated 5SS: [  252  1027  1871  5300 12109]
Annotated 3SS: [  822  1797  5092 11656 18954]
SMsplice 5SS: [  252  1027 12109 13739]
SMsplice 3SS: [  822 12013 13655 18954]
top_k =  1000
Partition function (log Z): -15.365766496038269

Sorted 5' Splice Sites (High to Low Probability):
Position 1027: 0.9563319423396164
Position 252: 0.7770702867648069
Position 12109: 0.45436849077592295
Position 741: 0.3334806321628967
Position 1871: 0.3060821282266059
Position 11614: 0.15054293320621356
Position 9097: 0.07680269475336138
Position 386: 0.06209194340601447
Position 10150: 0.05192858294783633
Position 4681: 0.03537607942517772
Position 1300: 0.0328325196393744
Position 8674: 0.01984282420961129
Position 5248: 0.012317058165997895
Position 278: 0.011461896062989493
Position 409: 0.011375607200796296
Position 6114: 0.010964664383847137
Position 715: 0.006916256444495232
Position 1628: 0.006839931540728822
Position 141: 0.006533763857611052
Position 6118: 0.005354967709320386
Position 833: 0.004059797720461199
Position 7317: 0.0035081881772034917
Position 3717: 0.0030170703378889756
Position 5356: 0.0024712282823399164
Position 5993: 0.0023590522202176644
Position 156: 0.002039233979518376
Position 926: 0.0018609727728294823
Position 1244: 0.001703535725046072
Position 273: 0.0015588647032530076
Position 699: 0.001366871529041888
Position 4801: 0.0013200333000488527
Position 1581: 0.0012371285636299664
Position 686: 0.0012359147550850822
Position 1632: 0.0012309330683982417
Position 959: 0.0012276932836637006
Position 1263: 0.0012192066509380507
Position 909: 0.0011377677696644047
Position 693: 0.0011358417525980315
Position 735: 0.0010662974565900675
Position 703: 0.0009398077689693916
Position 551: 0.0006975756735799307
Position 7510: 0.0006801609445058729
Position 56: 0.0004222655464691405
Position 373: 0.0003430808032507785
Position 1719: 0.00029917495356742276
Position 3631: 0.0002554639102577071
Position 567: 0.00022944727842119634
Position 1535: 0.00021282920074991587
Position 203: 0.00020714070751936807
Position 3895: 0.00019393261993073808
Position 1459: 0.0001800447139343361
Position 1463: 0.00017036235258714277
Position 1488: 0.00016951276689909186
Position 939: 0.00016193020654433246
Position 2806: 0.00015537552782255692
Position 5526: 0.00014773537509237276
Position 4229: 0.0001365475615599737
Position 376: 0.00013172997568811006
Position 1721: 0.0001123166557177893
Position 976: 0.00010917403599987891
Position 1013: 8.617861887693662e-05
Position 5014: 8.57173186413739e-05
Position 73: 8.180188855651347e-05
Position 1495: 7.545718455458888e-05
Position 1165: 7.398660803685607e-05
Position 1510: 7.330292740974344e-05
Position 284: 6.700727140170659e-05
Position 443: 4.8539149270471184e-05
Position 2479: 4.2225639175672056e-05
Position 1559: 3.6517783799323794e-05
Position 1650: 3.486161139190435e-05
Position 1900: 2.7409482840247773e-05
Position 3432: 2.4613073333748284e-05
Position 932: 1.6787085598152434e-05
Position 1085: 1.658346255165009e-05
Position 722: 1.2363440152617917e-05
Position 622: 1.0506050064542797e-05
Position 990: 1.0501505676919024e-05
Position 1031: 1.022180282166799e-05
Position 499: 9.428054535101128e-06
Position 531: 4.469997365889558e-06
