Gene = LSM8
index = 804
Annotated 5SS: [ 223 1663 4374]
Annotated 3SS: [1621 4245 7879]
SMsplice 5SS: [ 223 4374]
SMsplice 3SS: [4245 7879]
top_k =  1000
Partition function (log Z): -6.0433663443826084

Sorted 5' Splice Sites (High to Low Probability):
Position 223: 0.833270792423017
Position 4374: 0.8090532085625399
Position 1663: 0.5312684003764402
Position 3290: 0.29004619812539567
Position 249: 0.1474538565677871
Position 4077: 0.08692144320662867
Position 4364: 0.06703713974966898
Position 4357: 0.044451643718169745
Position 2284: 0.025448711823117556
Position 1072: 0.02271598225825679
Position 1148: 0.020770936288905056
Position 3486: 0.01754821898442001
Position 835: 0.016181141270544923
Position 1697: 0.015177597563494056
Position 7790: 0.009355513973369829
Position 6999: 0.009348604290807718
Position 5015: 0.0069813265112124885
Position 8052: 0.00694808133148025
Position 287: 0.006022402818561635
Position 4339: 0.005329869858262379
Position 8478: 0.005130671892231866
Position 2629: 0.004577718373629158
Position 1391: 0.003952717658758034
Position 3493: 0.003808160155587583
Position 999: 0.0035292999002174822
Position 4327: 0.0029821507273684344
Position 2538: 0.002672487556706444
Position 1856: 0.002357019932119853
Position 3255: 0.0021141829517763327
Position 276: 0.0018756070911051276
Position 1183: 0.0016788605406190236
Position 7996: 0.001671162886299253
Position 8095: 0.001642514781480796
Position 4140: 0.0015434014476466745
Position 294: 0.0014815666904375202
Position 7814: 0.001351155345338366
Position 8482: 0.0013468234651698861
Position 3854: 0.001101298863797553
Position 6867: 0.0008747917213005257
Position 1406: 0.0007736694436982014
Position 3466: 0.0007551939850430222
Position 4200: 0.0006757590798720775
Position 8088: 0.0006583828307045365
Position 4047: 0.0005834543429137094
Position 486: 0.0005779451981380377
Position 9: 0.0005713216485599784
Position 4378: 0.00039465384517265123
Position 409: 0.0003750842665264949
Position 6220: 0.0003706617046973829
Position 259: 0.00035630098215434124
Position 6860: 0.0003537964088963194
Position 33: 0.0002895869672711803
Position 890: 0.00026320405562905893
Position 4029: 0.00024235743674389632
Position 2867: 0.00019783338795922704
Position 2155: 0.00017797050026504885
Position 8472: 0.00017623143292681037
Position 6227: 0.00017546046342192898
Position 2291: 0.00015866129118687154
Position 2178: 0.00015277525730835733
Position 697: 0.00014580425177513208
