Gene = Sbsn
index = 946
Annotated 5SS: [ 445 3410 3576]
Annotated 3SS: [3337 3530 4493]
SMsplice 5SS: [445]
SMsplice 3SS: [4493]
top_k =  500
Partition function (log Z): -8.137928156654617

Sorted 5' Splice Sites (High to Low Probability):
Position 445: 0.739567481080217
Position 3410: 0.5183711285113034
Position 2581: 0.2821871842725529
Position 3576: 0.2729837663050738
Position 229: 0.2729753146379168
Position 4395: 0.12907693033129952
Position 1999: 0.10599264352570915
Position 2013: 0.05031672580504861
Position 3500: 0.03232287238501985
Position 2003: 0.029370318065295397
Position 4314: 0.02503623855079086
Position 2174: 0.02430174347675376
Position 481: 0.02141461496918401
Position 3361: 0.021304867282833227
Position 184: 0.0158377188656776
Position 26: 0.010538448659175291
Position 2902: 0.010383072859349684
Position 1633: 0.006175306715658126
Position 1901: 0.005876736913380479
Position 3810: 0.005379731120752402
Position 1579: 0.005229874144215075
Position 4271: 0.0036715558142609785
Position 1935: 0.0032584879203189157
Position 3489: 0.003076832031598308
Position 2784: 0.0024625830668944903
Position 93: 0.001635110051054023
Position 411: 0.0013551857346320816
Position 515: 0.0011889303084597512
Position 299: 0.0011239118629448352
Position 2444: 0.000812009478206737
Position 358: 0.0004899939149487
Position 2522: 0.00045291881290898754
Position 100: 0.0003306091639682401
Position 2366: 0.00024665515705068027
Position 2737: 0.0002342892743806808
Position 7: 0.00021711982142889484
Position 175: 0.00019216256318211854
Position 1414: 0.00018974661660895427
Position 539: 0.00017652506277244224
Position 2790: 0.0001399587323296523
Position 564: 0.0001259446531924017
Position 545: 0.00011064359312366904
Position 756: 0.00010831961378429028
Position 195: 0.00010046797465210796
Position 618: 9.221998232292963e-05
Position 1621: 9.153226753053972e-05
Position 424: 8.558785090034193e-05
Position 737: 7.87204402470882e-05
Position 731: 7.848940755973687e-05
Position 672: 7.513767528510768e-05
Position 130: 1.1312847552470021e-05
Position 104: 9.609712712149381e-06
Position 1193: 5.94586224059244e-06
Position 1031: 5.811230714177922e-06
Position 1085: 5.313626887579171e-06
Position 1139: 5.065464533014801e-06
Position 283: 4.3110297777045195e-06
Position 593: 3.7260967531886526e-06
Position 810: 3.6019055372820974e-06
Position 864: 1.4597424974028386e-06
Position 791: 1.4381840881322703e-06
Position 1217: 1.212930594914849e-06
Position 1163: 7.124733294869494e-07
Position 1313: 6.335617522192562e-07
Position 337: 6.919199048238854e-09
Position 377: 1.1294950878178602e-09
Position 845: 9.89964535989968e-10
Position 785: 8.01114387209066e-10
Position 839: 5.959651866037891e-10
Position 510: 2.1794874385792106e-10
Position 522: 1.481649873661814e-10
Position 497: 1.1847850143460785e-10
Position 569: 9.381322323929971e-11
Position 977: 4.247073823692574e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4493: 0.9036137950425963
Position 3337: 0.5588004087632277
Position 3530: 0.22551737147181286
Position 2353: 0.19325371007999717
Position 1869: 0.15087873763612558
Position 4151: 0.13567821190693002
Position 2558: 0.07195410389746248
Position 3481: 0.05671428033887021
Position 308: 0.04806990081170284
Position 2117: 0.029023280085045747
Position 4340: 0.02634459298982956
Position 1815: 0.02369704969043549
Position 2400: 0.018366128036388606
Position 3722: 0.01813030886320222
Position 3222: 0.01466352101743349
Position 1491: 0.013985910992764822
Position 1761: 0.011408074852331373
Position 3161: 0.010902788059950218
Position 3226: 0.009173885383546345
Position 361: 0.009034376579229295
Position 4225: 0.007507329829992242
Position 2248: 0.007378918375451992
Position 3621: 0.007141267016549861
Position 324: 0.00697444094240179
Position 3499: 0.005906791905816186
Position 4425: 0.005152068072568332
Position 1923: 0.004769068267736379
Position 3083: 0.0032753135808633814
Position 3305: 0.002477741862559802
Position 377: 0.0022179188838926268
Position 320: 0.0020681747657248324
Position 2560: 0.001739185387727186
Position 2772: 0.0015352936909511883
Position 1827: 0.0014295542746603385
Position 3239: 0.0013759825300136707
Position 3350: 0.0011712543782781578
Position 2736: 0.0011470466535269744
Position 2157: 0.0010500483680092555
Position 3632: 0.000997659867270752
Position 2659: 0.0009691068601844627
Position 394: 0.0008418994241847376
Position 2405: 0.0007209576337975609
Position 4394: 0.0006278618360391144
Position 3060: 0.0006031099901868684
Position 4495: 0.0005932026075393516
Position 3564: 0.0005735627558013448
Position 3740: 0.0005416288344585472
Position 2282: 0.0005288031844986195
Position 1846: 0.0004972798320552781
Position 4558: 0.00038702306103900627
Position 1833: 0.00036978712608074773
Position 2725: 0.00029471384633071747
Position 2566: 0.00028879168930791115
Position 1824: 0.00027893693238843873
Position 2119: 0.0002769100646708164
Position 4529: 0.0002662207032062754
Position 2688: 0.0002656699807037364
Position 1707: 0.00025105879920461554
Position 2357: 0.00023234452221066026
Position 160: 0.00021673872072031607
Position 358: 0.00021275900621252152
Position 1275: 0.00020456002948467323
Position 951: 0.00018568009662689341
Position 1113: 0.00018015630662142186
Position 1433: 0.00017231023580851666
Position 1059: 0.0001584646691269911
Position 2580: 0.0001480054968436263
Position 651: 0.00014792951971875554
Position 1530: 0.00014514034997029155
Position 897: 0.00014437779135670706
Position 1005: 0.00012291982921627608
Position 543: 0.00011727656842408594
Position 3651: 0.00010793041622156819
Position 1167: 8.024301011307421e-05
Position 104: 7.99717503693835e-05
Position 597: 7.828060172989303e-05
Position 1638: 7.712261905634647e-05
Position 1392: 7.325222985766189e-05
Position 130: 6.778748404674972e-05
Position 2002: 4.034829466994392e-05
Position 735: 3.9012068390374105e-05
Position 1221: 3.674054785930849e-05
Position 789: 3.159123491509458e-05
Position 843: 2.877921303176035e-05
Position 444: 2.6523451275916995e-05
Position 271: 2.312915030645253e-05
Position 333: 1.083659539008718e-05
Position 1584: 4.6498556562811355e-06
Position 1437: 4.545351811241564e-06
Position 228: 2.511641351855335e-06
Position 2305: 2.2244438433159436e-07
Position 1338: 1.3350857473179115e-07
Position 1347: 1.3206756087955547e-07
Position 183: 4.2374574757277204e-08
Position 113: 4.095947137998559e-08
Position 399: 5.536793859183278e-09
Position 403: 4.849997410816753e-09
Position 283: 4.106850853888903e-09
Position 278: 3.294901794425622e-09
Position 406: 1.5022576113743286e-09
Position 190: 1.298737277797455e-09
Position 247: 1.0423543632842646e-09
Position 237: 3.214862388415064e-10
Position 168: 1.6659337039870406e-10
Position 200: 1.5635242876698395e-10
Position 408: 9.84158015951817e-11
Position 193: 8.456991425912116e-11
Position 212: 7.692805441518984e-11
Position 226: 6.14510179965742e-11
Position 180: 6.024777282355771e-11
Position 205: 4.355142783072412e-11
Position 411: 1.5350507144540838e-11
Position 224: 4.981517494461057e-12
