Gene = Hr38
index = 1215
Annotated 5SS: [ 1552 24446 26133 27339]
Annotated 3SS: [24131 24986 26251 27521]
SMsplice 5SS: [  385 24446 26133 27339]
SMsplice 3SS: [24131 24986 26251 27521]
top_k =  500
Partition function (log Z): -8.751022922694569

Sorted 5' Splice Sites (High to Low Probability):
Position 27339: 0.9919843039644177
Position 26133: 0.9678611447654422
Position 24446: 0.7355583953190409
Position 385: 0.4648741753694507
Position 190: 0.37156648985417357
Position 1813: 0.25041538427060395
Position 24395: 0.24643551867581295
Position 27754: 0.18593232201919196
Position 1552: 0.09177334829586392
Position 24755: 0.06707294511957192
Position 24703: 0.041808070526875
Position 28436: 0.019848214869017788
Position 595: 0.01914560737723446
Position 990: 0.00801787933499936
Position 371: 0.007258008034848278
Position 29164: 0.006891973916429305
Position 27794: 0.0062581236513709155
Position 27343: 0.005567887269045447
Position 288: 0.004655851793595358
Position 1012: 0.0043555879725126175
Position 28919: 0.003744516170086127
Position 28552: 0.0036010215302665796
Position 188: 0.0033535458140464035
Position 27995: 0.0032947368195536298
Position 426: 0.0029611917817177666
Position 692: 0.0028286159390079097
Position 27670: 0.0023971060728322463
Position 294: 0.0022208985874593162
Position 389: 0.002196729180227782
Position 1590: 0.001985478079587966
Position 110: 0.0018916991184173525
Position 28611: 0.0016770622327589141
Position 324: 0.001663500774460701
Position 25209: 0.0016368914403255685
Position 1040: 0.0015475097612813184
Position 26372: 0.0015164116405928653
Position 310: 0.0013257525132794013
Position 28585: 0.0012721716253448541
Position 26390: 0.0011600327548532273
Position 441: 0.0011251213497844668
Position 29217: 0.0011061349190586815
Position 524: 0.0010542498692349244
Position 28953: 0.001036139777555078
Position 27725: 0.0007416567559054536
Position 26704: 0.000669621465301875
Position 1556: 0.0006665477414813023
Position 1211: 0.00046984353199717055
Position 27348: 0.0003835900958813616
Position 28593: 0.00034072410429692904
Position 584: 0.0003177425852440464
Position 89: 0.000306704335203035
Position 542: 0.00029922039480843133
Position 160: 0.0002960120438373653
Position 29430: 0.00027072769684184357
Position 1429: 0.0002641166174664806
Position 1586: 0.00017638177876907956
Position 28679: 0.00017294182973872252
Position 539: 0.00017043843213503232
Position 27831: 0.00016561542959906474
Position 27005: 0.00015617353042114048
Position 28753: 0.0001481508904724955
Position 588: 0.00014804801295658572
Position 1014: 0.00014379707825136554
Position 1584: 0.0001273408467297932
Position 796: 0.00011576628592059394
Position 688: 0.00010515060516059074
Position 1240: 9.950429445226628e-05
Position 572: 9.725813039129899e-05
Position 650: 9.694038332327513e-05
Position 593: 7.242911446293606e-05
Position 574: 6.887200152801735e-05
