Gene = LOC101744999
index = 667
Annotated 5SS: [529]
Annotated 3SS: [37928]
SMsplice 5SS: [529]
SMsplice 3SS: [37928]
length: 39306
Partition function (logZ) = -28.07631417826071
#Exons = 1022
3SS, 5SS, prob
0, 529, 0.7851576603599938
24066, -1, 0.5207930549999915
18981, -1, 0.2595669523902211
0, 436, 0.15066027022967018
1429, 1628, 0.08428300591739632
16409, -1, 0.07102704490302304
0, 184, 0.04593053874911489
6295, -1, 0.04538419985714483
1548, 1628, 0.035372071435507316
10822, -1, 0.02820874492966924
15188, -1, 0.022608495918305258
1435, 1628, 0.018335595756589402
13860, 13981, 0.0172463821561597
16449, -1, 0.015282341002999788
14516, -1, 0.011631039179111406
17567, -1, 0.008721446227854325
4183, 4326, 0.004850063909438287
14516, 14655, 0.004460315696998918
4864, 5065, 0.0039317385912407575
0, 1074, 0.003389555464434447
4652, 4772, 0.0030788500506139056
13860, -1, 0.003018535507870639
0, 533, 0.002479275104816373
0, 1179, 0.0022752017798351363
4810, 5065, 0.00211300560978446
10141, -1, 0.001964596676509391
0, 592, 0.0018673116149556272
0, 116, 0.0018623013878962668
15176, -1, 0.0016508133057623593
4839, 5065, 0.0015532458720336783
6937, 7041, 0.001390423669666603
0, 1099, 0.0013778183775874388
12254, -1, 0.0012411300989412144
8960, -1, 0.0012403268237376093
0, 415, 0.001198893471387113
12476, -1, 0.0011433206632268786
13309, -1, 0.0011314314957296446
2496, 2578, 0.0009893801915405915
5136, 5367, 0.0008717292345963379
356, 529, 0.0008248708756668544
0, 624, 0.000808135452567833
0, 1078, 0.0007823221397855054
10141, 10381, 0.0007441447846641252
4810, 4980, 0.000682685289185664
825, 1074, 0.0006242913232912322
1490, 1628, 0.0006138954787759094
0, 1628, 0.0006087531369901643
4769, 5065, 0.000596926591145314
4511, 4772, 0.0005722863973621708
10114, -1, 0.0005118294209136548
6295, 6334, 0.0005103631421264062
271, 436, 0.0005086858541363763
4864, 4980, 0.0004919891722033048
10543, -1, 0.0004899997189338587
6295, 6400, 0.00046790830422996105
8886, -1, 0.0004637119646237163
5136, -1, 0.00046036236697988357
1496, 1628, 0.0004553674288308681
1927, 2085, 0.00042879129909694836
1365, 1628, 0.0004015870824586352
4183, 4385, 0.0003956005931245016
10543, 10677, 0.00039142255408840503
6328, -1, 0.000382516232699435
1235, 1628, 0.0003770662206034359
4839, 4980, 0.0003684854572845305
1449, 1628, 0.000366871098294198
5635, 5905, 0.0003389011942194155
368, 529, 0.0003309366050572736
1927, 2145, 0.00030232770194831915
1285, 1628, 0.0002995845554267048
0, 250, 0.0002902371122018155
271, 529, 0.0002893256031800883
291, 436, 0.0002891670358729747
3971, 4326, 0.0002761807126970531
2496, -1, 0.0002643375347203383
9435, -1, 0.00025633888925998916
4156, 4326, 0.0002507774649210817
5635, 5717, 0.00024892353830022895
1548, 1750, 0.0002450393258274107
4127, 4326, 0.00024249972163779837
5583, 5717, 0.0002377367479528932
1429, 1574, 0.00022674672204227832
12195, -1, 0.0002246036682422203
6937, -1, 0.0002134590106495093
291, 529, 0.0002018396784137365
1369, 1628, 0.0002011763330541714
5158, 5367, 0.0001957940343629167
1429, 1524, 0.00019565022485215015
711, 1074, 0.00019286220442993145
0, 747, 0.0001909514181113289
4111, 4326, 0.00018714181273048967
0, 1056, 0.0001867250012101697
1196, 1628, 0.0001861216908031067
4652, 5065, 0.0001816566118645009
4769, 4980, 0.00017636151162976578
1947, 2085, 0.00017456479214148873
1947, 2145, 0.00017364761601558888
0, 780, 0.00017097106611515118
8349, -1, 0.00016923396488217738
0, 1293, 0.00015894538532248856
9435, 9572, 0.00014067187104093232
356, 436, 0.00013412920067948375
825, 1099, 0.0001321321293521
1567, 1628, 0.00012679390639376358
7656, -1, 0.0001251182111766834
8211, -1, 0.00012377003830137034
5550, 5717, 0.00012293286520727518
5136, 5229, 0.00012138302815282968
1429, -1, 0.00011543364099567818
4652, 4865, 0.00010380467957531594
825, 1078, 0.00010345557141658875
9435, 9611, 9.816287876008094e-05
1330, 1628, 9.777501375889716e-05
8501, -1, 9.073942090684756e-05
9403, -1, 8.874430142722722e-05
825, 1179, 8.433423684706252e-05
1125, 1628, 8.325437854823636e-05
4810, -1, 8.285126146010458e-05
0, 1038, 8.27654856897525e-05
5635, -1, 8.174476811857875e-05
1548, -1, 8.124937348654872e-05
5158, -1, 7.922099667055054e-05
4098, 4326, 7.6757010566055e-05
0, 717, 7.659150002871074e-05
4652, -1, 7.551351966434306e-05
1125, 1179, 7.370025620915338e-05
6295, 7041, 7.27033369229201e-05
4864, -1, 7.14255077683866e-05
248, 436, 7.03920066399517e-05
4183, 4367, 6.791293770378488e-05
0, 427, 6.729088168951231e-05
4769, 4865, 6.526976324081341e-05
5175, 5367, 6.036857650216059e-05
6479, -1, 5.863290177094084e-05
4769, 4772, 5.799951259405634e-05
1429, 1750, 5.760749471513711e-05
711, -1, 5.5409054762697894e-05
4511, -1, 5.4912043865348174e-05
1993, 2145, 5.435334647751337e-05
2819, -1, 5.287447773054504e-05
3940, 4326, 5.1139003505917425e-05
1125, 1293, 4.89969132389985e-05
330, 529, 4.7560379472179874e-05
3971, -1, 4.716618539470249e-05
3772, 3877, 4.6125989286666505e-05
4652, 4980, 4.599086228666004e-05
4769, -1, 4.5733222378826166e-05
4183, -1, 4.503546186701838e-05
6991, 7041, 4.426857909882457e-05
799, 1074, 4.417788288291085e-05
1548, 1793, 4.373632152938854e-05
1435, 1574, 4.344349708759896e-05
4839, -1, 4.282064107692279e-05
0, 484, 4.270932655805053e-05
0, 1011, 4.182181109825935e-05
711, 1099, 4.0843581761417396e-05
8433, -1, 4.049250086852788e-05
0, 154, 4.0332027089050186e-05
