Gene = Mepe
index = 670
Annotated 5SS: [  76 1804]
Annotated 3SS: [ 1735 11744]
SMsplice 5SS: [   76 11888]
SMsplice 3SS: [11744 12241]
top_k =  100
Partition function (log Z): -12.130368918882713

Sorted 5' Splice Sites (High to Low Probability):
Position 76: 0.9331981412036324
Position 1372: 0.5865021437819918
Position 1804: 0.26317294071115543
Position 62: 0.04855113732362216
Position 8433: 0.03504883298512937
Position 5286: 0.03407336527657338
Position 2063: 0.02048594172316131
Position 1856: 0.017101962947472304
Position 1347: 0.010479329198108142
Position 224: 0.0071123925321655
Position 1074: 0.004920500408432699
Position 1620: 0.004791795081274689
Position 513: 0.0047515444214699075
Position 143: 0.00392051003149928
Position 1511: 0.001767091969588659
Position 1102: 0.0010605751812336884
Position 228: 0.0008484864837974446
Position 124: 0.0006966759562514826
Position 117: 0.0006449425719297257
Position 400: 0.00016241268057160161
Position 1099: 0.00014626187953738334
Position 154: 1.7279885846823885e-05
Position 285: 8.497655175749548e-06
Position 207: 9.18719558269015e-07
Position 300: 8.655200954311764e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1184: 0.4478940211335605
Position 1735: 0.3256652422715822
Position 7397: 0.2382828314918426
Position 7292: 0.19703996694855316
Position 8244: 0.1886878274303193
Position 1927: 0.1671466468305745
Position 1226: 0.15757042055870887
Position 5187: 0.10394364190261256
Position 8550: 0.03504883298512937
Position 3972: 0.026309601954495658
Position 4716: 0.01637971337598317
Position 2449: 0.012602010742533323
Position 1717: 0.00969025515769192
Position 4233: 0.009164534839802875
Position 3453: 0.008166663264388425
Position 382: 0.006133533300605775
Position 227: 0.0036700209874994737
Position 2126: 0.0036195548167671683
Position 1261: 0.0024438254397546578
Position 869: 0.0022277893194029745
Position 224: 0.0020866451034086395
Position 1488: 0.0018644779737109927
Position 1189: 0.0018598832907852567
Position 3423: 0.0017120864770963447
Position 1416: 0.0013359939558687155
Position 1238: 0.0011482903157723943
Position 1346: 0.0010200437710187473
Position 2579: 0.0009215471101694279
Position 1832: 0.0008131841315052537
Position 686: 0.0006964677046145786
Position 348: 0.0006847085225066521
Position 1280: 0.0006111006579337058
Position 1165: 0.0006060206331310739
Position 986: 0.0005870248333364669
Position 1603: 0.00048121187784255743
Position 249: 0.00046878010068521724
Position 1643: 0.0002438013771458117
Position 1713: 0.0001820756558347456
Position 882: 0.0001768614755285498
Position 974: 0.0001197327216138474
Position 907: 7.485314327347827e-05
Position 749: 4.144731004646081e-05
Position 410: 4.137323463798538e-05
