Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  1000
Partition function (log Z): 2.8559725982011916

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982002338837016
Position 321: 0.959338869138821
Position 303: 0.03828461156596127
Position 10: 0.0011538390612530073
Position 126: 0.0011499279255522516
Position 710: 0.000538946798070978
Position 349: 0.00033772205386549257
Position 8: 0.00029936707526902336
Position 537: 0.00023541473418072254
Position 344: 0.00019491244937010056
Position 686: 0.00017211468441414722
Position 817: 0.00014325051393109095
Position 823: 0.00013178871037135943
Position 548: 6.0483408282701915e-05
Position 689: 5.96153344342798e-05
Position 759: 3.972181187407649e-05
Position 258: 2.6507349735030858e-05
Position 629: 2.187796756290886e-05
Position 311: 2.1680610758913905e-05
Position 14: 1.687216858527751e-05
Position 640: 1.4159895762539326e-05
Position 146: 1.0654809517369133e-05
Position 269: 1.0645970183379556e-05
Position 649: 8.667922998738485e-06
Position 634: 7.875841099368278e-06
Position 325: 5.113300611781887e-06
Position 70: 4.666905707661167e-06
Position 45: 3.40729141520449e-06
Position 130: 2.0865446335286623e-06
Position 109: 1.600835722010673e-06
Position 75: 1.0182582616813115e-06
Position 100: 8.934033269726219e-07
Position 619: 5.347644636633102e-07
Position 668: 4.1978818116337936e-07
Position 473: 3.898995954976735e-07
Position 313: 3.8677018716802916e-07
Position 665: 3.712798172417116e-07
Position 495: 1.6027312752212554e-07
Position 173: 9.983920800252923e-08
Position 168: 7.758923156125803e-08
Position 58: 3.2943380849251215e-08
Position 391: 7.667074086146222e-09
Position 358: 7.369042807861126e-09
Position 435: 5.248084617078455e-09
Position 260: 2.066026183999001e-09
Position 582: 2.0037169861872845e-09
Position 364: 6.321875122038448e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9977635930280613
Position 399: 0.9969396379998517
Position 70: 0.001170522840692542
Position 407: 0.001046197890010264
Position 205: 0.0009436610079975267
Position 774: 0.0006673487926014032
Position 802: 0.0006278023886828844
Position 873: 0.00045887933799875944
Position 93: 0.00023792011925459632
Position 410: 0.00015871482127987658
Position 444: 0.00015781592420470455
Position 606: 0.00010276831517168903
Position 464: 6.62400923552471e-05
Position 168: 3.410789697609284e-05
Position 461: 3.0263284830470954e-05
Position 75: 2.796592852970581e-05
Position 130: 2.107812942105358e-05
Position 847: 1.9515440059112816e-05
Position 736: 8.621558378612242e-06
Position 619: 5.796936847088053e-06
Position 487: 4.501685915401332e-06
Position 701: 4.100047361700263e-06
Position 542: 1.3858961861558662e-06
Position 109: 1.268058585326499e-06
Position 689: 7.795544183022493e-07
Position 640: 1.8226294967511612e-07
Position 426: 1.0555006995831741e-07
Position 649: 8.18923127845156e-08
Position 447: 5.901502210028069e-08
Position 307: 5.539163891584877e-08
Position 627: 4.325245510325434e-08
Position 686: 1.179519252271738e-08
Position 325: 9.232252740035906e-09
Position 629: 3.3859020884778467e-09
Position 548: 3.105673990892805e-09
Position 473: 1.8950330472256502e-09
Position 466: 6.796167004216354e-10
Position 565: 6.711920930183652e-10
Position 98: 4.5648932749665777e-10
Position 217: 1.6382677574655144e-10
Position 100: 1.7027010479896813e-12
