Gene = PARL
index = 999
Annotated 5SS: [  186 17043 18283 22155 40677 42610 44338 51184 51416]
Annotated 3SS: [16846 18141 22105 40580 42459 44266 51081 51317 55197]
SMsplice 5SS: [  186  4731  6756 25077 26663 28476 40677 42610 44338 51184 51416]
SMsplice 3SS: [ 4595  6542 24936 26581 28355 40580 42459 44266 51081 51317 55197]
length: 55523
length: 55523
Partition function (logZ) = 1.1875388133367504
#Exons = 936
3SS, 5SS, prob
40580, 40677, 0.9976604535717808
44266, 44338, 0.9956390432907568
51317, 51416, 0.9682161269326197
24936, 25077, 0.950427902190686
51081, 51184, 0.9164870893762878
16846, 17043, 0.8836780996906284
26581, 26663, 0.8474201222930128
0, 186, 0.7737574624599489
55197, -1, 0.7516181104276027
42459, 42610, 0.6184298282648398
4595, 4731, 0.5545704284789784
6542, 6756, 0.5119592290853869
22548, 22695, 0.48825697163330534
28355, 28476, 0.3769797284513876
28306, 28476, 0.3490905801201221
6676, 6756, 0.3110006428132641
54942, 55064, 0.2687251416653046
22105, 22211, 0.2321744894291851
51508, 51542, 0.2070153134536678
46115, 46158, 0.1387032700824959
0, 241, 0.12763160401512605
44878, 44966, 0.12416695055553495
45884, 46158, 0.10543606348009721
54942, 55090, 0.094018022429441
42738, 42827, 0.07935255519897905
49421, 49670, 0.0761119577761114
26608, 26663, 0.07414785013197425
49582, 49670, 0.07357149208039401
43674, 43897, 0.07321707627742985
16141, 16323, 0.06596287081055896
53372, -1, 0.05870268215414714
54893, 55064, 0.05774958991712232
0, 25, 0.05593425538529215
51478, 51542, 0.0550533239770422
44556, 44613, 0.05148940780766289
43762, 43897, 0.04641235316198451
54414, -1, 0.046281480128780556
11797, 11960, 0.04353392791735858
51508, 51556, 0.0427007440915412
44878, 45099, 0.041680023012231615
44878, 44929, 0.04004384451934233
44007, 44107, 0.03817901495598033
3153, 3275, 0.03195738430015653
26255, 26337, 0.02995453920319089
42522, 42610, 0.029799540941160448
26560, 26663, 0.029659986259703064
12043, 12134, 0.02941667500742424
24936, 25013, 0.027803574250345235
43832, 43897, 0.026836287879346325
5619, 5771, 0.026678583801495067
51317, 51542, 0.024083103797794377
51508, -1, 0.02344103190696816
9499, 9638, 0.021953506027947187
5521, 5771, 0.02139284016604493
49539, 49670, 0.020876035904049094
6679, 6756, 0.020240376175755158
51745, -1, 0.01945556101879227
1079, 1162, 0.018404895786920707
42556, 42610, 0.017780359618180856
5644, 5771, 0.01703679408464611
51810, -1, 0.016907751492752202
0, 113, 0.016800176761246812
42496, 42610, 0.016737456097265152
10770, 10941, 0.01646920378594925
54893, 55090, 0.016188339132760198
43969, 44107, 0.01557316485942923
54942, -1, 0.015388505396369316
42707, 42827, 0.014806990115428135
46215, 46335, 0.014671443169409737
54414, 54610, 0.014507234080824041
43674, 43845, 0.014451781186278457
54735, 54834, 0.014251917213434424
28280, 28476, 0.013939521922227402
46095, 46158, 0.013631308151785237
3176, 3275, 0.013557560991688688
46053, 46158, 0.013054111196029663
6463, 6756, 0.012918202704108843
4595, 4644, 0.012690207755227426
44797, 44929, 0.012354441384362078
46245, 46335, 0.012117705386167984
42949, 43085, 0.011794362536226838
926, 1162, 0.011728248931494054
12062, 12134, 0.011459985955619667
11038, 11184, 0.01108415239529268
51810, 51912, 0.010984171644046378
25176, 25252, 0.010571480449873445
