Gene = CG7202
index = 959
Annotated 5SS: [197]
Annotated 3SS: [585]
SMsplice 5SS: [197]
SMsplice 3SS: [585]
length: 1375
Partition function (logZ) = -6.151697187018615
#Introns = 978
5SS, 3SS, prob
197, 585, 0.5854750769350539
755, 872, 0.26536594658686086
197, 429, 0.2610143357370366
1069, 1141, 0.2345825119848526
500, 585, 0.12940502480501018
197, 872, 0.05352674490993075
197, 391, 0.025729892337523142
755, 1141, 0.009824065794609023
197, 358, 0.008893567224662759
1069, 1163, 0.00880213490471448
1101, 1163, 0.008613142754363118
755, 806, 0.007970857403698416
801, 872, 0.006567233463104692
478, 585, 0.0054358752369231544
197, 1141, 0.004479683341136539
197, 300, 0.004453577639092631
755, 801, 0.003909898543474943
197, 441, 0.003221166476332325
712, 872, 0.0029486612062407983
500, 872, 0.0028771773741174513
494, 585, 0.0028265443754457707
360, 429, 0.0025682322658055943
755, 1163, 0.002095926225034779
197, 548, 0.001967232896795219
197, 536, 0.0018740445997885566
197, 286, 0.0016773281171452437
536, 585, 0.0016684776490423065
350, 429, 0.0015986076854376304
238, 585, 0.0013485685543408454
197, 614, 0.0012382922363220763
197, 481, 0.0010662322749899007
755, 899, 0.000998430642174158
500, 548, 0.0009406369312134328
197, 1163, 0.0009400799765335991
755, 920, 0.0009238185930981322
755, 1100, 0.0009077225784961628
212, 585, 0.0007374093228716895
238, 429, 0.0007214944041485003
197, 398, 0.0006808794460551955
227, 585, 0.0006447600022858827
755, 824, 0.0005976091888420499
350, 585, 0.0005288136819365672
508, 585, 0.0005019987388782992
197, 1100, 0.0003867475102252001
197, 801, 0.00036715123284397356
212, 429, 0.0003607153666798446
222, 585, 0.00035885471118540227
478, 536, 0.00034246300566241654
816, 872, 0.0003271197303943351
755, 827, 0.00031654249252485625
227, 429, 0.00031565242370334946
813, 872, 0.0002979000486347035
360, 585, 0.0002584249995297946
197, 899, 0.00024209584868644358
197, 920, 0.0002366707447841911
1074, 1141, 0.0002175071203015529
197, 633, 0.00020977372108044648
197, 806, 0.00019780800280073764
478, 872, 0.0001962991219218622
238, 300, 0.00019567772570070786
478, 548, 0.0001952393191048773
1069, 1205, 0.00019287571690613633
197, 722, 0.00019130704330442972
197, 313, 0.0001911279938182518
197, 625, 0.000189586941547568
1069, 1232, 0.00018482542794513363
222, 429, 0.0001842640411387437
316, 585, 0.00017280623370085016
500, 1141, 0.00016025930335949461
241, 585, 0.0001574508355216899
316, 429, 0.00015537506275481038
712, 1141, 0.0001536931400703293
500, 614, 0.0001496780019329478
286, 585, 0.00013932554335065726
755, 914, 0.0001384174409408788
755, 896, 0.00013625695564382202
755, 893, 0.00011861815774536796
755, 1008, 0.0001140271506111694
1005, 1141, 0.00010305553340247774
238, 872, 0.00010019871726647619
755, 1232, 9.261600443678369e-05
494, 548, 8.671599627288572e-05
241, 429, 8.646793878861595e-05
286, 429, 8.626422026620033e-05
197, 640, 8.475491262482126e-05
494, 872, 7.938257821023796e-05
238, 391, 7.868770359107009e-05
755, 813, 7.852106171807218e-05
755, 1029, 7.657239477037017e-05
316, 391, 7.354897131576081e-05
1041, 1100, 6.791435528046464e-05
1038, 1100, 6.453334343994082e-05
755, 950, 6.440537534901125e-05
151, 585, 6.160271713000955e-05
755, 1205, 5.9529198254154635e-05
197, 406, 5.8641408965883283e-05
197, 638, 5.2375386134354335e-05
197, 316, 5.108127755816373e-05
197, 1232, 5.093936591496364e-05
406, 585, 4.870915844612842e-05
510, 585, 4.540484781185979e-05
197, 1008, 4.528728381927105e-05
212, 872, 4.4656340199497344e-05
197, 1205, 4.421565480671796e-05
712, 801, 4.397520639420743e-05
500, 1163, 4.377615609228249e-05
466, 585, 4.236111551062473e-05
1041, 1141, 4.178361033632148e-05
197, 1029, 3.9293877923928486e-05
227, 872, 3.7186314166555183e-05
454, 585, 3.7041861797789015e-05
1038, 1141, 3.62377372166342e-05
350, 872, 3.4037738934041586e-05
1069, 1247, 3.353146190684351e-05
197, 661, 3.2884539254184586e-05
197, 652, 3.284393148843288e-05
238, 358, 3.246481325531298e-05
227, 300, 3.089980018530979e-05
212, 391, 3.038448678970687e-05
227, 391, 3.03562714285045e-05
151, 429, 2.817298130715887e-05
197, 896, 2.800759525208812e-05
197, 950, 2.7522486225801963e-05
690, 872, 2.6973208791436523e-05
712, 1163, 2.6628312742757137e-05
801, 1141, 2.593303479676848e-05
197, 764, 2.514064823934114e-05
197, 914, 2.4419970072449548e-05
286, 358, 2.286356316102276e-05
241, 300, 2.268230804454344e-05
500, 1100, 2.2451633842083734e-05
500, 625, 2.204845470604016e-05
755, 1247, 2.1936303981157345e-05
712, 806, 2.184866238034689e-05
712, 764, 2.161457461756782e-05
227, 286, 2.1117719996267987e-05
197, 893, 2.098841287162425e-05
181, 585, 2.0460096573309358e-05
755, 991, 2.0248083201526387e-05
1005, 1163, 1.9724956047048548e-05
222, 872, 1.962149512587088e-05
500, 633, 1.9590401414561334e-05
640, 872, 1.9123807462834253e-05
360, 872, 1.794079804683557e-05
500, 801, 1.773132725799293e-05
1101, 1232, 1.719026679886884e-05
478, 1141, 1.6414755157288863e-05
316, 872, 1.5652368998100706e-05
1101, 1205, 1.5639894146547606e-05
712, 1100, 1.543256028162069e-05
1005, 1100, 1.5073819754335118e-05
222, 391, 1.5030026951258394e-05
1069, 1280, 1.4781536142031222e-05
987, 1141, 1.4757693925597425e-05
712, 920, 1.4313743829827405e-05
340, 429, 1.4013960672830241e-05
7, 83, 1.3629085395728825e-05
500, 722, 1.3017701031650286e-05
500, 920, 1.2732652677183591e-05
548, 614, 1.2522808405022514e-05
548, 872, 1.2165690312086312e-05
712, 899, 1.201916324117214e-05
241, 872, 1.1960148550432227e-05
227, 358, 1.187547441096531e-05
347, 429, 1.1537261480442236e-05
197, 489, 1.144779529367936e-05
500, 899, 1.1421424391450179e-05
197, 1247, 1.0801099571706392e-05
340, 585, 1.0640399779614915e-05
222, 286, 1.0611596373319594e-05
238, 286, 1.0478825602211239e-05
181, 429, 1.0418492959879989e-05
536, 872, 1.0374445739647326e-05
286, 391, 1.030195285224458e-05
212, 358, 1.0061445495991868e-05
478, 614, 9.891759047557936e-06
197, 746, 9.647227714211266e-06
197, 671, 9.634958054376408e-06
238, 1141, 9.573047173355941e-06
500, 806, 9.293829067201727e-06
241, 391, 8.959982191415842e-06
222, 300, 8.94948781089331e-06
412, 585, 8.705847804841298e-06
238, 441, 8.432237431041958e-06
197, 824, 8.300240035367881e-06
197, 991, 8.181809496516981e-06
500, 640, 7.905850617041149e-06
350, 441, 7.81672975101974e-06
212, 300, 7.5369120287704195e-06
1041, 1163, 7.435520944489791e-06
215, 585, 7.238034761483686e-06
904, 1141, 7.185325138404095e-06
212, 286, 7.116752346344876e-06
755, 967, 7.103656749956263e-06
755, 1280, 6.975488741951515e-06
69, 138, 6.915998283415016e-06
1038, 1163, 6.737084021047798e-06
755, 842, 6.592927020939585e-06
360, 441, 6.55008605726118e-06
755, 964, 6.527029035109382e-06
197, 827, 6.511825368770443e-06
340, 391, 6.363745257868579e-06
286, 872, 6.1957500671293846e-06
222, 358, 6.021815781764789e-06
755, 961, 5.800094050104544e-06
801, 1163, 5.508473500889672e-06
671, 872, 5.385665403459337e-06
7, 585, 5.381818265175631e-06
238, 548, 5.3097862901674326e-06
347, 585, 5.269315255005852e-06
238, 536, 5.218237425421181e-06
1074, 1163, 4.9755015276676544e-06
322, 391, 4.754847066133351e-06
500, 638, 4.700236206249949e-06
322, 585, 4.673422280956166e-06
212, 1141, 4.648701730041613e-06
322, 429, 4.595670268590538e-06
508, 872, 4.4301062877184734e-06
350, 398, 4.366215194048502e-06
227, 1141, 4.282349627373389e-06
801, 899, 4.265464431790104e-06
1164, 1232, 4.243499516719985e-06
205, 585, 4.122030298108994e-06
227, 441, 4.034508740659222e-06
801, 920, 4.0319976066536855e-06
494, 614, 3.967708982159377e-06
241, 358, 3.7927166168841256e-06
215, 429, 3.752351104227572e-06
494, 1141, 3.659670812472039e-06
238, 614, 3.5743560243125147e-06
350, 1141, 3.5739880000366237e-06
151, 872, 3.5594010441099124e-06
1069, 1277, 3.357221523949905e-06
197, 1280, 3.2527348705149086e-06
212, 441, 3.2254821632241347e-06
500, 652, 3.209292615045632e-06
494, 536, 3.173755782226926e-06
500, 661, 3.1172269429184887e-06
755, 976, 2.865752326458224e-06
69, 585, 2.7894777363590503e-06
197, 967, 2.7557797466862622e-06
7, 429, 2.7503972121046357e-06
987, 1163, 2.7282429371142383e-06
478, 1163, 2.7052162756747657e-06
1101, 1247, 2.605303042145341e-06
1222, 1280, 2.5993623170997814e-06
222, 1141, 2.5286514507297497e-06
197, 964, 2.5126184527470067e-06
536, 614, 2.4841895418948403e-06
238, 481, 2.4822974307033386e-06
801, 1100, 2.454808954065705e-06
151, 391, 2.4340431370321305e-06
238, 313, 2.4324633406911357e-06
238, 1163, 2.374854107070716e-06
227, 536, 2.212753461137992e-06
500, 1008, 2.1478656238880845e-06
350, 536, 2.065117147784613e-06
36, 585, 2.0456018206200906e-06
36, 83, 2.042140042073714e-06
222, 441, 2.0410075904637453e-06
212, 548, 2.0231975036709267e-06
755, 1048, 2.0204938181865656e-06
350, 548, 1.972974144624577e-06
227, 548, 1.9509568836300905e-06
500, 1232, 1.932282147901055e-06
212, 536, 1.8754735646481838e-06
205, 429, 1.8281959632106865e-06
83, 138, 1.7753435429113678e-06
316, 441, 1.6541459863843913e-06
640, 1141, 1.6169623628542744e-06
350, 481, 1.4825236780133259e-06
973, 1141, 1.4690501068020772e-06
316, 358, 1.4477880278221226e-06
500, 1205, 1.447264472419636e-06
755, 1277, 1.4375959107128157e-06
360, 1141, 1.3771787781382762e-06
238, 398, 1.306208562565032e-06
494, 1163, 1.2941924601105185e-06
712, 1205, 1.2883768193784925e-06
7, 138, 1.2223113195742223e-06
712, 1232, 1.1916637140173327e-06
406, 872, 9.673013965108187e-07
441, 585, 9.515059344313337e-07
197, 368, 9.336789680201007e-07
18, 83, 8.682758802762212e-07
458, 585, 8.553508568490987e-07
350, 406, 8.52486247038108e-07
197, 961, 8.152856101381059e-07
197, 1277, 8.051098667512314e-07
69, 429, 7.906200159369754e-07
500, 914, 7.37811612713502e-07
712, 914, 7.224982817321872e-07
181, 391, 7.217047721678409e-07
712, 896, 6.77386975113779e-07
227, 614, 6.338952957484928e-07
500, 896, 6.338308547220781e-07
454, 872, 6.197432649711572e-07
212, 614, 6.18954244535872e-07
478, 625, 6.1285996142835e-07
478, 633, 6.088165817275263e-07
466, 872, 6.065214653946162e-07
466, 536, 5.736003117865126e-07
712, 893, 5.670605397619541e-07
151, 358, 5.664980502703213e-07
181, 872, 5.616289334720181e-07
316, 398, 5.49149684250672e-07
500, 893, 5.383576493432523e-07
712, 1008, 5.081343188346205e-07
350, 614, 5.009100995948139e-07
212, 398, 4.996496532327402e-07
241, 441, 4.943020573538775e-07
286, 441, 4.887577342112443e-07
222, 536, 4.834551964641469e-07
227, 398, 4.550837164687423e-07
212, 481, 4.298101512393322e-07
222, 548, 4.2917781719104024e-07
360, 548, 4.248390509568696e-07
227, 481, 4.0496770472034756e-07
360, 536, 3.9532477395712317e-07
478, 920, 3.894249683763792e-07
716, 872, 3.7735803388613294e-07
197, 976, 3.770474287435412e-07
36, 429, 3.767494869488794e-07
602, 872, 3.691308273107163e-07
340, 872, 3.654740273949481e-07
478, 899, 3.592338589496979e-07
712, 950, 3.532086434050035e-07
36, 138, 3.5017564014600534e-07
478, 801, 3.471987903295373e-07
197, 608, 3.398695276130606e-07
222, 614, 3.330252741369808e-07
360, 481, 3.3230585184587794e-07
580, 872, 3.306159332396468e-07
241, 286, 3.282728969156193e-07
347, 391, 3.281682729451838e-07
500, 950, 3.2289938225459396e-07
83, 585, 3.20685776573896e-07
238, 316, 3.0965058584214094e-07
238, 920, 3.007184168521578e-07
500, 764, 2.981439156189953e-07
478, 722, 2.9591789862624414e-07
241, 313, 2.873184522348222e-07
406, 481, 2.750661208232962e-07
316, 536, 2.7360326486642703e-07
241, 548, 2.6400679422383863e-07
222, 398, 2.5856059923262596e-07
241, 536, 2.578846712537171e-07
7, 872, 2.55862302299582e-07
494, 625, 2.5500188739768235e-07
801, 896, 2.5429936961939997e-07
548, 625, 2.5322543283335696e-07
360, 614, 2.530544497496011e-07
500, 1029, 2.5104422009664975e-07
478, 640, 2.5070615305055513e-07
316, 548, 2.494695916850764e-07
238, 899, 2.457160521610894e-07
340, 398, 2.4282124514582e-07
227, 313, 2.4173860442203407e-07
238, 801, 2.3231793629587097e-07
712, 824, 2.3057804732044808e-07
801, 893, 2.2926070947357295e-07
238, 625, 2.2733520037308678e-07
197, 587, 2.2389009810306267e-07
494, 633, 2.2269397424210614e-07
801, 914, 2.16478077803163e-07
238, 633, 2.1006680458956116e-07
551, 614, 2.0919842195822435e-07
322, 872, 2.0789816519738805e-07
197, 635, 2.0398335236323932e-07
222, 481, 2.0230486268017388e-07
197, 813, 2.0171990970016103e-07
197, 643, 1.9898651132411383e-07
151, 300, 1.9877378638848417e-07
181, 358, 1.9839426851093066e-07
241, 614, 1.9773755440711147e-07
215, 391, 1.9753081579552195e-07
316, 614, 1.9362078176059867e-07
286, 536, 1.857551073615907e-07
151, 441, 1.829597223983166e-07
712, 827, 1.8241367822784475e-07
7, 391, 1.7881510072538506e-07
215, 872, 1.7582896776914305e-07
286, 548, 1.70461341798461e-07
712, 1029, 1.6962633140999489e-07
286, 398, 1.6914734484970756e-07
238, 722, 1.6019706475062785e-07
478, 806, 1.5779947489079313e-07
241, 398, 1.5514392128496203e-07
212, 313, 1.549548167139529e-07
478, 638, 1.5393385270684216e-07
500, 671, 1.4719651533831465e-07
494, 920, 1.4301554708114548e-07
205, 872, 1.4107231753881128e-07
