Gene = CG42658
index = 687
Annotated 5SS: [252 395]
Annotated 3SS: [313 476]
SMsplice 5SS: [252]
SMsplice 3SS: [313]
Partition function (log Z): -7.357622133728034

Sorted 5' Splice Sites (High to Low Probability):
Position 252: 0.7679894805971994
Position 395: 0.6645406669468066
Position 210: 0.021185395546900087
Position 449: 0.010079954022179063
Position 310: 0.005038588007035541
Position 463: 0.0011953481225999393
Position 240: 0.0008964040930601423
Position 69: 0.0007057512649822913
Position 489: 0.000630311360500527
Position 399: 0.0005377810541017132
Position 273: 0.0004200597598044725
Position 609: 0.00021686617716897575
Position 153: 0.0001792423051331478
Position 607: 0.0001671867473302709
Position 271: 9.975744105571795e-05
Position 314: 9.73735638057585e-05
Position 344: 5.484554890526139e-05
Position 115: 5.3179738624597805e-05
Position 294: 4.9316092152199086e-05
Position 696: 3.726959419050409e-05
Position 196: 1.8964920647294955e-05
Position 8: 1.648002280568776e-05
Position 151: 1.4112276019504373e-05
Position 761: 1.1942294549739234e-05
Position 747: 1.0905089370470315e-05
Position 143: 9.603328363294332e-06
Position 518: 4.308656310464212e-06
Position 554: 3.7161013242639325e-06
Position 764: 3.0004384387404923e-06
Position 596: 2.851191342559917e-06
Position 737: 1.9723094860765786e-06
Position 669: 1.7385668899347329e-06
Position 805: 1.182935990765783e-06
Position 796: 1.1438745575274613e-06
Position 502: 9.766907795613493e-07
Position 588: 8.528034113079847e-07
Position 26: 8.085385869283237e-07
Position 580: 6.512430096933494e-07
Position 279: 5.857006387648019e-07
Position 853: 5.231215293725263e-07
Position 779: 3.291031571653482e-07
Position 855: 6.94421790646493e-08
Position 629: 3.585263641568844e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 313: 0.528951727053427
Position 528: 0.366197543898904
Position 301: 0.24407820553264117
Position 518: 0.203921842657947
Position 554: 0.09015187613689583
Position 588: 0.01708607825059203
Position 363: 0.008022079267067127
Position 344: 0.0036236838542508627
Position 669: 0.002849861129711059
Position 678: 0.0026521329383821565
Position 607: 0.0020620866553664992
Position 901: 0.0017426456674229749
Position 384: 0.0005709606898786294
Position 761: 0.0005345701960302358
Position 476: 0.0002881857864745489
Position 764: 0.0002821770345939076
Position 252: 0.00014758642909042262
Position 565: 0.00014681606170983218
Position 784: 0.00014325398270623668
Position 640: 0.0001414690661648792
Position 864: 0.00013099102421695757
Position 571: 0.00010048078953128636
Position 235: 6.544042218667727e-05
Position 368: 6.479417787797236e-05
Position 136: 6.379382657503437e-05
Position 789: 6.090851662998046e-05
Position 131: 5.549249297632516e-05
Position 872: 3.2029166075506816e-05
Position 869: 2.1957315479808537e-05
Position 733: 1.9215185702828655e-05
Position 408: 1.657934054723146e-05
Position 737: 1.540500002926543e-05
Position 773: 1.3826480038591825e-05
Position 72: 7.777448350778792e-06
Position 646: 3.8047990138721188e-06
Position 205: 3.091381753920478e-06
Position 686: 2.5807575275989485e-06
Position 151: 2.379294449177929e-06
Position 700: 1.4833700899468239e-06
Position 202: 1.2739577540456653e-06
Position 655: 7.046454306427507e-07
Position 399: 6.794789097971757e-07
Position 717: 6.771478702648381e-07
Position 388: 6.492842120986545e-07
Position 84: 3.4717950200808616e-07
Position 94: 1.8896428573750518e-07
Position 256: 1.3472528080636398e-07
Position 100: 2.466055794562213e-08
Position 88: 1.9196437063123574e-08
Position 115: 1.2382636680818744e-08
Position 108: 4.6977549790295965e-09
Position 143: 1.3624942709933692e-09
Position 651: 1.0387959617689993e-09
Position 696: 4.767963492464898e-10
Position 432: 2.0850156970312275e-10
Position 430: 3.356319509286949e-14
