Gene = PSRC1
index = 1094
Annotated 5SS: [  98  446  608 1507 1989 2349 2730]
Annotated 3SS: [ 393  549 1064 1873 2078 2635 2968]
SMsplice 5SS: [ 446  608 2018 2349]
SMsplice 3SS: [ 549 1873 2116 2968]
top_k =  1000
Partition function (log Z): 4.7104034024118535

Sorted 5' Splice Sites (High to Low Probability):
Position 2018: 0.9933368104756178
Position 2349: 0.8730768235268687
Position 446: 0.757244242122249
Position 2730: 0.5985131219037508
Position 608: 0.5885642849157433
Position 1507: 0.3265474030362568
Position 372: 0.1995484624249465
Position 63: 0.11921401966083771
Position 98: 0.07022624262923712
Position 906: 0.06164123553855997
Position 52: 0.059751763821641386
Position 2259: 0.03952480152047229
Position 244: 0.03453062492387567
Position 2356: 0.029180375728427407
Position 552: 0.028422017546517415
Position 694: 0.02758132404027717
Position 707: 0.023490273036150942
Position 1452: 0.022740031730422276
Position 1169: 0.018179404467769233
Position 167: 0.017985986142879704
Position 1706: 0.015610071138021977
Position 690: 0.014448230801611587
Position 268: 0.011589613143971332
Position 1548: 0.010885482039610917
Position 1171: 0.009639339970222812
Position 1730: 0.008752785307108098
Position 1136: 0.007003222269397132
Position 1724: 0.0067639079605154254
Position 1532: 0.005074971937440897
Position 1989: 0.004436989806363616
Position 2587: 0.0041964551404464045
Position 229: 0.004063624554215278
Position 557: 0.00301437596243753
Position 2011: 0.0017395312566756932
Position 766: 0.0017070463816144209
Position 76: 0.0015794570284209204
Position 1738: 0.001528990880143309
Position 1309: 0.0014200012409032387
Position 1436: 0.0012638426349018913
Position 2327: 0.0012620485334138907
Position 869: 0.0011499371427038637
Position 259: 0.000986732320848836
Position 865: 0.000694481258464346
Position 2819: 0.000629639349766859
Position 645: 0.00047742362205525316
Position 1743: 0.00044349435711076094
Position 482: 0.00038475195628587944
Position 1584: 0.0003611777545851086
Position 1093: 0.00027415565306805763
Position 2739: 0.0002531237186917424
Position 3258: 0.00022223913610148205
Position 74: 0.00018762037702614305
Position 2529: 0.00017846500792576334
Position 1259: 0.00017584436570857565
Position 3106: 0.0001602328510576221
Position 794: 0.00014671221449520877
Position 1257: 0.00012487414805998221
Position 253: 0.00011072885701287075
Position 213: 0.00011052356562150738
Position 1089: 0.00010656717284888361
Position 1067: 8.641732578284303e-05
Position 2337: 8.399498562002038e-05
Position 65: 6.484608368930493e-05
Position 41: 6.0731614588912e-05
Position 1511: 5.7656234367368264e-05
Position 655: 5.204069753086376e-05
Position 3287: 3.904740043018774e-05
Position 809: 3.9013076278942385e-05
Position 1677: 3.421061868647106e-05
Position 1378: 2.854769908079254e-05
Position 377: 2.742758802229233e-05
Position 1357: 2.6657808431336583e-05
Position 2241: 2.5472096318658645e-05
Position 3017: 1.4875795452795064e-05
Position 2022: 1.4314273139193087e-05
Position 110: 1.4134676879143327e-05
Position 12: 1.226624570902377e-05
Position 2035: 1.225504903958729e-05
Position 2794: 1.1579051886336e-05
Position 3344: 1.0824785671206459e-05
Position 1971: 9.735828280359458e-06
Position 17: 8.257829548847148e-06
Position 962: 7.5540910418536316e-06
Position 807: 6.259488730217222e-06
Position 3245: 4.540758375535149e-06
Position 129: 4.345455093163646e-06
Position 2028: 4.1873055371630485e-06
Position 826: 4.092887308981625e-06
Position 1949: 1.0606000634329486e-06
Position 151: 8.74534263872641e-07
Position 90: 5.046178963159341e-07
Position 979: 2.463476608320939e-07
Position 564: 1.271661263766587e-07
Position 2388: 4.015415511541814e-08
Position 2417: 3.333453470677463e-08
Position 234: 1.764199894275529e-08
Position 1047: 1.7277950465717152e-08
Position 2039: 1.108247917515549e-08
Position 2243: 7.141710117991562e-09
Position 2969: 5.118394665118281e-09
Position 2672: 1.3700297606754627e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1873: 0.9958174038124685
Position 2968: 0.9525475262426224
Position 549: 0.7000959259854671
Position 2116: 0.3583566370843457
Position 2155: 0.22020190944651563
Position 2635: 0.21338049374105691
Position 2097: 0.18958095728958074
Position 2208: 0.18091923577769747
Position 1064: 0.17659389232629671
Position 2649: 0.16007860914870187
Position 299: 0.15402387924427263
Position 2572: 0.13825665449053878
Position 393: 0.12593479642493094
Position 1415: 0.08642133609634309
Position 2586: 0.05541449365059738
Position 1412: 0.040986717092337824
Position 1248: 0.03206788267173204
Position 2591: 0.03074943668100825
Position 1592: 0.028563507991553258
Position 1167: 0.02721395147910713
Position 769: 0.02461801969336971
Position 1269: 0.014793151917627699
Position 1347: 0.0136334576694546
Position 335: 0.011787894068529038
Position 2684: 0.009979293506595871
Position 3047: 0.008233413534388185
Position 645: 0.005587205798392518
Position 2127: 0.00521477044660028
Position 1352: 0.0046205692873455195
Position 1613: 0.0034996661071918793
Position 2405: 0.003357617417713933
Position 3381: 0.0019005575932912158
Position 2294: 0.0018274422575074289
Position 607: 0.00165978024156022
Position 2235: 0.0015832070977643026
Position 1844: 0.0015271574572379425
Position 702: 0.0014776452573050686
Position 556: 0.001447066781087463
Position 2533: 0.0014219671470549094
Position 2256: 0.0013514891424783303
