Gene = UBAC1
index = 1518
Annotated 5SS: [  356  6086  7701 13583 15112 15492 16353 21708 23159]
Annotated 3SS: [ 5964  7626 13474 15008 15382 16129 21620 23019 27864]
SMsplice 5SS: [  356   990  6086  7701 13583 15112 15492 16353 21708 23300]
SMsplice 3SS: [  872  5964  7626 13474 15008 15382 16129 21620 23218 27864]
top_k =  100
Partition function (log Z): -0.5236021576135907

Sorted 5' Splice Sites (High to Low Probability):
Position 15492: 0.9999994494576673
Position 16353: 0.9999672258442235
Position 990: 0.9976735640342996
Position 7701: 0.9784717462410698
Position 356: 0.919409395117701
Position 15112: 0.8651547249723427
Position 21708: 0.7552062717105593
Position 23300: 0.36772460796033374
Position 23349: 0.29358062505361715
Position 23159: 0.22240043318184438
Position 23119: 0.1674573423828563
Position 21725: 0.11951148958320512
Position 11682: 0.11331702126872721
Position 23487: 0.07874952031874372
Position 23785: 0.059205388912376915
Position 776: 0.05009391066037653
Position 23726: 0.048639880762801097
Position 21765: 0.04375746374113364
Position 21729: 0.04029305559237092
Position 21745: 0.030965531743610303
Position 23122: 0.0233313854772517
Position 3721: 0.0215282537589294
Position 22744: 0.021017612339642226
Position 23354: 0.013255956730926914
Position 24655: 0.012158515214499262
Position 680: 0.011932891304321775
Position 1629: 0.008065019221952283
Position 21749: 0.007836945525258224
Position 254: 0.006955192081521952
Position 1663: 0.004149196248542532
Position 2713: 0.0032242422214767657
Position 449: 0.0030830916980977632
Position 2574: 0.002916493526794838
Position 781: 0.00269825936728375
Position 22691: 0.0026151005579937653
Position 132: 0.0019167714320340841
Position 323: 0.0018206245666841686
Position 21781: 0.0018058642950670137
Position 2708: 0.0015015876224180416
Position 166: 0.0014992972643532506
Position 24352: 0.0012789171749214606
Position 1534: 0.001251201831699662
Position 2757: 0.0012295658776646009
Position 1141: 0.0006163920623137302
Position 19219: 0.0005474748817074721
Position 2624: 0.00048225115833368205
Position 1020: 0.00021095964894504084
Position 220: 0.00016171041054815658
Position 277: 0.00013566662473477812
Position 655: 6.312625890443884e-05
Position 1136: 6.267062076227368e-05
Position 67: 5.750834569380646e-05
Position 594: 5.4322638259420975e-05
Position 637: 4.7863902981906e-05
Position 1476: 4.7293381739204947e-05
Position 770: 4.512916152338676e-05
Position 757: 4.262905879676069e-05
Position 1719: 3.332520175811552e-05
Position 1025: 3.0905604507483136e-05
Position 1775: 1.6195601902285205e-05
Position 15776: 1.5203383980001366e-05
Position 16086: 1.1543367719795932e-05
Position 16573: 6.027404076199484e-06
Position 15624: 3.420047583224001e-07
Position 15559: 2.0853757385540785e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 15382: 0.9999999999999993
Position 872: 0.9981248083570909
Position 7626: 0.9784717462410698
Position 16129: 0.8986454424433742
Position 15008: 0.8651547249723427
Position 27864: 0.8171127007768925
Position 23218: 0.7241063116064587
Position 21620: 0.5395648126239614
Position 23019: 0.4145484106729231
Position 21560: 0.4133488044489232
Position 23634: 0.11399966002434704
Position 11548: 0.11331702126872721
Position 24467: 0.097818159156314
Position 15994: 0.0680955562086211
Position 21437: 0.046463005118319356
Position 15912: 0.03323063000306508
Position 23348: 0.03177175406348305
Position 26591: 0.030799736137048294
Position 3680: 0.021528253758929396
Position 22583: 0.021231635359386006
Position 23946: 0.018634569868657747
Position 23227: 0.016808237469872544
Position 1572: 0.012067582600979445
Position 2489: 0.00935414040668793
Position 23100: 0.006309564972997128
Position 25226: 0.005839668237047808
Position 24212: 0.004179633231504028
Position 22509: 0.0024010775382499886
Position 25755: 0.0018046967208922265
Position 25357: 0.001456191556909815
Position 1288: 0.0012984952134388675
Position 22206: 0.001222294197672513
Position 19090: 0.0006233778087955902
Position 23400: 0.00041628337818517365
Position 22917: 0.0003981588676919273
Position 23729: 0.00031491824160605403
Position 910: 0.00021310055724460693
Position 1528: 0.00019615367317576631
Position 22879: 0.00016572106258094517
Position 927: 0.00014917218773137977
Position 987: 5.4586014906434006e-05
Position 874: 3.873493469145116e-05
Position 229: 3.090945872345663e-05
Position 15671: 9.533987131956842e-06
Position 15805: 7.140556882874631e-06
Position 16404: 6.027404076199484e-06
Position 15648: 5.669396848044515e-06
Position 795: 3.2383625103908514e-07
Position 1083: 2.4651800701280225e-07
