Gene = BRI3
index = 141
Annotated 5SS: [263 779]
Annotated 3SS: [ 675 9435]
SMsplice 5SS: [263 779]
SMsplice 3SS: [ 675 9435]
top_k =  1000
Partition function (log Z): -0.4943275171285708

Sorted 5' Splice Sites (High to Low Probability):
Position 779: 0.9973430372480035
Position 263: 0.9768186183475494
Position 3595: 0.46974317506404084
Position 1210: 0.18587759778453514
Position 5263: 0.16074101349279887
Position 2379: 0.12296517810060707
Position 6304: 0.05717163880763633
Position 4866: 0.05638592106491797
Position 5199: 0.0425515088765584
Position 954: 0.041237319468910835
Position 2435: 0.039866889592380814
Position 2429: 0.03447024724269085
Position 5910: 0.028749732673430766
Position 1255: 0.018578764175292032
Position 3235: 0.017105077080106057
Position 3544: 0.016320149209030493
Position 2124: 0.015776062323198885
Position 5286: 0.015137114071653685
Position 2523: 0.01340298296050034
Position 2347: 0.011925619556443105
Position 9617: 0.010961795170974014
Position 6671: 0.010245872784518084
Position 2181: 0.007433065165513529
Position 7267: 0.007258735994875848
Position 6081: 0.006559067665736023
Position 5329: 0.006380483357352753
Position 1857: 0.005130906047806449
Position 1661: 0.005004044938518217
Position 325: 0.004994318137643322
Position 2261: 0.0045605123264129245
Position 5425: 0.004464383043884728
Position 594: 0.004332081563952505
Position 192: 0.004242016558298784
Position 5581: 0.004003734723958766
Position 5993: 0.003772367295427811
Position 5047: 0.003700525968145515
Position 3831: 0.0034620894436760306
Position 341: 0.0032823015239038518
Position 3304: 0.003267043951212137
Position 8250: 0.0032178953888938803
Position 7426: 0.0030748702830492762
Position 315: 0.003005791026698633
Position 3981: 0.002814773594381572
Position 1115: 0.0025429854785409775
Position 938: 0.0024627325098983423
Position 271: 0.0022287838522446245
Position 6600: 0.00220752388869558
Position 783: 0.002131724770334919
Position 3408: 0.0019418377594068417
Position 1946: 0.0019043484281534523
Position 1633: 0.0017303898942375277
Position 453: 0.0013583067747694824
Position 303: 0.0012271915680712557
Position 2778: 0.001177154452284267
Position 329: 0.0011766406166336014
Position 1170: 0.0010747287817827467
Position 948: 0.0010327115501019724
Position 5953: 0.000915416992671305
Position 2442: 0.0009121786749431966
Position 1059: 0.0007362136596508457
Position 1406: 0.0007357770477328027
Position 2922: 0.0007089673535016851
Position 3430: 0.0006234388319383265
Position 1180: 0.0006002804835527781
Position 1625: 0.000486602573774345
Position 1433: 0.0004306949731695625
Position 1718: 0.00040803132928829254
Position 377: 0.00038079983140989473
Position 3292: 0.00037781827583589214
Position 6376: 0.00034063649009103536
Position 872: 0.00033642838145562143
Position 1873: 0.00031183011985431617
Position 558: 0.00023572469494236966
Position 2769: 0.00021808338303485637
Position 787: 0.00017683279008603997
Position 2357: 0.00017517685537569384
Position 2387: 0.00016312729832339726
Position 543: 0.00015245388935066702
Position 31: 0.0001470459398709022
Position 2449: 0.00013560404743042837
Position 2129: 0.00011955209757868666
Position 2437: 0.00011886444770570539
Position 1801: 0.00010572882378821528
Position 1599: 0.00010322861425671508
Position 868: 0.00010242012722131084
Position 588: 8.411110154238459e-05
Position 4817: 8.314222112946897e-05
Position 756: 6.29620666384161e-05
Position 358: 4.842995216985792e-05
Position 1627: 4.625138082090291e-05
Position 612: 4.461952306565578e-05
Position 5989: 3.7321078999875296e-05
Position 1039: 3.285049119910806e-05
Position 1512: 2.9119038844793095e-05
Position 1924: 2.7647824365977396e-05
Position 1815: 2.54532342377297e-05
Position 1629: 2.292856606149029e-05
Position 1750: 2.2702380095905194e-05
Position 3690: 1.7508510557756448e-05
Position 3619: 1.646656002548501e-05
Position 2058: 1.630732142727846e-05
Position 3537: 1.3439828974384906e-05
Position 3744: 1.2585791648127982e-05
Position 1995: 1.1839032314926698e-05
Position 999: 1.105938953509169e-05
Position 3007: 7.031934238785057e-06
Position 753: 6.552561218100409e-06
Position 1276: 6.201481312799071e-06
Position 940: 6.129502426494097e-06
Position 2773: 5.867193195954493e-06
Position 627: 4.700844001893581e-06
Position 1144: 4.006028159147218e-06
Position 2111: 3.1454627249035738e-06
Position 512: 2.5095220992541163e-06
Position 2117: 2.438241939500687e-06
Position 438: 2.349972555306665e-06
Position 2064: 2.0666483678403105e-06
Position 750: 2.0348338482614998e-06
Position 1851: 2.0179988569681613e-06
Position 549: 1.707472545984717e-06
Position 1156: 1.444015441448729e-06
Position 1117: 1.2939761567247887e-06
Position 862: 8.400905771420152e-07
Position 1077: 6.323609614505869e-07
Position 985: 4.1807451946273036e-07
Position 1050: 4.0833114248235357e-07
Position 771: 3.1108638826960173e-07
Position 256: 1.8497044707791324e-07
Position 766: 1.0570307284014773e-07
Position 1074: 8.116146403164749e-08
Position 493: 8.072717832153565e-08
Position 495: 2.9711482986589366e-08
Position 699: 7.683460924224126e-09
Position 615: 7.277827117030678e-09
Position 60: 6.515180844304547e-09
Position 1214: 3.7826959389023105e-09
Position 40: 3.44939379032144e-09
Position 723: 2.3793024776038126e-09
Position 1237: 1.221930974297869e-09
Position 450: 8.050915305077294e-10
Position 621: 1.4932672602005424e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 675: 0.9919361363765213
Position 9435: 0.6474878499562502
Position 3492: 0.48246264399687494
Position 2298: 0.2777531324933163
Position 5115: 0.12441214810637151
Position 1016: 0.09986112948290979
Position 6493: 0.058152299375539014
Position 5198: 0.05375588587760748
Position 4688: 0.0516217100012958
Position 843: 0.049924162234601874
Position 8160: 0.04922938092924313
Position 8534: 0.04879169728355057
Position 1144: 0.04588285378777805
Position 5821: 0.045687034409030686
Position 4955: 0.03998530855609923
Position 6254: 0.03819693717737585
Position 3100: 0.03223737840070849
Position 1039: 0.02469608746641761
Position 3680: 0.017841879821328222
Position 2040: 0.01768122137593645
Position 7854: 0.01602640401554122
Position 9701: 0.015094876249909916
Position 6110: 0.014323586029558367
Position 5021: 0.01407466425773316
Position 1107: 0.013294692415132628
Position 3497: 0.011880058919081652
Position 1156: 0.009672704932969381
