Gene = CG13810
index = 249
Annotated 5SS: [125 439]
Annotated 3SS: [192 565]
SMsplice 5SS: [125]
SMsplice 3SS: [1336]
length: 1747
Partition function (logZ) = -7.297019721388372
#Exons = 776
3SS, 5SS, prob
0, 125, 0.7571172702357634
1336, -1, 0.5374607083821176
192, 439, 0.3140880984438304
0, 439, 0.20204402022149565
1485, -1, 0.17164414928071411
1336, 1435, 0.15773287141358333
565, -1, 0.14258884509575523
192, -1, 0.06403915183783603
192, 296, 0.03005090263064983
565, 1057, 0.026810775086656757
1185, -1, 0.02535050141959917
0, 296, 0.018455322392143855
565, 1277, 0.01749023657905459
1508, -1, 0.011305477348714508
1185, 1277, 0.01041374536131359
565, 793, 0.010359808600906632
584, -1, 0.009083780814815128
565, 1435, 0.008730350061537514
192, 1057, 0.0069915383123316955
0, 1057, 0.006307929099318929
652, -1, 0.006163300527090444
499, -1, 0.005741008090670336
1185, 1435, 0.005630346912309944
565, 690, 0.004828652664358037
192, 1277, 0.00451608305478458
1452, -1, 0.004439783887735729
903, -1, 0.004095819007996042
0, 1277, 0.00396224687287566
903, 1057, 0.0031218283281764956
519, -1, 0.0031039764144933234
1336, 1371, 0.0027184482572505126
565, 1155, 0.00269181037211387
1038, -1, 0.0023218458098184865
192, 288, 0.002302300214583645
192, 1435, 0.0022541384707863415
1494, -1, 0.0019604762798156217
0, 1435, 0.0019346219266474758
192, 278, 0.0017214383053590424
584, 1057, 0.0016961948006361492
0, 288, 0.001612622195181566
565, 746, 0.0016122563681774467
623, -1, 0.001544648938265165
192, 793, 0.0015390919059946229
192, 353, 0.0015037130032787456
0, 278, 0.0014752469831794204
0, 793, 0.0014177657278166141
565, 991, 0.0013600587061358303
1435, -1, 0.0013127013148337776
652, 1057, 0.0013085160406216619
214, 439, 0.0012940934533292859
1220, -1, 0.0012888915789974523
565, 718, 0.0012754414035223557
584, 1277, 0.0011477693064202944
606, -1, 0.001086626489314343
499, 1057, 0.0009885456471296556
192, 501, 0.000924902739994065
1038, 1277, 0.0009030851210574001
652, 1277, 0.0008623954861809993
903, 1277, 0.000850571286554157
584, 793, 0.0007883854801514767
0, 501, 0.0007448960218999073
1071, -1, 0.0007222330237769769
192, 1155, 0.0006996486040424877
918, -1, 0.000681964835707233
1185, 1371, 0.0006777282946995193
652, 793, 0.0006758322392161099
565, 1371, 0.0006745235985467226
499, 1277, 0.0006387739143692982
0, 1155, 0.000613483975681061
0, 353, 0.0006049323557417538
192, 690, 0.0006049030241411886
584, 1435, 0.0005727856102626032
0, 690, 0.0005588292294312937
1638, -1, 0.0005534663762243457
519, 1057, 0.0005518856739928973
0, 36, 0.000527862585586607
918, 1057, 0.0005128690849313209
652, 1435, 0.00043025161764123816
903, 1435, 0.00041550709034650373
1220, 1435, 0.0003917907186115038
1071, 1277, 0.00038192262767537156
192, 991, 0.00037960317084280524
242, 439, 0.0003743310513220406
192, 443, 0.0003667544657494644
519, 1277, 0.00035648558592852274
1155, -1, 0.00034808311506264133
948, -1, 0.0003424185316019006
0, 991, 0.00034044030984461206
499, 1435, 0.0003187127809207089
565, 1279, 0.00030287010649686114
623, 1057, 0.00029851284284215394
841, -1, 0.0002941616309688208
192, 493, 0.00029177551510706765
1038, 1435, 0.00028881304848952377
545, -1, 0.0002855727811280729
0, 70, 0.00028004525493019477
499, 793, 0.00027061825034946504
565, 628, 0.0002590525681526542
584, 690, 0.00025861280251609944
0, 254, 0.00025649026857938937
1336, 1441, 0.00025572900571944266
848, -1, 0.000254986379239113
0, 89, 0.0002534404206671158
0, 443, 0.00023901493212817146
1002, -1, 0.00023581306104646817
0, 493, 0.00023102997739720655
214, -1, 0.00021692852466754283
1623, -1, 0.00021172566626046865
948, 1057, 0.0002113391796541482
606, 1057, 0.000204946971551589
334, 439, 0.0002048036240507139
929, -1, 0.0001966491726249588
499, 690, 0.00019390020212177038
903, 1155, 0.00018890584016743495
519, 1435, 0.00017791272821327995
565, 1044, 0.0001769291887691151
192, 746, 0.00017677060286377794
584, 1155, 0.00017665875062097526
192, 1371, 0.0001743142797437982
623, 793, 0.0001726832622007969
1038, 1155, 0.00017081595149811752
841, 1057, 0.00016918377626472914
1038, 1057, 0.0001680496634925611
192, 254, 0.00016237465367871152
519, 793, 0.00016071091251824613
565, 967, 0.00016051129913362071
0, 746, 0.00016045536986574786
848, 1057, 0.00015251894428311842
0, 1371, 0.00014805091301215632
929, 1057, 0.00014705772046490925
1118, -1, 0.00013705525751124195
192, 718, 0.0001369034955639552
652, 1155, 0.0001328070653241831
1220, 1277, 0.00012576327272448631
0, 718, 0.00012261012304232724
565, 886, 0.00012129053389699554
139, 439, 0.0001173216518631192
519, 690, 0.00011605641982985084
606, 793, 0.0001129855211151568
882, -1, 0.00011064761781111504
584, 746, 0.00010905497979301349
1611, -1, 0.00010452747454823732
623, 1435, 0.00010373314970362142
1354, -1, 0.00010187627048120674
1071, 1435, 0.00010132800078751242
572, -1, 9.876204252534232e-05
499, 1155, 9.820771829364465e-05
0, 79, 9.771477590248357e-05
584, 991, 9.303968609431889e-05
744, -1, 8.848765605159229e-05
882, 1057, 8.804994673568235e-05
903, 991, 8.697595508429296e-05
652, 991, 8.159273724396981e-05
192, 568, 8.02130548588292e-05
192, 628, 8.013076367724981e-05
0, 628, 7.887948540900809e-05
192, 300, 7.829516320361381e-05
584, 718, 7.671458141417044e-05
214, 296, 7.43676208559466e-05
918, 1435, 7.147789926455634e-05
606, 1435, 7.128516910562344e-05
0, 568, 7.044487162542561e-05
565, 1101, 7.03155068838711e-05
876, -1, 6.59247225475487e-05
1155, 1435, 6.585861038107647e-05
476, -1, 6.287581194377659e-05
565, 918, 6.224870479701489e-05
668, -1, 5.599882474145384e-05
1002, 1057, 5.577239386438622e-05
876, 1057, 5.484072267838848e-05
519, 1155, 5.48397906009089e-05
545, 1057, 5.3078374940400066e-05
499, 991, 5.249021540864713e-05
242, -1, 4.895871677269199e-05
652, 746, 4.766295202835292e-05
192, 1044, 4.724758713347712e-05
0, 300, 4.483017126685252e-05
584, 1371, 4.4257841545276044e-05
652, 690, 4.3739435666644304e-05
192, 967, 4.251001008134132e-05
0, 1044, 4.068846224180113e-05
1220, 1371, 3.784261594558529e-05
499, 746, 3.765784504665818e-05
0, 25, 3.71701653518984e-05
948, 1435, 3.650012557067646e-05
499, 718, 3.611727401347637e-05
0, 967, 3.6103503063730846e-05
918, 1155, 3.533663376868982e-05
0, 202, 3.501177934920197e-05
1071, 1155, 3.421006493470487e-05
652, 1371, 3.3248148872427655e-05
0, 120, 3.294575799900675e-05
521, -1, 3.234604661502726e-05
623, 1155, 3.2091769685666075e-05
139, -1, 3.167913605560804e-05
903, 1371, 3.034598762516024e-05
334, -1, 3.030432677850162e-05
430, -1, 3.0021259532254123e-05
519, 991, 2.8208036878976772e-05
841, 1435, 2.8002531199085207e-05
744, 1057, 2.758415887594616e-05
565, 856, 2.7219488068242564e-05
192, 886, 2.6733699861799803e-05
565, 1161, 2.6415041538447002e-05
499, 628, 2.6116413797267625e-05
1002, 1435, 2.606607513644923e-05
565, 1159, 2.6028770750952535e-05
565, 1230, 2.567377005843305e-05
1038, 1371, 2.5643345428190868e-05
0, 229, 2.5504077230704618e-05
1354, 1435, 2.5434843922384595e-05
1569, -1, 2.5012429103678246e-05
499, 1371, 2.4623747561635727e-05
214, 1057, 2.4493742851359694e-05
565, 568, 2.4389652043058276e-05
519, 746, 2.4334395611225993e-05
0, 886, 2.4232254161872166e-05
1293, -1, 2.4141849014295335e-05
848, 1435, 2.4073589864029323e-05
948, 1155, 2.4011622747200132e-05
623, 690, 2.3691315370736593e-05
519, 718, 2.334363071962506e-05
606, 690, 2.3090317358914485e-05
1118, 1435, 2.215850950646405e-05
606, 1155, 2.2088361902922275e-05
652, 718, 2.1628218237469305e-05
929, 1435, 2.15461232798883e-05
1002, 1155, 2.1096243490956838e-05
879, -1, 2.096247505343878e-05
139, 296, 2.0568661770659095e-05
192, 401, 2.0564653041950165e-05
903, 1044, 1.9397376189884928e-05
565, 797, 1.9170416277675543e-05
572, 1057, 1.8980528471786973e-05
623, 991, 1.8626207749577904e-05
192, 1101, 1.8159909198568362e-05
545, 793, 1.7628546375084005e-05
430, 439, 1.736158629446259e-05
353, 439, 1.7352003765253462e-05
545, 1435, 1.6973859317833164e-05
623, 746, 1.6441099640407474e-05
879, 1057, 1.643615167718302e-05
1314, -1, 1.5849785801928657e-05
192, 918, 1.4593984325200905e-05
0, 1101, 1.4192574672673427e-05
1080, -1, 1.3990422947427938e-05
519, 1371, 1.3744498457134844e-05
0, 206, 1.3451253017332462e-05
668, 1057, 1.3418879901969556e-05
565, 1441, 1.3054898429987775e-05
