Gene = UBXN11
index = 1524
Annotated 5SS: [   54  3603  3833  4952  5720  8684  9219  9727 12441 20823 21182 22284
 22504 23782 23997]
Annotated 3SS: [ 3477  3726  4922  5620  8582  9163  9649 12313 20607 21103 22162 22399
 23707 23855 24075]
SMsplice 5SS: [   54  3603  3833  8684  9219  9727 10685 12441 15015 15378 20823 21182
 22284 22504 23782 23997]
SMsplice 3SS: [ 3477  3726  8582  9163  9649 10560 12313 14922 15264 20607 21103 22162
 22399 23707 23855 24075]
top_k =  1000
Partition function (log Z): 20.109810375203214

Sorted 5' Splice Sites (High to Low Probability):
Position 12441: 0.9945914706242616
Position 22284: 0.9890495389915437
Position 22504: 0.9652665434638645
Position 20823: 0.9496833550068349
Position 21182: 0.9124814276886686
Position 3833: 0.8939099172807268
Position 23782: 0.8652149232732826
Position 9219: 0.8192501244069732
Position 54: 0.8033835090810256
Position 10685: 0.7569836408047056
Position 3603: 0.6866325393607046
Position 9727: 0.6587326105719231
Position 23997: 0.6470332629761689
Position 15015: 0.6178450010725809
Position 8684: 0.6085523353472562
Position 15513: 0.5204760255619366
Position 4952: 0.448978422297858
Position 10190: 0.4143128929983576
Position 358: 0.3646491175377325
Position 15378: 0.3581509948128716
Position 5720: 0.32189527930368483
Position 21896: 0.27221038368610223
Position 10991: 0.2503671525513887
Position 8696: 0.22947349154815114
Position 10891: 0.2023564788479515
Position 15226: 0.1795733266949136
Position 9712: 0.1784364261687247
Position 5707: 0.1689797939338649
Position 10322: 0.16567220015111164
Position 20359: 0.14831555014918968
Position 8651: 0.11588820467242995
Position 2944: 0.11211098590518426
Position 21520: 0.09408314689393779
Position 8970: 0.09000080342963969
Position 15770: 0.07374587322590212
Position 23801: 0.07083117191732474
Position 11551: 0.06682701918947449
Position 16377: 0.06611260624958774
Position 12822: 0.044906680560541354
Position 841: 0.04418008115753531
Position 21612: 0.03772092699786812
Position 23646: 0.032610074931145254
Position 2931: 0.03229371490529018
Position 22695: 0.027499397527846546
Position 19410: 0.026315719024369726
Position 11769: 0.023632922601488544
Position 15165: 0.022688070647947516
Position 824: 0.01999907778646085
Position 9021: 0.01935773537394081
Position 22664: 0.01731711044140877
Position 341: 0.017176305734294694
Position 13635: 0.016949529980257748
Position 14462: 0.016518097314950568
Position 21801: 0.016430693183480675
Position 21663: 0.012783928187279628
Position 4040: 0.012334023283906778
Position 6924: 0.011700833036623944
Position 22465: 0.009511747807639548
Position 21826: 0.008663566030113755
Position 11809: 0.008634725235658367
Position 14599: 0.007958254621695861
Position 915: 0.007936280942990393
Position 12841: 0.007837276523584872
Position 3873: 0.006914922042940813
Position 432: 0.006595076591178447
Position 8819: 0.006521450136102157
Position 3282: 0.00626926839359859
Position 22966: 0.005923916527817059
Position 3043: 0.005864245486518136
Position 11444: 0.005574872166851754
Position 11492: 0.00523669962543322
Position 16279: 0.005193091837426112
Position 21157: 0.005025270017215682
Position 21525: 0.004841188968852971
Position 218: 0.004713755439305923
Position 21659: 0.004471579170659785
Position 704: 0.004317540711715509
Position 15742: 0.0042276496263818
Position 16897: 0.003659746060825971
Position 6180: 0.0035594661164436753
Position 5232: 0.0034927540482443935
Position 5469: 0.003490812832657731
Position 11827: 0.0034544138117406646
Position 9907: 0.0033615190312804733
Position 13178: 0.0032661857238052085
Position 10899: 0.0028640734880280767
Position 9803: 0.0028595070203723916
Position 12197: 0.0028323930426204756
Position 21813: 0.0027559526291070953
Position 9524: 0.0027164539415297285
Position 4866: 0.002477106972123157
Position 21540: 0.0022272906364616406
Position 795: 0.002106300943986056
Position 23971: 0.0019502424245875763
Position 11012: 0.0019290374750782786
Position 14390: 0.001862919767519639
Position 1157: 0.001696913914388956
Position 21055: 0.0015437064834231407
Position 11773: 0.0013492889007349048
Position 22163: 0.0012995384576357624
Position 15676: 0.0012081716880868814
Position 21594: 0.001185698588745134
Position 23155: 0.0011755329518156326
Position 21008: 0.00115343458348578
Position 14898: 0.0011260779122714564
Position 23438: 0.0010519079418252332
Position 15084: 0.0010151026392942752
Position 22002: 0.00101113506845409
Position 22706: 0.000921611832435126
Position 9335: 0.0008734275996363485
Position 14050: 0.0008285647650808997
Position 15901: 0.0008085122572823513
Position 1277: 0.0007440981782915782
Position 1269: 0.0007292213446481431
Position 406: 0.0006829089233954717
Position 742: 0.0006664535377590421
Position 439: 0.0006646754326016405
Position 9690: 0.0006627872687638731
Position 21656: 0.0006218416966530223
Position 1706: 0.0005920823559218986
Position 10995: 0.0005784898459483331
Position 18912: 0.0005738638964412034
Position 16555: 0.0005366415267743719
Position 1360: 0.0005364981214342606
Position 20315: 0.0005069324751562064
Position 4596: 0.0004929803728821944
Position 696: 0.0004833450367517044
Position 10359: 0.0004808463953165456
Position 20996: 0.00046885430727155395
Position 4845: 0.0004679713034869501
Position 22232: 0.00045551774417687795
Position 5048: 0.0004266194478780437
Position 17225: 0.00042035869930495413
Position 5493: 0.00041220146847515044
Position 17552: 0.0004007086104364699
Position 24001: 0.0003902749077524726
Position 11263: 0.00038209104314764386
Position 355: 0.00034318725835679516
Position 11568: 0.00033061942375698397
Position 24211: 0.0003136082718360742
Position 16541: 0.00030642061524338484
Position 16284: 0.0002907438428427923
Position 16449: 0.0002899333426086022
Position 15686: 0.00026284082288794466
Position 3639: 0.00024531749323988643
Position 151: 0.0002374367667849357
Position 226: 0.00023166433799629376
Position 2199: 0.00019627222413621468
Position 4158: 0.000194005492521345
Position 16593: 0.0001810959858108671
Position 3286: 0.00017830545920483222
Position 9340: 0.00016076746279254127
Position 2312: 0.00015687106460476953
Position 10098: 0.0001554393704216912
Position 4840: 0.00014457776695791537
Position 22739: 0.0001337526071149484
Position 10236: 0.00011121078657207168
Position 22184: 9.920145463771884e-05
Position 2814: 9.878715909955847e-05
Position 15591: 9.865327430517808e-05
Position 11215: 9.534373144051532e-05
Position 16833: 7.984693494877539e-05
Position 17692: 7.393447016415758e-05
Position 19716: 7.221003814815529e-05
Position 24246: 7.148560804763297e-05
Position 5699: 6.662719979108528e-05
Position 22268: 5.307451716413893e-05
Position 14539: 5.122560913990281e-05
Position 395: 4.796455693855129e-05
Position 817: 4.369324762590654e-05
Position 24234: 4.332484379925992e-05
Position 1182: 4.245427799190658e-05
Position 1189: 4.2335577093340075e-05
Position 1386: 4.1206752277852396e-05
Position 2518: 3.0723025390648884e-05
Position 17263: 2.89359694134253e-05
Position 480: 2.41448189516824e-05
Position 15546: 2.038409886439812e-05
Position 2018: 1.8766649610407793e-05
Position 512: 1.7618517221411987e-05
Position 5965: 1.5481383262453383e-05
Position 877: 1.355113184654892e-05
Position 1320: 1.1217862645427992e-05
Position 1546: 1.1189005890981839e-05
Position 2348: 1.0063434820231543e-05
Position 6261: 1.0040752087933009e-05
Position 2595: 9.772835767231088e-06
Position 1563: 9.326685394622324e-06
Position 51: 8.463669555660742e-06
Position 1228: 7.174392884275407e-06
Position 22655: 6.048323377127644e-06
Position 1143: 5.15867258742377e-06
Position 803: 5.101013117143557e-06
Position 443: 4.955812500552059e-06
Position 12703: 4.835952599682401e-06
Position 769: 4.6499252186958155e-06
Position 379: 3.969668681887717e-06
Position 22699: 3.613728920658914e-06
Position 1404: 3.5740631469804586e-06
Position 362: 3.5410030212923957e-06
Position 520: 3.3842669564422324e-06
Position 58: 2.768678864845495e-06
Position 343: 1.3603130991172051e-06
Position 22801: 8.968755477876485e-07
Position 291: 6.014188305534369e-07
Position 270: 4.37107937929183e-07
Position 180: 3.379883147557848e-07
Position 22770: 3.2712998645271046e-07
Position 384: 2.2924009269161018e-07
Position 87: 1.3340603100316063e-07
