Gene = GS1-259H13.13
index = 624
Annotated 5SS: [   93  2001 41591 45902 48200]
Annotated 3SS: [ 1837 41512 45690 48052 48977]
SMsplice 5SS: [   93  2001  3279  3800 12685 13098 39453]
SMsplice 3SS: [ 1837  3192  3545 12564 12992 39240 43881]
top_k =  100
Partition function (log Z): -22.199420466490405

Sorted 5' Splice Sites (High to Low Probability):
Position 3800: 0.9817635429455344
Position 93: 0.8461226574351671
Position 2001: 0.824780880359018
Position 3279: 0.7714943399611014
Position 3575: 0.5080545269347788
Position 3272: 0.21872879604272003
Position 5361: 0.09099846716422616
Position 4356: 0.06796204679106604
Position 2911: 0.06794873316588981
Position 4370: 0.06349429018732153
Position 327: 0.05889437224105648
Position 2561: 0.046406090079254315
Position 323: 0.043999978351923354
Position 313: 0.03610455821003713
Position 224: 0.020021163513092993
Position 3542: 0.014833244409667531
Position 2830: 0.007879273704964999
Position 189: 0.006833655478352997
Position 53: 0.00397567795835315
Position 57: 0.0012273038461347795
Position 631: 0.0009373457334652961
Position 3960: 0.0006857191355407678
Position 3023: 0.0005368747305306933
Position 2565: 0.00017323349422937565
Position 49: 1.4670431184460292e-05
Position 208: 2.7368452610883417e-06
Position 97: 3.565278506170771e-07
Position 171: 5.419167283048424e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3192: 0.8049887929265898
Position 3545: 0.4729033957064925
Position 3648: 0.42660180551821864
Position 1837: 0.42114860882908506
Position 5278: 0.3632611151440916
Position 1857: 0.32950530333668515
Position 12564: 0.3140863476129967
Position 3672: 0.2335092894298822
Position 3209: 0.18366338097329393
Position 3358: 0.18180715531814892
Position 3384: 0.1465727461596165
Position 4120: 0.09685246323606274
Position 2660: 0.07112119817217674
Position 6494: 0.05869240753802642
Position 1811: 0.05604178839983357
Position 4668: 0.05531957293158749
Position 4222: 0.040757142944965075
Position 4643: 0.03766665413043889
Position 5463: 0.03512682162772176
Position 4492: 0.034997966864292955
Position 5281: 0.034626712767842
Position 5612: 0.033186775643071084
Position 3653: 0.02657878259303079
Position 4180: 0.021363022175170387
Position 2433: 0.020494174992154925
Position 5994: 0.018892157667718387
Position 3387: 0.01787760778696411
Position 2350: 0.017377640762371836
Position 6518: 0.01602814544592549
Position 5167: 0.01494206911800719
Position 250: 0.012684377450706231
Position 1862: 0.012627177421631278
Position 4254: 0.011693090522326505
Position 3456: 0.007874819825607974
Position 4015: 0.00776909130495811
Position 3864: 0.006204976286556066
Position 4056: 0.006007893912642656
Position 1952: 0.005222231534573986
Position 2775: 0.004706808698678086
Position 5492: 0.004647836327467845
Position 2248: 0.004506986149613347
Position 2387: 0.004200521669343573
Position 2910: 0.0021078368344651715
Position 3579: 0.0015948363438729868
Position 159: 0.0013925433803837516
Position 192: 0.0011002369971296372
Position 278: 0.0010267813044600208
Position 292: 0.000890054466838837
Position 493: 0.0003592419841494849
Position 4278: 0.00034913568443113827
Position 544: 0.0003156377754929197
Position 522: 0.0002624659738228915
Position 1705: 0.00013008611829281878
Position 1748: 0.0001056847189171591
Position 162: 0.00010319143057350148
