Gene = AT4G10760
index = 699
Annotated 5SS: [1143 2005 2303 2726 3019 3190]
Annotated 3SS: [1905 2218 2393 2801 3109 3262]
SMsplice 5SS: [1143 2005 2303 2726 3019 3190]
SMsplice 3SS: [1905 2218 2393 2801 3109 3262]
length: 3565
Partition function (logZ) = 3.708780491224367
#Introns = 24048
5SS, 3SS, prob
2303, 2393, 0.9967658965844979
3019, 3109, 0.9426532925117382
2005, 2218, 0.6226087219994128
3190, 3262, 0.5855386373286818
2726, 2801, 0.5401867936229737
1143, 1652, 0.48006982656087493
3190, 3284, 0.21891770766092353
654, 874, 0.21483114135960346
1143, 1905, 0.19086319819191136
1819, 1905, 0.16341628917748283
2726, 2881, 0.14422645427958275
1831, 1905, 0.10343324689103074
3168, 3262, 0.09433936729481035
2138, 2218, 0.09157433789474756
1774, 1905, 0.08323973103960883
1781, 1905, 0.07887496284656595
2030, 2218, 0.06621239590062411
1143, 2218, 0.054463875678831306
3190, 3312, 0.04714359451812478
1774, 1861, 0.040341841148431014
2726, 2808, 0.03901728670671702
2726, 2938, 0.038275115698365746
2726, 2827, 0.03796468994641431
2726, 2823, 0.03750399101157195
654, 1652, 0.02782626207302774
1143, 1227, 0.027638092452407698
1781, 1861, 0.026730693629139234
2989, 3109, 0.021671190968991904
3019, 3125, 0.021621144282218195
2503, 2881, 0.020134799483414925
2503, 2801, 0.019978813673087365
1143, 1861, 0.01780108348015158
1143, 1699, 0.016853231580492782
1143, 1237, 0.016320594491462753
1143, 1716, 0.016098505036079125
2503, 2666, 0.014984062336815653
1774, 2218, 0.014533325234884042
2133, 2218, 0.012772126345544945
1143, 1685, 0.012697072082010532
1781, 2218, 0.011922624952749516
2114, 2218, 0.011734753919853206
1930, 2218, 0.01167198121674377
654, 1905, 0.011062993504572821
2674, 2801, 0.009548325890009013
2503, 2568, 0.007789042164003835
1947, 2218, 0.007616953371510986
1831, 2218, 0.0075633803282882045
1143, 1219, 0.0074227217322829385
1747, 1905, 0.0072984899123556355
2005, 2192, 0.007169739487560299
2719, 2801, 0.006895156151168397
2101, 2218, 0.006371928433637784
2503, 2938, 0.006235566933683231
1336, 1652, 0.0055449928438671735
1819, 2218, 0.0055170003852365946
2674, 2881, 0.005430943615973473
2121, 2218, 0.005101426268410361
3168, 3284, 0.004737279594899003
1826, 1905, 0.004724819178523001
1143, 1453, 0.004367557502250102
2726, 2890, 0.004128203516859434
1143, 1671, 0.004101370149504967
2005, 2220, 0.004075731391381237
1143, 1946, 0.0040714456652673455
2473, 2568, 0.003892776147336885
2726, 2850, 0.0038197699955242535
