Gene = ENSDARG00000094811
index = 624
Annotated 5SS: [  161  5594 42252 73380]
Annotated 3SS: [ 5545 42202 73261 93729]
SMsplice 5SS: [  161 21870 39489 39726 42252 64440 73380]
SMsplice 3SS: [21745 39335 39576 42202 64326 73261 93729]
length: 93928
Partition function (logZ) = -56.7428476147835
#Introns = 1669
5SS, 3SS, prob
21870, 27393, 0.6097855168993896
5594, 21745, 0.19788167143393173
11773, 21745, 0.19709172475232967
12009, 21745, 0.18721360427329709
2754, 21745, 0.16989995040847572
161, 2541, 0.14628224643310353
161, 768, 0.14329782203829308
161, 5545, 0.14178509799317673
161, 11677, 0.13314652535057878
161, 2233, 0.08473349624149756
920, 21745, 0.08064887289623855
2430, 2541, 0.07312916320238666
5594, 11677, 0.06606771642152405
161, 21745, 0.06415655726067061
8316, 21745, 0.06314312139246485
2754, 5545, 0.05748927207019955
11773, 11856, 0.056903291463276655
2754, 11677, 0.054087500103167076
920, 11677, 0.04336916129315648
920, 5545, 0.03366826706389493
920, 2541, 0.03352831589744193
161, 8151, 0.029242616323374635
175, 2541, 0.024476958255437407
175, 5545, 0.023123342382399492
175, 11677, 0.02171450128599855
175, 768, 0.02092921151361233
5594, 8151, 0.01691447904480339
8316, 11677, 0.01649316832641818
6403, 11677, 0.015896590377127203
175, 2233, 0.013672688880189458
9246, 11677, 0.011221764925136575
2430, 11677, 0.01099809312130706
175, 21745, 0.010463116791624375
2754, 8151, 0.009110606269058866
2430, 5545, 0.008570914563288597
161, 3454, 0.00818615143156606
920, 8151, 0.00785896370724892
161, 816, 0.007506415455306974
920, 2233, 0.006874124581863631
3502, 5545, 0.006864702369490318
161, 730, 0.006698266769343022
3502, 11677, 0.0066649746398700525
161, 8122, 0.006281530251856537
161, 6237, 0.006253443815591111
2456, 2541, 0.005523727012688309
161, 1691, 0.005307022241500432
161, 11856, 0.004012419331809523
161, 9156, 0.003365831209675721
672, 768, 0.003238000539416674
161, 19559, 0.003122717512266746
5594, 8122, 0.0029770238037668748
161, 8310, 0.002752883661484976
1772, 11677, 0.002724067562551483
161, 6329, 0.002216385218861369
920, 1045, 0.0021793470995572733
920, 1006, 0.0020793355045189794
161, 1045, 0.0020462055739767686
243, 768, 0.0020171209516537205
2713, 5545, 0.0019703918724519797
920, 3454, 0.0019469388753016342
1122, 11677, 0.0019190540395513914
243, 2541, 0.001858663372298562
243, 5545, 0.0018292993055274082
3543, 5545, 0.001751285606253371
243, 11677, 0.0017180998274690918
161, 5548, 0.0016965110226384902
161, 5561, 0.0016441903906006844
5594, 6237, 0.0016266344810704852
161, 8079, 0.0016228892058324207
34, 2541, 0.0016114816679220012
161, 9058, 0.0016031293376352197
2754, 3454, 0.001601904235606893
6299, 11677, 0.0015913568295747818
1772, 2541, 0.0015874763671774727
1122, 5545, 0.001542084037022275
161, 19153, 0.0015320278245917987
2476, 2541, 0.0015114760031098861
1772, 5545, 0.0014942869321997872
161, 3408, 0.001445465090286952
161, 423, 0.001438581382435782
161, 445, 0.0013851474093803727
675, 768, 0.0013835339492679255
34, 5545, 0.0013792327138701936
34, 768, 0.0013647561965056433
161, 17716, 0.0013328471803115724
3543, 11677, 0.0012966840956105618
34, 11677, 0.001295391891627556
