Gene = E(z)
index = 1143
Annotated 5SS: [ 491 1285 1507 1705 2135 2383 3015]
Annotated 3SS: [ 552 1345 1689 2036 2192 2444 3082]
SMsplice 5SS: [  89  491 1285 1507 2135 2383 3015]
SMsplice 3SS: [ 153  552 1345 2036 2192 2444 3082]
top_k =  1000
Partition function (log Z): 12.925001953461798

Sorted 5' Splice Sites (High to Low Probability):
Position 2135: 0.999299680866136
Position 89: 0.9863097768451982
Position 1507: 0.9738166555447949
Position 3015: 0.9525575823308454
Position 1285: 0.9387590519475024
Position 491: 0.8968864796698912
Position 2383: 0.7114609587388473
Position 2697: 0.06867534340070272
Position 1986: 0.05425012644446922
Position 1938: 0.04033520841640853
Position 2343: 0.024053382821367996
Position 1705: 0.02352881595028277
Position 984: 0.023067163939107103
Position 656: 0.016853769941453635
Position 1289: 0.013636678053579305
Position 2995: 0.013203444003252098
Position 1305: 0.01299234217229968
Position 695: 0.01124007071687125
Position 1046: 0.010486266899177473
Position 2287: 0.009862259488590456
Position 1970: 0.009719990582292462
Position 2394: 0.009204587217008718
Position 3220: 0.008253638436516346
Position 2272: 0.005124403372305462
Position 1848: 0.0046303057258791445
Position 3231: 0.004120746022636394
Position 878: 0.002857312920362656
Position 1068: 0.002375747027280369
Position 70: 0.0018493465289351086
Position 1831: 0.001775701000396876
Position 599: 0.0016338448176611037
Position 684: 0.0016224518343868283
Position 2473: 0.0013766240707447806
Position 788: 0.0012604975384661486
Position 2737: 0.0011178741034953313
Position 2993: 0.0007163080106516013
Position 3271: 0.0007038558591964138
Position 821: 0.0006777178132192607
Position 2522: 0.0005966330457521848
Position 1859: 0.0005355923194606042
Position 1169: 0.0005285409317630234
Position 308: 0.0004364432453061466
Position 509: 0.0003941160848157088
Position 2676: 0.0003776705621045196
Position 2291: 0.00033172041689945574
Position 201: 0.00031686553345892677
Position 2524: 0.0003119382132319836
Position 1877: 0.0003114995672884831
Position 93: 0.0002995087693310638
Position 333: 0.0002990970505596097
Position 2735: 0.0002971775775206361
Position 773: 0.0002720727405979936
Position 2584: 0.0002491782194972609
Position 745: 0.00023640646819704118
Position 1540: 0.00022932514114743204
Position 1897: 0.00022585866562885255
Position 3143: 0.00020153680833734708
Position 2406: 0.0001843894569137243
Position 2582: 0.00018028316560810912
Position 3274: 0.000175638988536992
Position 2466: 0.00016340142696092923
Position 1428: 0.00016031282945661065
Position 73: 0.00015628840909467665
Position 841: 0.00015580620342972362
Position 739: 0.00015384829429055915
Position 2387: 0.0001514726777844854
Position 2128: 0.00013683333667428168
Position 2999: 0.00012239413385939797
Position 2821: 0.0001210085818257822
Position 2680: 9.959375533894839e-05
Position 1511: 8.130905119595252e-05
Position 1012: 8.118331290645788e-05
Position 60: 8.046905904712555e-05
Position 2853: 7.636872391005806e-05
Position 106: 7.263472711161642e-05
Position 707: 7.048593936554103e-05
Position 2614: 6.966968148567284e-05
Position 639: 5.448641956566275e-05
Position 3237: 5.444042878034039e-05
Position 3306: 5.211895057282377e-05
Position 1796: 4.9750009587832145e-05
Position 1667: 4.7964694047615885e-05
Position 320: 4.710766817210138e-05
Position 1049: 4.397743516887563e-05
Position 719: 4.33143715859763e-05
Position 932: 3.788314751119967e-05
Position 1309: 3.557599730609713e-05
Position 3346: 3.439765768381962e-05
Position 536: 2.885880510377941e-05
Position 1899: 2.8776565773104236e-05
Position 1857: 2.7705065097157696e-05
Position 2139: 2.6802599531746285e-05
Position 1563: 2.6761749691466753e-05
Position 257: 2.669855259772846e-05
Position 1583: 2.637395357393083e-05
Position 1622: 2.4393114596171638e-05
Position 923: 2.3178721019882333e-05
Position 2915: 2.1800922057686745e-05
Position 2510: 2.1490039495455164e-05
Position 1121: 2.14523967363354e-05
Position 1181: 2.0445201411808616e-05
Position 1760: 1.7227061059433364e-05
Position 1477: 1.5078542936417581e-05
Position 572: 1.4874948008738717e-05
Position 1558: 1.4088567744529132e-05
Position 1718: 1.3971008885445359e-05
Position 322: 1.3426677510700941e-05
Position 2983: 1.3001888588079517e-05
Position 476: 1.2616477363595205e-05
Position 1190: 1.0907106760104142e-05
Position 22: 9.026688150297643e-06
Position 2962: 7.91657099171915e-06
Position 641: 7.119217575165154e-06
Position 2923: 6.559268892883442e-06
Position 2358: 6.474908585602077e-06
Position 901: 6.05614621798439e-06
Position 215: 5.714263768604049e-06
Position 265: 5.622655856307796e-06
Position 1474: 4.464284440910129e-06
Position 42: 3.936092250912681e-06
Position 2683: 3.8135006384978453e-06
Position 2694: 3.6846345268954497e-06
Position 2925: 3.6730475457767125e-06
Position 2055: 2.8366602147401084e-06
Position 3159: 2.623013907210702e-06
Position 3212: 2.555003702905765e-06
Position 3176: 2.485853998557929e-06
Position 1768: 2.354143168618738e-06
Position 19: 2.3165096627522854e-06
Position 242: 1.9502130378096645e-06
Position 419: 1.9449352503419836e-06
Position 236: 1.8582620018952378e-06
Position 2005: 1.7971084526582484e-06
Position 1690: 1.6372180177677987e-06
Position 413: 1.5917548778373152e-06
Position 515: 1.5171994306114067e-06
Position 1721: 1.4891371787179164e-06
Position 1471: 1.4226469183208913e-06
Position 1346: 1.1359243453622225e-06
Position 583: 1.0153304156140965e-06
Position 454: 9.912394296401497e-07
Position 2577: 7.06145453308163e-07
Position 282: 5.219302612074778e-07
Position 2166: 4.5833037733424354e-07
Position 384: 3.899591562805936e-07
Position 153: 1.9691179344576152e-07
Position 2073: 1.7043353083362475e-07
Position 353: 1.4619321229138936e-07
Position 234: 6.509911133226168e-08
Position 2416: 4.698389302345048e-08
Position 2418: 3.950946570001385e-08
Position 632: 1.9713820594888166e-08
Position 2898: 4.609496817186516e-09
Position 2590: 4.1116918408914635e-09
Position 2896: 3.762033920083965e-09
Position 408: 4.4166414761685826e-10
Position 395: 3.320444018827238e-10
Position 406: 2.9421284679612925e-10
Position 592: 2.5888948654882055e-11
Position 2477: 7.941512800248383e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2192: 0.9979704523266993
Position 3082: 0.9855198201646133
Position 1345: 0.9681880270506957
Position 2036: 0.9402902466694181
Position 552: 0.8549030867171018
Position 2444: 0.7373568173378339
Position 153: 0.6719132064549549
Position 257: 0.27972149132866303
Position 1689: 0.14990732784678093
Position 1084: 0.0352519090472556
Position 2800: 0.02922377941622992
Position 2915: 0.029004318332117102
Position 201: 0.018461799331683185
