Gene = AT4G28990
index = 957
Annotated 5SS: [ 244  405  564 1185]
Annotated 3SS: [ 339  484  883 1314]
SMsplice 5SS: [ 224 1185]
SMsplice 3SS: [ 883 1314]
length: 2024
Partition function (logZ) = -0.6853282117609636
#Introns = 1072
5SS, 3SS, prob
1185, 1314, 0.5205775052771472
1223, 1314, 0.39500968973125544
224, 883, 0.2295949732342245
741, 883, 0.1553229123958611
754, 883, 0.1430019315468097
774, 883, 0.12360939016945786
244, 883, 0.11246967006110345
224, 662, 0.09907100406125212
485, 883, 0.05558236457764299
224, 452, 0.049812732416965586
244, 662, 0.04853103961640004
706, 883, 0.04030132187536678
224, 484, 0.0369815410997255
564, 662, 0.034420804683219806
1167, 1314, 0.029743499327420195
244, 334, 0.029030860810978252
556, 662, 0.025073819403386356
244, 452, 0.024401293795253062
485, 662, 0.024180334356184024
224, 334, 0.02235271746616922
244, 484, 0.018115797183473163
232, 883, 0.017376079604106216
556, 883, 0.015212190258577797
1185, 1320, 0.014525769069657699
564, 883, 0.013310082442217827
241, 883, 0.012845210175236923
817, 883, 0.011243271725564493
244, 339, 0.010596489818831037
224, 600, 0.010549298038100131
224, 687, 0.010450789451713037
1223, 1320, 0.009661282387213822
346, 883, 0.008739159608032145
460, 883, 0.008553038869081006
610, 883, 0.008118527379332411
224, 339, 0.007739808413858569
224, 399, 0.0076257703397231025
232, 662, 0.007497836582656327
224, 624, 0.007293222334886842
346, 452, 0.00718855973583182
1185, 1261, 0.006727339842164179
807, 883, 0.006381782409056371
485, 600, 0.0063058930297465975
241, 662, 0.005542751239528216
244, 600, 0.005167692552045528
244, 687, 0.005119437095368294
1189, 1314, 0.005070550942270564
1144, 1314, 0.00469463567817258
244, 399, 0.004319506241605741
594, 883, 0.0041175464564411285
346, 662, 0.0037707504790845735
232, 452, 0.0037698962808968123
460, 662, 0.0036894799803913396
248, 883, 0.0036793602845618515
1185, 1458, 0.003601201058182359
244, 624, 0.0035726672265766627
241, 334, 0.003038754314456415
232, 484, 0.0027988136174249916
241, 452, 0.0027868826890104473
572, 662, 0.002786435403734284
594, 662, 0.002630577260492696
232, 334, 0.0026103162851480867
445, 883, 0.0025484058285073817
485, 624, 0.0025253623971628293
