Gene = mop
index = 1792
Annotated 5SS: [ 218 1372 4381 5440 5633 5875 6118 6293]
Annotated 3SS: [ 621 1437 4446 5503 5692 5929 6172 6350]
SMsplice 5SS: [ 218 1372 1657 4381 5440 5633 5875 6118 6293]
SMsplice 3SS: [ 621 1437 4215 4446 5503 5692 5929 6172 6350]
top_k =  500
Partition function (log Z): 28.45676779190981

Sorted 5' Splice Sites (High to Low Probability):
Position 5440: 0.9994966272082763
Position 4381: 0.9979600493945066
Position 6293: 0.9979394818210305
Position 1372: 0.9972402955317646
Position 5633: 0.9970926442784471
Position 5875: 0.9622486567799531
Position 6118: 0.9544281342858643
Position 218: 0.7271865252912346
Position 3574: 0.5816759363621218
Position 2480: 0.3186126725295641
Position 1657: 0.2978313013992658
Position 1763: 0.28628973850407463
Position 3395: 0.2861797280981871
Position 2173: 0.1940672229871008
Position 53: 0.12732541190454782
Position 507: 0.05580633744488831
Position 3765: 0.0549814936246856
Position 1072: 0.04017386217826201
Position 3421: 0.03634910017748213
Position 498: 0.034888141888241575
Position 1266: 0.03457163470323343
Position 2803: 0.03223990044221889
Position 3191: 0.03131411829566588
Position 6460: 0.029294199552580617
Position 6072: 0.029001211069762552
Position 478: 0.0261454412132534
Position 2374: 0.015116827965837753
Position 3119: 0.011350997295584567
Position 1625: 0.010361315264342438
Position 3834: 0.006329644239648548
Position 4885: 0.0058559481367073075
Position 3323: 0.0052121788501379995
Position 2887: 0.00504497126169538
Position 291: 0.0046733174067216336
Position 1534: 0.0038425857202882877
Position 4561: 0.00364211226636192
Position 1531: 0.0036383165658182216
Position 6124: 0.003185737642836201
Position 502: 0.0031852615689365485
Position 5863: 0.0026149171315037844
Position 232: 0.0025999866567063008
Position 6499: 0.0025329330928928685
Position 4220: 0.0025317499122815843
Position 730: 0.002427968926352944
Position 5768: 0.0020806343149678466
Position 6113: 0.001901075111893614
Position 5637: 0.0018937171701819868
Position 3442: 0.0018053038262093076
Position 1767: 0.0017541268316755578
Position 1357: 0.0016123503548018268
Position 326: 0.0014966589439072734
Position 4867: 0.0014568285674436527
Position 3279: 0.0012462317180372386
Position 2111: 0.0012234594946375508
Position 120: 0.0011889386578893008
Position 4409: 0.0011617378799470522
Position 6280: 0.0011615294900724981
Position 918: 0.0011530988997366456
Position 308: 0.000988067862757639
Position 6512: 0.0009280509543504968
Position 84: 0.0007180501975003572
Position 1057: 0.0006644368985733035
Position 2470: 0.0005509954543793313
Position 847: 0.0005124899345597383
Position 1150: 0.00047617987270984305
Position 6140: 0.00046941596910985507
Position 166: 0.00044447602908331737
Position 1248: 0.0004100043246599408
Position 246: 0.00030836652876342993
Position 1734: 0.0002778707700236311
Position 5609: 0.00027214505812853075
Position 1591: 0.0002446313960859173
Position 1018: 0.00024340994211174293
Position 4982: 0.0002424095688329283
Position 437: 0.00022892987811824208
Position 1809: 0.00022874773456933658
Position 397: 0.00022720648271672947
Position 5606: 0.00021728702455370776
Position 1882: 0.00017123024654507353
Position 2902: 0.00016784674727711712
Position 922: 0.00016547561593079906
Position 5794: 0.0001551982940783524
Position 443: 0.00014036407858536733
Position 143: 0.00013451675811066558
Position 1636: 0.00013428542291678337
Position 1933: 0.0001201801532391799
Position 1731: 0.0001167598532245987
Position 88: 9.701523936254756e-05
Position 1241: 8.877826343064863e-05
Position 1572: 8.874154584345298e-05
Position 1231: 8.713330038472544e-05
Position 4862: 7.965467416996377e-05
Position 1340: 7.473833853652074e-05
Position 1270: 7.236624731059922e-05
Position 6076: 6.431803326461249e-05
Position 559: 6.229370609509602e-05
Position 1257: 5.7614277287786815e-05
Position 183: 4.3768574073417857e-05
Position 909: 4.251487811249763e-05
Position 2034: 3.645364140751674e-05
Position 2053: 3.488198614545931e-05
Position 41: 3.453849690117372e-05
Position 4471: 3.403820138857504e-05
Position 2097: 3.3996186700260454e-05
Position 5389: 3.169682589450242e-05
Position 75: 3.140876927293644e-05
Position 1074: 3.0894432044539385e-05
Position 6040: 3.033405715514388e-05
Position 1217: 2.6634396364639304e-05
Position 4324: 2.517246891152813e-05
Position 6060: 2.3954291682390214e-05
Position 5753: 1.8992021339587534e-05
Position 150: 1.816573358028723e-05
Position 446: 1.7148554804063587e-05
Position 2085: 1.6551803728362843e-05
Position 1165: 1.5754176912732838e-05
Position 6436: 1.5600837038278655e-05
Position 5831: 1.389980693615696e-05
Position 5444: 1.27092454976265e-05
Position 5882: 1.2161394068855368e-05
Position 6259: 1.1607257240863059e-05
Position 1866: 1.1532024594320139e-05
Position 1806: 1.0362246004435264e-05
Position 877: 1.009605524186799e-05
Position 424: 8.642237011114976e-06
Position 5587: 6.5668178415761495e-06
Position 1702: 6.112430214271456e-06
Position 5596: 5.836079979008436e-06
Position 1305: 5.07771316652731e-06
Position 5081: 5.024668089745644e-06
Position 4705: 4.524270698813776e-06
Position 833: 4.462024928912962e-06
Position 5809: 4.284359619014486e-06
Position 6663: 2.6688824160648918e-06
Position 1473: 2.3851016202532584e-06
Position 6049: 1.8724773872706657e-06
Position 4834: 1.5866711773159508e-06
Position 4989: 1.4637231164156688e-06
Position 5459: 1.1393207387262512e-06
Position 5191: 8.550703270486285e-07
Position 1168: 7.52767053007766e-07
Position 937: 6.940743250435103e-07
Position 4738: 4.0329745296092567e-07
Position 5950: 3.934996552674413e-07
Position 1222: 2.3113860512178135e-07
Position 1679: 1.840164827833026e-07
Position 1972: 1.8220015450808393e-07
Position 1892: 1.3158356835583628e-07
Position 2387: 1.0660836556324328e-07
Position 1408: 1.0459854438570219e-07
Position 1110: 8.423165748838375e-08
Position 6333: 4.1990639593352306e-08
Position 670: 3.765431374337994e-08
Position 86: 3.454307144206756e-08
Position 6328: 2.5931006931581193e-08
Position 1246: 1.6416350434156377e-08
Position 838: 1.0923890654798357e-08
Position 6209: 7.840316576066652e-09
Position 882: 4.639375647107305e-09
Position 6246: 3.852960419973015e-09
Position 6200: 9.736806184211363e-10
Position 621: 5.391862615088425e-10
Position 609: 3.391829549612028e-10
Position 5059: 5.174969181079596e-11
Position 5575: 4.454642167366705e-11
Position 6392: 1.4337077359868032e-11
Position 6534: 2.1711865276815004e-12
Position 5893: 4.668271404602918e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1437: 0.9993339380196822
Position 6350: 0.992069639100046
Position 4446: 0.9871528541654607
Position 5692: 0.9869758827398604
Position 5929: 0.9779446074454295
Position 6172: 0.9767562661748443
Position 621: 0.9538401618714257
Position 5503: 0.928269855674767
Position 2267: 0.49808023380704536
Position 3651: 0.3406119712088899
Position 3457: 0.304014372618156
Position 4215: 0.27558006247501543
Position 3954: 0.25452589228380856
Position 3478: 0.16898551911742937
Position 3211: 0.08060899486616512
Position 5542: 0.07062543571251007
Position 3323: 0.03623533845082658
Position 1317: 0.0357796366186005
Position 1127: 0.03498958197552985
Position 3388: 0.03421013891069431
Position 6539: 0.022268236591241733
Position 2887: 0.022140853287933294
Position 2544: 0.02206623527974833
Position 3042: 0.02164116808276084
Position 112: 0.019116714869532477
Position 4035: 0.01814712333128176
Position 3232: 0.014689356349949308
Position 3618: 0.012671674979487338
Position 3441: 0.01219046552101957
Position 6207: 0.010674008365445124
Position 4470: 0.010493437246069945
Position 3273: 0.0100403347972567
Position 4219: 0.008574020923939864
Position 4105: 0.008047420886476912
Position 6379: 0.006598792248352908
Position 3993: 0.006111418281938267
Position 1615: 0.005971712569632338
Position 99: 0.005332227708811253
Position 6580: 0.005274864783559188
Position 3741: 0.004847575621291832
Position 2576: 0.004352412016786755
Position 6575: 0.004227075005917976
Position 1207: 0.0036262818599205843
Position 2237: 0.0036231962013922336
Position 3345: 0.003473999927283961
Position 3630: 0.0033702530335086058
Position 783: 0.0032090618798865976
Position 5030: 0.003118815534687716
Position 4628: 0.002930694186352849
Position 972: 0.0026998815985636777
Position 3394: 0.0022695337066289192
Position 1150: 0.0022555673394173835
Position 4301: 0.002246601369312191
Position 5081: 0.002236328574779726
Position 3822: 0.0021375343240917413
Position 1936: 0.0016314553243535934
Position 3810: 0.0014961920196561972
Position 415: 0.0014649227525187491
Position 3039: 0.001396458038707554
Position 6224: 0.0013653408404809568
Position 4936: 0.0009821969703217655
Position 3420: 0.0009750260247981383
Position 1161: 0.0009552928465089799
Position 5937: 0.0009494472925175919
Position 6601: 0.0009221439829931003
Position 4966: 0.0008906719235642984
Position 646: 0.0008640913977019186
Position 652: 0.000862393367578048
Position 6391: 0.0007926942837168413
Position 3666: 0.0007814662730445553
Position 4939: 0.0007705230128558162
Position 3933: 0.0007341257810015587
Position 1713: 0.0007327270245441943
Position 4921: 0.0006461882435507075
Position 5551: 0.0005360950199826768
Position 4483: 0.000488274970173181
Position 833: 0.0004736430392310749
Position 4507: 0.0004292045271387359
Position 1071: 0.0004095058071993082
Position 5717: 0.00039367130553270326
Position 753: 0.0003743477738962076
Position 909: 0.0003476078869919447
Position 2988: 0.00032406824268772056
Position 2394: 0.0003064705322194836
Position 1180: 0.00030289669782797426
Position 1281: 0.0002946515579992568
Position 4559: 0.000251991960726509
Position 5511: 0.000251730899113587
Position 699: 0.00020988786536284938
Position 139: 0.00020390074966670295
Position 5773: 0.00019874382365903413
Position 2307: 0.00019809657995473689
Position 4572: 0.00016828914552678527
Position 1966: 0.00014889179340908307
Position 4827: 0.00013622485698742485
Position 1914: 0.00013271675293127986
Position 2000: 0.00010959664619056315
Position 1697: 0.00010487071711711317
Position 667: 0.00010437774199349627
Position 1338: 8.687978061198749e-05
Position 2463: 8.674615985183938e-05
Position 1702: 8.407559999949137e-05
Position 1950: 8.037264437896132e-05
Position 4667: 8.008606231902504e-05
Position 819: 7.722658834527385e-05
Position 5854: 6.904446216501353e-05
Position 2217: 6.799850650105997e-05
Position 2293: 6.551577604710872e-05
Position 2187: 6.254520211189529e-05
Position 1092: 5.787208081535405e-05
Position 498: 4.879215947934874e-05
Position 1739: 4.787376287937373e-05
Position 1925: 4.1712344174392826e-05
Position 1087: 4.04868196303717e-05
Position 1266: 3.951774939093248e-05
Position 5768: 3.682779506231758e-05
Position 4640: 3.413242203126013e-05
Position 2699: 3.3689660800510036e-05
Position 6711: 2.9016577214025713e-05
Position 6732: 2.7821834298349224e-05
Position 1048: 2.782094387939795e-05
Position 120: 2.7574832190217853e-05
Position 2198: 2.659453940553767e-05
Position 2684: 2.6480385325387175e-05
Position 1727: 2.639465801932451e-05
Position 6592: 2.6308600371771974e-05
Position 1065: 2.483794694638768e-05
Position 1875: 2.4478162029094997e-05
Position 2344: 2.383102463654766e-05
Position 2322: 1.942197039387706e-05
Position 2277: 1.931312979121466e-05
Position 4708: 1.891667931639389e-05
Position 5831: 1.7278617475198183e-05
Position 2670: 1.2858704718063291e-05
Position 1332: 1.2450208379513048e-05
Position 5728: 1.2215036375220175e-05
Position 6740: 1.1283777553404301e-05
Position 768: 1.1117891802680704e-05
Position 6246: 1.0881495420548608e-05
Position 1517: 1.0410167053726057e-05
Position 2673: 7.66713910401977e-06
Position 2158: 7.634781236272817e-06
Position 2649: 6.982882061862838e-06
Position 1587: 6.79720368624864e-06
Position 718: 6.688267385333558e-06
Position 5993: 6.217236284821623e-06
Position 1767: 6.080222429541562e-06
Position 2103: 4.808627139855333e-06
Position 5781: 4.230554156814825e-06
Position 6512: 4.176613018010719e-06
Position 1851: 4.147319879329923e-06
Position 217: 3.7090283737193083e-06
Position 6122: 3.6817805059269013e-06
Position 1335: 3.6666193888238317e-06
Position 5822: 3.424386089152126e-06
Position 2584: 3.408571574408393e-06
Position 654: 1.997454539347536e-06
Position 267: 1.9085080950703993e-06
Position 277: 1.8990025038294136e-06
Position 6045: 1.7016320588865904e-06
Position 1657: 1.6874981342748928e-06
Position 5997: 1.4423840368572143e-06
Position 6118: 1.0758145566481513e-06
Position 1624: 9.020086230413273e-07
Position 1723: 6.754442143573767e-07
Position 478: 3.708075825343845e-07
Position 6328: 2.7848488206585185e-07
Position 5887: 1.3364617642869754e-07
Position 6087: 1.1329661497727762e-07
Position 259: 6.133315410212958e-08
Position 279: 5.451924161468084e-08
Position 485: 4.553134117842399e-08
Position 224: 2.1427958840276088e-08
Position 183: 1.3534610547701488e-08
Position 228: 1.3289097684867663e-08
Position 1458: 1.0775119969264952e-08
Position 6412: 7.757570442994052e-09
Position 190: 6.450986946905641e-09
Position 6333: 5.661596480171745e-09
Position 437: 4.260805287611301e-09
Position 1494: 2.207630950632793e-09
Position 6398: 8.869872328844682e-10
Position 240: 5.087335591554792e-10
Position 1402: 4.777028266036265e-10
Position 1744: 3.8083498803761333e-10
Position 1661: 2.2916529008426918e-12
Position 6403: 1.947118533668061e-13
Position 6409: 1.7793247215040088e-13
