Gene = Odam
index = 777
Annotated 5SS: [  18  734  867 1575 2522 2956 4439 5106 6395 7440 7713]
Annotated 3SS: [ 667  824 1526 2290 2910 4336 5057 6322 7286 7653 8659]
SMsplice 5SS: [  18  734 2522 2956 4439]
SMsplice 3SS: [ 667 2290 2910 4336 8884]
length: 9146
Partition function (logZ) = -1.9143801322673326
#Exons = 1102
3SS, 5SS, prob
0, 18, 0.8918870906737066
2910, 2956, 0.840236569209553
2290, 2522, 0.7080336948347277
4336, 4439, 0.706732502811883
667, 734, 0.551445382726729
8884, -1, 0.37836936129780757
8659, -1, 0.3670984716402141
7286, 7440, 0.32979389527138364
1526, 1575, 0.24936467083168637
6322, 6395, 0.20999372784018402
283, 369, 0.168802885104409
1526, 1634, 0.14371377844038977
575, 734, 0.13968552569522472
1471, 1575, 0.13155269358371027
5057, 5106, 0.10129135377117406
214, 369, 0.09034519661410217
7286, -1, 0.0672747172910881
1400, 1575, 0.06449784478878069
4336, 4485, 0.04505280465031957
824, 867, 0.039017241277418964
0, 734, 0.03662349128038508
2335, 2522, 0.03540975689959958
2387, 2522, 0.03362224045282245
4345, 4439, 0.033571394131546445
0, 369, 0.033250330485086216
713, 734, 0.03281997036705178
2290, 2435, 0.0322081811436831
5825, 5915, 0.030103192370655722
7788, -1, 0.02993407943011852
2290, 2561, 0.02896244789365333
0, 13, 0.028783029909379917
4258, 4439, 0.027716811682254747
2416, 2522, 0.025276048088949222
5000, 5106, 0.023073079831327333
824, 950, 0.021911762503441276
7231, 7440, 0.02083115324464603
6322, -1, 0.019477119122868966
7653, -1, 0.018337200749096248
5825, -1, 0.01756250763980069
2766, 2956, 0.014647517964905606
7653, 7713, 0.013434807595956041
6322, 6452, 0.012423772301384337
642, 734, 0.011409976199671311
1471, 1634, 0.011280103960202655
2434, 2522, 0.011149445719407555
7231, -1, 0.010537278942850725
824, 983, 0.01013692051605226
7286, 7455, 0.010125529561256978
8363, -1, 0.00944829398770361
468, 734, 0.009325953391950522
4952, 5106, 0.009299954012637475
4336, 4444, 0.008745042353860137
5057, -1, 0.008325697586281103
8659, 8672, 0.007703015274907167
6901, -1, 0.007363334831035262
1239, 1329, 0.0071302039336252525
2338, 2522, 0.0070576170762047495
623, 734, 0.0070383422030022205
1239, 1575, 0.006875874954906104
2705, 2956, 0.006865549389692479
4870, 5106, 0.006789681429973876
667, 867, 0.006445240098129947
4689, -1, 0.005907248528404871
5186, -1, 0.0058345418566025835
4824, 5106, 0.00564101412264687
4933, 5106, 0.005193939584276186
283, 734, 0.005117363697040978
713, 867, 0.005069177625743005
4336, -1, 0.004905258432653256
3145, 3340, 0.004842551335473422
6928, -1, 0.00480543700435902
6368, 6395, 0.004244511008496853
2290, 2351, 0.004205788223134285
2748, 2956, 0.0039946526965521974
4381, 4439, 0.003932352454651663
7320, 7440, 0.003867253284867208
7413, -1, 0.0036531667530859883
596, 734, 0.003540194759296565
1400, 1634, 0.003485072622591165
6322, 6463, 0.0033126149144401427
0, 132, 0.003118548642709129
1568, 1634, 0.0030739270526413303
8693, -1, 0.0030248238561107364
6922, -1, 0.003010705374536768
4551, -1, 0.002980001378199532
8659, 8736, 0.002836673991961444
7413, 7440, 0.002801265301205192
4689, 5106, 0.0027783447640593742
7251, 7440, 0.00274719927015359
4345, 4485, 0.002692075201346937
7286, 7488, 0.002647533813235207
4895, 5106, 0.002630024107240038
2910, -1, 0.0026273356077713647
8363, 8519, 0.0024024950534467077
8584, -1, 0.0023446688247290488
5029, 5106, 0.002325114497356482
1568, 1575, 0.0023026302747219257
2256, 2522, 0.002270252488580517
1526, 1683, 0.0022351553757510322
5291, -1, 0.0022123673609512253
521, 734, 0.0021250353470844566
0, 117, 0.002022182613696143
6154, 6395, 0.0019877396945379663
824, 903, 0.0019627841970851364
