Gene = Apoc1
index = 130
Annotated 5SS: [ 52 250 773]
Annotated 3SS: [ 173  624 3023]
SMsplice 5SS: [ 52 270 548]
SMsplice 3SS: [173 410 624]
length: 3180
Partition function (logZ) = -3.9140368623711224
#Introns = 1266
5SS, 3SS, prob
52, 173, 0.929917670815997
548, 624, 0.40562938252521874
270, 410, 0.3256291809691169
250, 410, 0.20324628059090283
270, 624, 0.14330674678850863
773, 3023, 0.14302322266150178
250, 624, 0.0943258711816216
773, 2899, 0.04975086492664263
773, 2573, 0.04621283495586969
548, 3023, 0.045677892810648005
270, 3023, 0.0361908624851599
270, 432, 0.03503015680074283
250, 3023, 0.025211029416030727
548, 641, 0.024989494967214886
773, 1088, 0.024729166547993307
250, 432, 0.023206412321467997
548, 2899, 0.015875386113453224
548, 2573, 0.014745415957284812
270, 2899, 0.012588155830340772
773, 2915, 0.012216016737227199
270, 2573, 0.011619390580059187
52, 190, 0.009520718285239736
250, 319, 0.009183550678156703
250, 2899, 0.008768853702136432
548, 630, 0.008343636318395064
250, 2573, 0.008076745552155803
548, 1088, 0.007123979765098332
555, 624, 0.006797278342819988
802, 3023, 0.006003225467166034
270, 641, 0.006001669203075448
773, 1822, 0.005215073240913881
773, 1966, 0.005095749951999735
270, 1088, 0.004993381682991606
773, 3037, 0.004638450842117251
773, 911, 0.004580052761773213
2714, 3023, 0.0042562920332601265
773, 2298, 0.0040872020496830535
250, 641, 0.00399399579550775
548, 2915, 0.003898161205811333
250, 1088, 0.003424963163740714
773, 1379, 0.0030978599482195126
270, 2915, 0.003091023330132861
773, 1864, 0.002776026049067778
270, 630, 0.002378050580796323
52, 410, 0.0022885863734448627
250, 2915, 0.002153207944991004
802, 2899, 0.002089785188181893
773, 2010, 0.0020158232899908017
2714, 2899, 0.0019412877871351536
802, 2573, 0.0019063726461145782
548, 1822, 0.001664220434350821
773, 2058, 0.0016363043705519811
548, 1966, 0.0016261326572490882
773, 2775, 0.0015873831850753905
250, 630, 0.001555426355216081
548, 3037, 0.0014801262100069229
52, 624, 0.0013841433614378697
2743, 3023, 0.0013826022998223038
773, 1681, 0.0013455867246978733
270, 1822, 0.0013195970362477017
548, 2298, 0.0013091971225535105
773, 2919, 0.001305614860587099
534, 624, 0.001299847737798499
773, 2385, 0.0012901713710643345
270, 1966, 0.0012894184127857592
773, 2599, 0.0012603418722111064
773, 1511, 0.001241179619997129
1512, 3023, 0.0011896584904796644
270, 3037, 0.0011737450338950516
2734, 3023, 0.0011396580257249257
411, 624, 0.0010980639268663116
555, 3023, 0.0010965345188325576
773, 2707, 0.0010770655724553655
2498, 3023, 0.0010401378420583053
270, 2298, 0.0010321168870381788
802, 1088, 0.001013613790421877
1497, 3023, 0.000998603339423319
52, 139, 0.0009926213777998062
472, 624, 0.0009914331344313561
68, 173, 0.0009807874726395283
52, 234, 0.0009539612593561727
250, 1822, 0.0009192052334307333
773, 2739, 0.0009185834697796947
432, 624, 0.0009161659755656663
773, 2262, 0.0009097236466129575
548, 1379, 0.0009065611580124491
250, 1966, 0.0008981834003544531
548, 911, 0.0008925045247204662
548, 1864, 0.0008858879907801443
773, 2238, 0.0008693823982708153
270, 466, 0.0008513483709918004
250, 3037, 0.0008176461831652114
773, 988, 0.0008154871896258225
2498, 2573, 0.0007486972654711802
