Gene = Gorab
index = 517
Annotated 5SS: [  147  6858  9079 11260]
Annotated 3SS: [ 6499  8976 11118 16971]
SMsplice 5SS: [  147  3494  6606  6862  9079 11260 15338]
SMsplice 3SS: [ 3384  6499  6698  8976 11118 15129 16971]
top_k =  500
Partition function (log Z): 3.1828358342475678

Sorted 5' Splice Sites (High to Low Probability):
Position 11260: 0.9999774040313141
Position 147: 0.9882905392836993
Position 9079: 0.954454935580863
Position 6862: 0.6861902246226004
Position 3494: 0.661561407238959
Position 6606: 0.6451240308320166
Position 15338: 0.510011790732963
Position 4622: 0.25182416027848775
Position 7131: 0.21751963608814706
Position 14059: 0.1840528883720177
Position 15360: 0.17861544654664882
Position 6808: 0.14355050385985585
Position 2555: 0.11258772501781562
Position 10081: 0.1066932087617971
Position 2275: 0.09550471676435507
Position 9636: 0.09347980484341314
Position 17168: 0.0626873636825106
Position 851: 0.05380243544242696
Position 15503: 0.05087116396941425
Position 9875: 0.04638390495216163
Position 9042: 0.044516165827043375
Position 660: 0.031974047157112315
Position 9860: 0.02604484817774156
Position 6163: 0.021416016914575696
Position 7339: 0.02138035577727318
Position 6858: 0.01802833921237223
Position 910: 0.017857534398992063
Position 15575: 0.017115457143853482
Position 9789: 0.015167672968078038
Position 3960: 0.014825359931344841
Position 6033: 0.013583279091274646
Position 15693: 0.013257344731777242
Position 454: 0.011987199907004484
Position 5629: 0.011923009060333046
Position 672: 0.009642405679543232
Position 10411: 0.00946343389949206
Position 3489: 0.009282980099956902
Position 13301: 0.009083945822473035
Position 14776: 0.007355889296226381
Position 1320: 0.0067459828179110065
Position 13030: 0.00636258496211145
Position 12429: 0.005997133167689221
Position 10214: 0.0056225403020229905
Position 15821: 0.005577215833340057
Position 10415: 0.005095251479394536
Position 5625: 0.004427539652219018
Position 2482: 0.00434167788897852
Position 2675: 0.004328883589905473
Position 15612: 0.00429752562971132
Position 10230: 0.004245417102802706
Position 367: 0.0037612357555369545
Position 557: 0.0033786589170200303
Position 11785: 0.003336266700910087
Position 937: 0.002993246833038659
Position 9314: 0.002936644968812246
Position 5292: 0.002865669954149847
Position 2741: 0.0028184117299238634
Position 15057: 0.0025361408313028305
Position 168: 0.00233742180042865
Position 6105: 0.0021143070551748098
Position 15519: 0.002091713027188619
Position 17450: 0.0020386117127289397
Position 152: 0.002018727969894786
Position 799: 0.0019771516258575775
Position 10469: 0.001877089522384581
Position 10158: 0.0018638032570551695
Position 9256: 0.0016885747073060356
Position 1575: 0.0014506432906188985
Position 1568: 0.0012751458023934018
Position 3587: 0.001123536605065935
Position 14469: 0.0008300673331500889
Position 13474: 0.000796113107113166
Position 4585: 0.0006983345172076668
Position 1473: 0.0006849307678721267
Position 9318: 0.0006808938610442982
Position 4394: 0.0006463352171632237
Position 1535: 0.0005897103843201284
Position 1727: 0.0005881239787168979
Position 5288: 0.00056980983511971
Position 2745: 0.0005662590308602034
Position 5360: 0.0005619580735509043
Position 1089: 0.0005284437693434266
Position 1908: 0.0005136879951941779
Position 3647: 0.0004995401394753993
Position 6835: 0.0004922336252521917
Position 437: 0.0004888917390083664
Position 975: 0.0004779908058485455
Position 6916: 0.0004237775206228818
Position 1222: 0.0004064853969776052
Position 9499: 0.00014546011598293805
Position 9351: 0.00012193079551740151
Position 257: 0.00010463952046440498
Position 13108: 6.061276376737143e-05
Position 434: 5.749153312180136e-05
Position 240: 5.642209635833357e-05
Position 524: 5.5224113775358884e-05
Position 631: 4.1239538861609125e-05
Position 175: 2.171119871965445e-05
Position 68: 2.101467929120732e-05
Position 535: 1.995334698772669e-05
Position 604: 1.581774506572921e-05
Position 271: 1.4783119955324445e-05
Position 254: 1.159569151196773e-05
Position 182: 1.0523247636605035e-05
Position 554: 8.793914144868535e-06
Position 207: 8.412941362832813e-06
Position 447: 7.77144008049875e-06
Position 1041: 6.641639156391775e-06
Position 621: 4.598477626176866e-06
Position 154: 4.588353891463876e-06
Position 352: 3.3938207882664952e-06
Position 1643: 2.8962877457482753e-06
Position 863: 2.755499807454113e-06
Position 308: 2.185364933041856e-06
Position 221: 2.0532539501016456e-06
Position 201: 1.7573748407441452e-06
Position 493: 1.7471722784408461e-06
Position 11381: 1.7051039591198163e-06
Position 12945: 1.5624704816802143e-06
Position 11364: 7.002632810595043e-07
Position 14: 5.915404581250952e-07
Position 170: 4.841875133082086e-07
Position 11511: 4.406851652951776e-07
Position 37: 1.3361062863368509e-07
Position 20: 3.579719837256681e-08
Position 30: 2.650466198025819e-08
Position 28: 1.0779039005852479e-08
Position 273: 1.4353689032434356e-09
Position 344: 1.4007902106765264e-09
Position 326: 8.72870520954751e-10
Position 11245: 3.710339817633697e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 8976: 0.9994668685873817
Position 11118: 0.9961734428086291
Position 16971: 0.882578097265844
Position 6499: 0.7800327514298346
Position 6698: 0.6891218830027467
Position 3384: 0.6155350784839579
Position 15129: 0.4934029269499811
Position 4487: 0.15366497779596078
Position 15210: 0.1448025015253685
Position 15463: 0.14293175213239723
Position 9942: 0.11898523620198881
Position 7004: 0.11805548076257849
Position 13955: 0.11561856460155287
Position 7050: 0.1089611140363073
Position 2186: 0.0853023463468564
Position 2392: 0.0806775197914193
Position 735: 0.07651728612754265
Position 4535: 0.052692763613692746
Position 9542: 0.04752528510309143
Position 3313: 0.03867454983327549
Position 9700: 0.037032184759984266
Position 13865: 0.03217482556681243
Position 5951: 0.030671649012094803
Position 13972: 0.03021053461800236
Position 9635: 0.025547679637617168
Position 4352: 0.02476937013036109
Position 510: 0.023179810762794323
Position 14987: 0.021520879624631215
Position 9548: 0.021431837027554853
Position 6467: 0.021084778225348124
Position 320: 0.019905459163217242
Position 15194: 0.01790329135840725
Position 14943: 0.015900640866328586
Position 10314: 0.01492883650314848
Position 14271: 0.01309770610630935
Position 15151: 0.013014260239097375
Position 17575: 0.012896073074832934
Position 9752: 0.012722999930727853
Position 2473: 0.012377315619064348
Position 9498: 0.01145736960119425
Position 5491: 0.010609719696163693
Position 3885: 0.01058586746829976
Position 4264: 0.010245437853981328
Position 15436: 0.009800274445796155
Position 9740: 0.009533544952462818
Position 17026: 0.00876354977976129
Position 3328: 0.008579983840278319
Position 18224: 0.008009842956284647
Position 2613: 0.007445752135912045
Position 9579: 0.007249200733612387
Position 4458: 0.007063133088806188
Position 18018: 0.007001223290699986
Position 7072: 0.0068398521424892856
Position 12894: 0.006656842296559368
Position 2409: 0.006611903365874004
Position 6026: 0.006441954048930365
Position 1823: 0.005942036494456989
Position 18318: 0.005776241608029198
Position 523: 0.005708266189072501
Position 14668: 0.005603342913825219
Position 18429: 0.005570162411628617
Position 14014: 0.005246834191991876
Position 12356: 0.005245595071575618
Position 17876: 0.00461243275681373
Position 16709: 0.0045625683040583336
Position 11477: 0.0043644093095794095
Position 5527: 0.0043060625514424935
Position 17907: 0.004258540397758002
Position 18164: 0.004109049538082197
Position 18252: 0.003933246727609129
Position 2485: 0.003922297576574743
Position 2357: 0.0037628958982394143
Position 4282: 0.0037141784672754022
