Gene = LZIC
index = 809
Annotated 5SS: [   81   706  6811  7838  8568 10527 11439]
Annotated 3SS: [  546  6701  7701  8468 10430 11356 12871]
SMsplice 5SS: [  412   706  6811  7838  8568 11439]
SMsplice 3SS: [  617  6701  7701  8468 11356 12871]
top_k =  100
Partition function (log Z): -4.074274601686692

Sorted 5' Splice Sites (High to Low Probability):
Position 706: 0.9999999999999998
Position 11439: 0.9295124774107499
Position 412: 0.8317793157088725
Position 7838: 0.7770316194490315
Position 8568: 0.6108274569790199
Position 6811: 0.6015430213955729
Position 10527: 0.4267438344758847
Position 8558: 0.34640957590716204
Position 81: 0.1492742386945582
Position 13469: 0.10827799286708942
Position 200: 0.0690167823696731
Position 8542: 0.042239954904202695
Position 9066: 0.021068901059765378
Position 195: 0.011252220830484142
Position 23: 0.005567378135383898
Position 245: 0.0051473240381179584
Position 11727: 0.00405878902247691
Position 4796: 0.0028614040697477025
Position 61: 0.0010584657151519062
Position 187: 0.00034432724722393816
Position 215: 0.00020379297968135574
Position 7811: 0.0001491650664975575
Position 249: 0.00012936450068756522
Position 129: 3.03685211602755e-05
Position 96: 2.6081119742047095e-05
Position 173: 1.8475182842670947e-05
Position 240: 8.795298495895103e-06
Position 321: 4.1850667875069525e-06
Position 145: 3.4529896203913282e-06
Position 112: 2.5422632616203435e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 8468: 0.9999580383577636
Position 11356: 0.9245176549164376
Position 7701: 0.7677163037771934
Position 617: 0.6429610087736256
Position 6701: 0.6015430213955729
Position 12871: 0.5589676629345119
Position 10430: 0.4267438344758848
Position 546: 0.3040726646774045
Position 13000: 0.09995516360002994
Position 13839: 0.09525707726910873
Position 13243: 0.07739720262296436
Position 14070: 0.07282712194415183
Position 13409: 0.07236221188693433
Position 278: 0.06921620315717887
Position 11652: 0.044008602250438095
Position 13581: 0.042417731328283276
Position 313: 0.023264435993284954
Position 561: 0.019366176538085852
Position 12815: 0.016536575180280965
Position 11304: 0.015034592921695178
Position 8880: 0.010245504357480558
Position 7616: 0.009464480738335918
Position 13227: 0.009379190196595314
Position 8930: 0.0075266799896484046
Position 12682: 0.00718150932848268
Position 340: 0.006451609172330113
Position 8944: 0.0028927399771746356
Position 4686: 0.0028614040697477025
Position 12316: 0.002784675474490902
Position 640: 0.0027692351445937416
Position 12287: 0.0026749956471175244
Position 588: 0.0022904233458107067
Position 389: 0.0011407779771807607
Position 282: 0.0010662725618571546
Position 491: 0.0008847747309603547
Position 8756: 0.00021471055038035708
Position 370: 0.00021207854568426919
Position 8658: 0.00018926618508143073
Position 240: 7.495985890818555e-05
Position 284: 6.043602633268823e-05
Position 187: 3.605415850796354e-05
Position 8330: 2.8472353819902357e-05
Position 11061: 2.427958917865087e-05
Position 8365: 1.3489288416576872e-05
