Gene = AT4G20270
index = 847
Annotated 5SS: [2899]
Annotated 3SS: [3022]
SMsplice 5SS: [2899]
SMsplice 3SS: [3022]
Partition function (log Z): -9.738851350498049

Sorted 5' Splice Sites (High to Low Probability):
Position 2899: 0.9864147006302856
Position 1534: 0.11897572519275855
Position 2530: 0.02118930121255126
Position 1390: 0.01344575508250111
Position 2200: 0.009984130633123145
Position 811: 0.009537659939904202
Position 2939: 0.005432919281503535
Position 2234: 0.004710159890793854
Position 3307: 0.004109410363827278
Position 1835: 0.004026293395767683
Position 2430: 0.0025091386748332324
Position 2047: 0.0022209892426245333
Position 2879: 0.001988755085376046
Position 2930: 0.001988659664205269
Position 1903: 0.001959806888781473
Position 1679: 0.0018595330246607715
Position 2503: 0.0016281597543469709
Position 1852: 0.0015593861852799718
Position 2553: 0.0010588867291267225
Position 1792: 0.0008625760120183868
Position 1783: 0.0008041477864880629
Position 2052: 0.0007497615664498316
Position 868: 0.0007323564751305227
Position 2090: 0.0006316735624377255
Position 2757: 0.0006215251455103977
Position 592: 0.000609121969961554
Position 937: 0.0005934487857180306
Position 2708: 0.000589666172990651
Position 958: 0.0005335802940950933
Position 1914: 0.000425629358611283
Position 2249: 0.00041260474732531275
Position 3185: 0.00037853393328479847
Position 1751: 0.00036559148483491475
Position 2752: 0.0003342564011989237
Position 1071: 0.00029760723787963117
Position 679: 0.00024349572035242854
Position 921: 0.00024266765937486494
Position 1118: 0.0001538312912168483
Position 379: 0.0001268134808028607
Position 1549: 0.00012230879094164829
Position 2762: 0.00011864276541197796
Position 2222: 0.00011290762180930552
Position 3101: 0.00010592554746091098
Position 2143: 0.00010126616033970041
Position 851: 8.781468339521849e-05
Position 81: 6.761021273294015e-05
Position 1259: 6.614758471609831e-05
Position 3362: 6.45953044258142e-05
Position 2713: 6.329842031594679e-05
Position 3112: 5.9658491531402776e-05
Position 1847: 5.678108583996462e-05
Position 2261: 5.19519678965958e-05
Position 1699: 4.5621189643877603e-05
Position 2606: 4.339977892354908e-05
Position 3357: 4.261362968439153e-05
Position 357: 4.2537234478197834e-05
Position 1862: 4.0960939396767705e-05
Position 3081: 3.751145149980379e-05
Position 1741: 3.2751370444485646e-05
Position 1263: 3.265325907132961e-05
Position 835: 3.235943347615585e-05
Position 844: 3.143972167756983e-05
Position 1953: 3.1225124351799914e-05
Position 3153: 3.0762992269536206e-05
Position 2457: 2.5893531204605267e-05
Position 487: 2.5051201802297642e-05
Position 1489: 2.4661030342954715e-05
Position 2620: 2.4537208828095965e-05
Position 2690: 2.407741819515296e-05
Position 3076: 2.3399968848735584e-05
Position 2586: 2.1361778656698026e-05
Position 3173: 2.1004145046232716e-05
Position 541: 2.0964037465393267e-05
Position 1510: 1.964528103155416e-05
Position 2678: 1.9466710753203603e-05
Position 451: 1.808112989293315e-05
Position 2259: 1.7574604020584934e-05
Position 1538: 1.6313992666171872e-05
Position 3190: 1.5383678727548003e-05
Position 3266: 1.508151827619773e-05
Position 2008: 1.4265428124101156e-05
Position 3310: 1.4224860612560108e-05
Position 1370: 1.3398499026458429e-05
Position 2451: 1.315797370399162e-05
Position 772: 1.0566780709989908e-05
Position 2333: 1.0311098784389538e-05
Position 996: 9.803280525130361e-06
