Gene = AT2G46640
index = 575
Annotated 5SS: [  58  199  770 1537]
Annotated 3SS: [ 152  446 1206 1779]
SMsplice 5SS: [  58  199  770 1537 1913]
SMsplice 3SS: [ 152  285 1221 1779 1997]
Partition function (log Z): 5.839621282242407

Sorted 5' Splice Sites (High to Low Probability):
Position 1913: 0.9974380875213441
Position 1537: 0.956236769667984
Position 199: 0.8419734316133383
Position 770: 0.7677677959620374
Position 58: 0.624089500444338
Position 1133: 0.48925570329681056
Position 1714: 0.07922114966383985
Position 1355: 0.06583339358420288
Position 1146: 0.047798653290917516
Position 1704: 0.04743719046679833
Position 879: 0.02883428600046659
Position 873: 0.01569752762272987
Position 536: 0.014371458937998325
Position 674: 0.00784227894361086
Position 1403: 0.0069455482876617574
Position 62: 0.005076190580917333
Position 1690: 0.00396233297472978
Position 712: 0.0027829871359575185
Position 292: 0.0026052543069983456
Position 498: 0.002140761006732076
Position 1411: 0.0017745428470567505
Position 774: 0.0015761513174551544
Position 1702: 0.0012711680350072172
Position 1670: 0.0010782470814986508
Position 1365: 0.0010565117855600536
Position 540: 0.0009866214790662173
Position 1642: 0.0009459926368828598
Position 877: 0.0008431054506648176
Position 731: 0.0007941744063866429
Position 1874: 0.0007157572970612328
Position 889: 0.0007096217944959634
Position 1887: 0.0007073522436494973
Position 565: 0.0005635721737017992
Position 1664: 0.0005270572011310551
Position 902: 0.0005194450648757969
Position 742: 0.0004262469649968939
Position 671: 0.0003557391981576675
Position 1917: 0.0003114062557741601
Position 1098: 0.000304965607815405
Position 796: 0.0002717936853581044
Position 1083: 0.00025861293750089286
Position 883: 0.0002298280136895316
Position 1416: 0.00020559347472543996
Position 350: 0.00015377877040523817
Position 817: 0.00015031092070276898
Position 382: 0.00014559406746701616
Position 654: 0.0001398850254056247
Position 1532: 0.0001376082276667971
Position 701: 0.00013699211198220325
Position 1564: 0.00012170033346757097
Position 786: 0.0001117953872719696
Position 2033: 0.00010516329989359417
Position 189: 9.18359208056287e-05
Position 1070: 8.920804844594465e-05
Position 357: 8.910876054573213e-05
Position 1452: 8.908448741334261e-05
Position 764: 7.846519219025107e-05
Position 1514: 7.539059933840686e-05
Position 203: 7.275827304505087e-05
Position 2080: 6.333455852476093e-05
Position 369: 6.070839205878843e-05
Position 1637: 5.6254824386750725e-05
Position 1016: 5.010118223949683e-05
Position 1718: 4.192959025887985e-05
Position 545: 3.977725298346517e-05
Position 71: 3.378936482538077e-05
Position 1488: 3.331759739067447e-05
Position 347: 3.055600591394092e-05
Position 943: 2.7478185405863294e-05
Position 957: 2.549826517126232e-05
Position 310: 2.475064118535088e-05
Position 1433: 2.168735385670658e-05
Position 330: 1.9680077250041065e-05
Position 967: 1.8838646028524928e-05
Position 951: 1.7882371622997084e-05
Position 456: 1.547961642030488e-05
Position 327: 1.5176922124571786e-05
Position 324: 1.42951667542827e-05
Position 1549: 1.3190308377059852e-05
Position 2059: 1.1788529228934874e-05
Position 1849: 1.1597305766548919e-05
Position 1482: 9.893640298359166e-06
Position 992: 9.807912067538281e-06
Position 1555: 9.735935675499634e-06
Position 74: 8.79351824857056e-06
Position 1477: 7.979702384376361e-06
Position 2014: 4.585124561618864e-06
Position 458: 3.648729926594558e-06
Position 1610: 3.4080903560927008e-06
Position 1603: 2.0251426876996194e-06
Position 1458: 1.9526458149880793e-06
Position 440: 1.9153128342660017e-06
Position 575: 1.6653097844010994e-06
Position 2091: 1.113364950007214e-06
Position 108: 1.0496016321429714e-06
Position 313: 8.921487184154521e-07
Position 391: 8.335895796968786e-07
Position 1743: 6.663411582512879e-07
Position 1212: 6.530689897668009e-07
Position 112: 5.267224030618266e-07
Position 165: 4.620535667568536e-07
Position 1462: 3.3208332665260923e-07
Position 414: 2.560928647627909e-07
Position 277: 2.4283322896034215e-07
Position 2109: 1.0147955956537563e-07
Position 1200: 8.307544315555985e-08
Position 2003: 5.2779720512836075e-08
Position 2107: 3.5191047923308045e-08
Position 1735: 1.8520304724921452e-08
Position 1819: 1.845565787724218e-08
Position 1216: 1.496522013669459e-08
Position 1936: 3.9254692707429e-09
Position 1270: 3.829252996528136e-09
Position 1944: 3.416513149741803e-09
Position 132: 3.131242268427354e-09
Position 1764: 2.6349457364075512e-09
Position 1794: 4.388938402081373e-10
Position 1762: 3.595780544405234e-10
Position 1776: 1.0454852663847004e-10
Position 1975: 7.284106132191283e-11
Position 1990: 3.4334593322819506e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1997: 0.999066483927435
Position 1779: 0.9904215239044999
Position 1221: 0.9531365554298524
Position 152: 0.4292113366017819
Position 1056: 0.2601781555707315
Position 960: 0.240540777644158
Position 285: 0.18907753248744683
Position 446: 0.18892113991318413
