Gene = Gatad1
index = 422
Annotated 5SS: [186]
Annotated 3SS: [7508]
SMsplice 5SS: [ 186 7589]
SMsplice 3SS: [7508 7741]
top_k =  100
Partition function (log Z): -12.790651580264136

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.9939789786246583
Position 7589: 0.26205721258399156
Position 7955: 0.15472346637971165
Position 7653: 0.09592104095876984
Position 1491: 0.034287044185876865
Position 903: 0.008787977321059393
Position 398: 0.004080640511394176
Position 1331: 0.0037353891643476214
Position 239: 0.00018765800520324544
Position 38: 0.000155687509812468
Position 352: 5.60331512801005e-05
Position 962: 5.091535087249006e-05
Position 969: 4.8504608991749724e-05
Position 132: 2.3698823620067878e-05
Position 411: 1.7180048959259035e-05
Position 407: 1.5747570253096016e-05
Position 146: 1.2378008245355281e-05
Position 532: 1.2369947351821427e-05
Position 346: 4.49784373025354e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 7508: 0.4729296819249414
Position 7741: 0.3930711139471658
Position 8056: 0.23482970713436585
Position 2093: 0.06188405068639565
Position 397: 0.03624580291953002
Position 1451: 0.03315368861562819
Position 798: 0.02803174366672734
Position 1576: 0.02711444159912495
Position 2456: 0.02251962933388424
Position 1385: 0.022477021790652876
Position 5842: 0.022188032729938585
Position 1821: 0.021039102756156614
Position 839: 0.02096815958602749
Position 1940: 0.020414770319836344
Position 3394: 0.015636151097662056
Position 2473: 0.015608485520009872
Position 6779: 0.012175066482201917
Position 1632: 0.01063153368912429
Position 5619: 0.009763222833767508
Position 2551: 0.008086367434289029
Position 1365: 0.007997371570924155
Position 1957: 0.007102623865033
Position 5218: 0.0060127930104548494
Position 4838: 0.005584524158730821
Position 1127: 0.005478873843291074
Position 5459: 0.005255689380680652
Position 2131: 0.004699080839537307
Position 2006: 0.004193966835044371
Position 585: 0.003290065977207472
Position 2114: 0.002993543486555199
Position 2504: 0.002438152968311886
Position 2783: 0.0023604616552746877
Position 2565: 0.002275636268285733
Position 2255: 0.0016318406696974564
Position 2031: 0.0016194058412831837
Position 1610: 0.0012885392447456233
Position 1007: 0.0012494366359523852
Position 888: 0.0011857172514398205
Position 1087: 0.0009663391077504529
Position 410: 0.0007407265681582876
Position 314: 0.0005405210732228157
Position 1165: 0.00032084750491763513
Position 1133: 7.932114941176992e-05
Position 1189: 5.284036682496046e-05
Position 1108: 3.0327257961095935e-05
