Gene = ZMPSTE24
index = 1603
Annotated 5SS: [  288  2879  9766 10429 12021 13929 23421 27923 32891]
Annotated 3SS: [ 2731  9678 10311 11867 13786 23235 27817 32746 34337]
SMsplice 5SS: [  288  2879  9151  9401  9766 10429 12021 13929 23421 27923]
SMsplice 3SS: [ 2731  9035  9283  9678 10311 11867 13786 23235 27817 34337]
length: 36078
Partition function (logZ) = 9.015531725356114
#Introns = 3045
5SS, 3SS, prob
9401, 9678, 0.9098596862650664
9766, 10311, 0.621407283234198
23421, 27817, 0.6106920067797273
13664, 13786, 0.5951269869072826
10429, 11867, 0.5888949392947488
9151, 9283, 0.587904194944232
288, 2731, 0.5870308745920924
27923, 32746, 0.3196102190258811
2879, 9035, 0.3142624603871097
27923, 34337, 0.2840800248861534
12021, 13786, 0.26610332211452714
24766, 27817, 0.23767501818964704
12021, 13607, 0.20777202334406827
32891, 34337, 0.20193274526007718
13929, 17974, 0.19981014146093054
22897, 23235, 0.1986902620639122
12021, 13580, 0.18309803659813295
463, 2731, 0.16719402710299405
23421, 24447, 0.163703199089831
22206, 23235, 0.16149969599464312
22206, 22777, 0.14955173560348345
2879, 4663, 0.14155813255352973
2879, 9283, 0.12894244336830885
9766, 9882, 0.12590959097549229
13929, 22078, 0.1239376333773273
13929, 23235, 0.10230856710443295
13929, 22777, 0.09208081075841244
23421, 24690, 0.09114711704241675
22897, 23257, 0.08940400352322594
22206, 23257, 0.07704301118650478
10429, 13786, 0.07683895360825628
10429, 13607, 0.07652939039519745
2879, 7678, 0.0763471517983534
2417, 2731, 0.07580944104252188
10233, 10311, 0.07535642970138656
10429, 13580, 0.06737876318200416
13929, 22012, 0.06624007903862346
9766, 11867, 0.06493866594125804
13929, 21971, 0.06418161222943485
4770, 9035, 0.05898298482612175
10229, 10311, 0.05885826716264623
22206, 22755, 0.056725485040766195
8511, 9035, 0.05545900740806219
2879, 3003, 0.05291689923803805
10031, 10311, 0.052668332302410255
7804, 9035, 0.05183934736094165
18123, 23235, 0.050154789816283504
13929, 23257, 0.0487986425719584
2879, 4726, 0.04578118828966987
18123, 22078, 0.04342519229105498
2879, 8395, 0.04242355561092704
13929, 21994, 0.04177682421148242
22897, 23319, 0.041579320724294225
4877, 9035, 0.04097607916946811
288, 2275, 0.04013692133316249
9766, 10083, 0.03998886404193195
22206, 23319, 0.03743724581907932
288, 389, 0.03731751298674083
27923, 34194, 0.03657075783713712
18123, 22777, 0.03437143320860874
13929, 17769, 0.03399638036009592
4770, 9283, 0.031969327197248355
13929, 21375, 0.031928655878999644
27923, 28050, 0.03174049345565299
27923, 34524, 0.031685645342402514
27923, 34359, 0.03140479604751281
9401, 9697, 0.030623689792410067
13929, 22755, 0.02995554841969427
10429, 10525, 0.029857599722661925
9151, 9279, 0.029744339355836917
7804, 9283, 0.02965617263763784
8511, 9283, 0.029529901336699416
25622, 27817, 0.02870760719303353
9766, 10167, 0.028076280006374344
18123, 22012, 0.02761603887527648
9151, 9678, 0.027164765785463472
18123, 21971, 0.02666852364357919
10084, 10311, 0.026660316654690937
27923, 35614, 0.026120850931923456
32891, 34194, 0.025928632263080894
3091, 9035, 0.02548640578761533
23421, 25492, 0.024885664721076117
13929, 23319, 0.023462041909336494
18123, 23257, 0.023272765502132753
217, 2731, 0.02274516835525439
32891, 34524, 0.022598512125659928
4877, 9283, 0.02239882803521892
32891, 34359, 0.022398207661999434
288, 2413, 0.021372047435434107
9766, 10355, 0.021343960101517973
7839, 9035, 0.02071265717827009
13929, 22163, 0.019935948773442444
9766, 9860, 0.018037725081603475
9766, 10203, 0.017483360688541942
18123, 21994, 0.017437676643182617
27923, 28338, 0.017203272305756922
32891, 35614, 0.016969320138850018
21377, 23235, 0.01677420850972611
21511, 23235, 0.016670015313960816
13929, 21005, 0.016340190061909645
27923, 34773, 0.015318109319705524
13929, 21231, 0.015280706247398307
24638, 27817, 0.015054817102476466
13929, 18031, 0.014999374766338128
23421, 32746, 0.014465267062059483
13929, 19356, 0.014323163856434952
27923, 31706, 0.014265464875256017
23421, 34337, 0.014094917588069139
18123, 21375, 0.01407485445761972
23421, 24206, 0.01405622573637294
22877, 23235, 0.01403651990001728
10013, 10311, 0.013872007674339529
288, 9035, 0.013780088574598776
6983, 9035, 0.013443269096148108
3091, 9283, 0.013363975483285585
9766, 10152, 0.01335181931838109
10561, 11867, 0.013345070405738098
13929, 20754, 0.012948319282883246
2879, 4440, 0.012712578400758512
10429, 11808, 0.012588132261317749
10429, 11824, 0.012540791231288916
7839, 9283, 0.012430996599194607
12065, 13786, 0.012165175499441615
34300, 34524, 0.012079555469004764
21045, 23235, 0.01174974644392148
12021, 13400, 0.011723805912074614
23421, 24655, 0.011583832043693822
4770, 7678, 0.011539096835204375
24766, 25492, 0.0114602930323903
24381, 27817, 0.011433770258988799
27923, 30794, 0.01135127211309169
2879, 7635, 0.011014540569019467
27923, 29004, 0.010944434653985658
12021, 12990, 0.010621858216438023
32891, 34773, 0.010197170607543363
463, 2275, 0.0101277427514077
2879, 8364, 0.0100985001363209
254, 2731, 0.0099374294691038
9992, 10311, 0.009909006669305272
13101, 13786, 0.009832289179876474
4991, 9035, 0.009741356736795978
119, 2731, 0.009693684986186444
31772, 32746, 0.009570883315789518
25611, 27817, 0.009490830727274307
5831, 9035, 0.009453963802097034
19467, 23235, 0.009437433638288027
1647, 2731, 0.00942201449637642
18123, 23319, 0.009421724956507869
12021, 13611, 0.00939272364720873
21377, 21971, 0.009146770085264051
21511, 21971, 0.009135761462199691
27923, 31662, 0.009038277028584264
3091, 4663, 0.009002365460669657
31772, 34337, 0.00895438676775443
2879, 6862, 0.008839214200326372
27923, 35925, 0.00862556051812572
10756, 11867, 0.008617115402780018
12021, 13430, 0.008577888090998237
2879, 6937, 0.00837815993908035
32891, 33095, 0.008291649740987875
2879, 6473, 0.008269567310820231
2542, 2731, 0.008246137354523422
27923, 32374, 0.008243015414247445
28197, 32746, 0.008203873926819141
12065, 13607, 0.008187855292199567
217, 330, 0.008182018769869091
27923, 30160, 0.008159227008293106
28197, 34337, 0.008154165490159857
6983, 9283, 0.008061674373399668
24578, 27817, 0.007861946474770478
27923, 33316, 0.007849535676162075
23421, 27780, 0.007810574552052526
23421, 24423, 0.007629695180218963
21377, 23257, 0.007496685010659224
4635, 9035, 0.007397703230048468
27923, 32829, 0.007382466121654791
2879, 9678, 0.007374001033427363
4877, 7678, 0.0072828298637498245
27923, 29661, 0.007231443179416736
21511, 23257, 0.007183643051474175
288, 4663, 0.007108224718130441
6538, 9035, 0.007020505609412016
18123, 22163, 0.0069851455558754645
13690, 13786, 0.006984594693029778
288, 360, 0.00667400744001703
13929, 18006, 0.0066635237429719905
18123, 21231, 0.006583020434466678
32891, 33316, 0.006567661774004349
21506, 23235, 0.006501801714241769
21511, 22012, 0.006463782888477485
27923, 31846, 0.006401085480965999
27923, 30391, 0.0062949346562662795
13101, 13607, 0.006248064889445288
33365, 34337, 0.006195894795699539
21377, 22012, 0.0061620678588081845
4770, 8395, 0.006148353364012348
7804, 8395, 0.0060847231222130255
2614, 2731, 0.006066134854096785
27923, 33095, 0.006061444493042953
21045, 21971, 0.006054116802491367
2879, 9279, 0.006050323627802131
10429, 11377, 0.0059910563953544105
18123, 19356, 0.005903010663191697
2879, 9040, 0.005899040444387445
24772, 27817, 0.005882139406971554
288, 2138, 0.005834140875699143
5831, 9283, 0.00572739187364582
24381, 24447, 0.005705826255149153
4991, 9283, 0.005632541365912448
2879, 5596, 0.005506678668871564
463, 2413, 0.005414761337659036
28550, 34337, 0.005357352614903746
9766, 13607, 0.0053091873686385745
13929, 21287, 0.00516058928606236
22877, 23257, 0.005153682420862116
21045, 23257, 0.005094737599939728
32891, 35925, 0.005063937842797244
10031, 11867, 0.005052871562934032
27923, 28408, 0.005043596071175967
22897, 27817, 0.005036861562914126
21045, 21375, 0.004981209380377782
12021, 13326, 0.004800954478171106
24766, 34337, 0.0047722936357473085
288, 2774, 0.004768150782176572
28245, 34337, 0.004663458049465258
24578, 24690, 0.004630250230140102
3091, 7678, 0.004599948202053037
463, 9035, 0.004580149298295457
13327, 13786, 0.004441502352652756
27923, 32946, 0.0043259462964761325
2879, 5783, 0.004325227408005908
13929, 17991, 0.004274651906680362
10429, 13400, 0.004269112501879756
6538, 9283, 0.004252506477570738
4877, 8395, 0.004250270741918294
2879, 3947, 0.004214556593191524
