Gene = SPDYE16
index = 1308
Annotated 5SS: [ 259 1801 2894 4215 6330 6511]
Annotated 3SS: [1569 2834 4128 6266 6410 6632]
SMsplice 5SS: [ 259 6511]
SMsplice 3SS: [6266 6632]
top_k =  500
Partition function (log Z): -7.543493492136602

Sorted 5' Splice Sites (High to Low Probability):
Position 6511: 0.8924147382545062
Position 259: 0.6954679796976697
Position 2894: 0.48713866409085294
Position 4215: 0.3406754078901793
Position 361: 0.17232128054189522
Position 1801: 0.06941676142452084
Position 6151: 0.05606187270997273
Position 162: 0.028911089981245797
Position 711: 0.027731191186926765
Position 891: 0.021072526090828183
Position 67: 0.016432230596714902
Position 1902: 0.014178053578081969
Position 449: 0.009355410097497721
Position 6361: 0.009070546818943828
Position 1989: 0.008333617574560621
Position 4908: 0.007466098641745345
Position 1674: 0.007286653768203585
Position 357: 0.006457514110781969
Position 1003: 0.004791128267988498
Position 6365: 0.0038558410947824692
Position 487: 0.0038384814269827624
Position 250: 0.0032375056494839045
Position 648: 0.0028851078429882058
Position 6539: 0.0025232233718445836
Position 48: 0.002458556540735131
Position 4020: 0.002333734654128994
Position 5498: 0.0019982326230095757
Position 2899: 0.001811745448616681
Position 6330: 0.0017354039150296204
Position 3233: 0.0015540600998699653
Position 6371: 0.001445423565709551
Position 899: 0.00142443123035971
Position 4607: 0.0008197383016153787
Position 6530: 0.0006613454000580624
Position 975: 0.0004884543364843133
Position 6554: 0.0004662815423970535
Position 4902: 0.00043388004259083314
Position 1158: 0.000143246803505983
Position 653: 0.00011956841038698323
Position 984: 0.00010033413219697532
Position 570: 8.846903439690897e-05
Position 101: 6.1649503288082e-05
Position 6450: 5.684855733236917e-05
Position 178: 4.381540611857984e-05
Position 18: 3.587350054854236e-05
Position 71: 3.5382996112419174e-05
Position 841: 2.212653202154064e-05
Position 390: 1.8150408824946458e-05
Position 1110: 1.77901805528817e-05
Position 605: 1.5371378360892932e-05
Position 1233: 1.3254268298087412e-05
Position 1509: 1.1365671350260437e-05
Position 1495: 9.927417840844422e-06
Position 26: 8.825860899174788e-06
Position 210: 6.133304729766768e-08
Position 176: 5.6718541111547816e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6266: 0.915078393106035
Position 6632: 0.6956046084440632
Position 2834: 0.30157317420391794
Position 4128: 0.2966996319209431
Position 6615: 0.21592822830948963
Position 2647: 0.08790363389004881
Position 1600: 0.05987539509515048
Position 2684: 0.05172444288372021
Position 4088: 0.03228666115728151
Position 6054: 0.029455837542043686
Position 6245: 0.029330315876164924
Position 6381: 0.025983142191963546
Position 2551: 0.017817371175153866
Position 6079: 0.01752347632494782
Position 1851: 0.016552762828099473
Position 2610: 0.012589773740112458
Position 6638: 0.010204281728182999
Position 5960: 0.010089813425309367
Position 1569: 0.008753153427772602
Position 4808: 0.008333365413512438
Position 5465: 0.006544386918574154
Position 4039: 0.005313187485661428
Position 2624: 0.004374593898701427
Position 4150: 0.004365961757078349
Position 2853: 0.004220161699371678
Position 1618: 0.004080039038977015
Position 2470: 0.0036588403500113146
Position 1730: 0.00347179832005135
Position 3811: 0.003297876941066995
Position 6202: 0.003265018251999671
Position 3709: 0.0020199196946968146
Position 5638: 0.0018899878614592443
Position 2753: 0.0018488567581785567
Position 4050: 0.0018106872463431105
Position 2595: 0.0013252792043397428
Position 486: 0.0009935366759474353
Position 2737: 0.0007546105555560348
Position 1694: 0.0007006265458248847
Position 3067: 0.0006793731552645856
Position 5461: 0.0005934431686425809
Position 3047: 0.0005713475267845623
Position 2519: 0.0005466509528424155
Position 3824: 0.0005436947631317532
Position 1520: 0.0005357534526054804
Position 4375: 0.0005317119491569424
Position 5823: 0.0005020685295923279
Position 1673: 0.0004885987020921604
Position 4416: 0.0004885088706108028
Position 4763: 0.0004457458390192126
Position 2455: 0.0004315823787984929
Position 3888: 0.0004304076480544215
Position 3103: 0.0004177543566265161
Position 6149: 0.0004125335468208568
Position 5484: 0.0003915959063553646
Position 1792: 0.00035684197831949594
Position 1622: 0.00033693748928690373
Position 6651: 0.00030413185570302576
Position 5658: 0.00026840114300404375
Position 1581: 0.00023954977953318175
Position 554: 0.00022334314409235155
Position 5076: 0.0002109629579619062
Position 1736: 0.00019243312461828335
Position 1664: 0.00018362588349003016
Position 5794: 0.00016239565176583642
Position 2993: 0.00012991939890414557
Position 1658: 0.00011818534350683355
Position 1712: 0.00011152545840443128
Position 599: 0.00010982463712800184
Position 1688: 8.275204573860555e-05
Position 5055: 7.047910591720349e-05
Position 1535: 6.4469099712091e-05
Position 2873: 6.16378945928538e-05
Position 3232: 5.901932786133985e-05
Position 3374: 5.024317317400431e-05
Position 2428: 4.814084587146747e-05
Position 3770: 4.64502184702668e-05
Position 2574: 4.448094678567784e-05
Position 2968: 4.087539459704261e-05
Position 5017: 4.0761136890398795e-05
Position 3676: 4.057399929705997e-05
Position 1898: 3.893838859346898e-05
Position 570: 3.759105543012919e-05
Position 1130: 3.67930527293723e-05
