Gene = CG14346
index = 314
Annotated 5SS: [318 484]
Annotated 3SS: [369 533]
SMsplice 5SS: [114 318 484]
SMsplice 3SS: [218 369 533]
length: 1055
Partition function (logZ) = -0.27734923522228727
#Exons = 650
3SS, 5SS, prob
369, 484, 0.9011407823207072
218, 318, 0.8489621594633783
0, 114, 0.6730506537006958
533, -1, 0.5279426898922671
569, -1, 0.38328943915689667
0, 130, 0.18130872438535756
0, 154, 0.09222217422813762
369, -1, 0.060135741342500104
218, 279, 0.043682495571962604
0, 318, 0.03901353481760386
171, 318, 0.03508281669013998
218, 484, 0.01604875414202172
356, 484, 0.015606333099621294
838, -1, 0.012686262754771806
0, 135, 0.005657305896564925
0, 279, 0.004526242839187966
881, -1, 0.004521758704865777
683, -1, 0.0039604438541902065
171, 279, 0.0027797198456111726
638, -1, 0.002201536641535305
218, -1, 0.0018155820637516791
381, 484, 0.0018033358041967106
0, 118, 0.0017033728346813669
227, 318, 0.0010887300338954901
356, -1, 0.0009374970010467235
0, 120, 0.0008786755888210318
0, 484, 0.0008180720484883235
157, 318, 0.0006060447122284851
934, -1, 0.0005917214088960637
0, 43, 0.0005348580783733854
680, -1, 0.0004806869981253427
369, 477, 0.00043375909397052866
614, -1, 0.0004169588644691597
171, 484, 0.00037903979375164873
1026, -1, 0.00023074308501150301
533, 634, 0.00015841930429932147
443, 484, 0.00014835182657426223
381, -1, 0.0001369975136106028
845, -1, 0.00013584998086333506
533, 792, 0.00010220764753321659
569, 792, 0.0001004120965669853
795, -1, 9.248028146148896e-05
649, -1, 8.815825168939757e-05
0, 15, 8.464520605314586e-05
716, -1, 8.064051580612737e-05
0, 176, 7.7209992460962e-05
569, 634, 6.253576041275521e-05
896, -1, 5.6981272558850085e-05
275, 318, 5.4892766283649946e-05
157, 279, 5.414046666490065e-05
171, -1, 5.275782557639553e-05
227, 279, 5.067036162451339e-05
0, 58, 4.136236731020441e-05
0, 105, 4.0609553634322134e-05
533, 965, 4.049385062654007e-05
443, -1, 4.035474129360956e-05
584, -1, 3.797494348859251e-05
533, 572, 3.697614137143013e-05
943, -1, 3.573266654832888e-05
569, 965, 3.3613079099114836e-05
369, 488, 3.2799072390774536e-05
0, 7, 3.055815340754479e-05
227, 484, 2.4654468651320355e-05
533, 795, 2.0263648862296798e-05
569, 795, 1.973342990142025e-05
369, 572, 1.82952691270135e-05
237, 318, 1.735507040612017e-05
369, 634, 1.2720647360834887e-05
812, -1, 1.2529910257092166e-05
782, -1, 8.745962756489325e-06
533, 606, 8.659817597898771e-06
218, 477, 8.653511198390024e-06
356, 477, 7.660078866389142e-06
569, 572, 6.530031482983679e-06
369, 792, 6.230418756158636e-06
157, 484, 6.173542270156687e-06
218, 224, 5.65350619517184e-06
838, 965, 5.432499112549117e-06
275, 484, 5.344667942344671e-06
0, 224, 4.910196620985215e-06
105, 114, 4.642594577758635e-06
105, 318, 4.353218463543551e-06
0, 87, 4.023832473227897e-06
369, 965, 4.015294831162374e-06
533, 663, 3.560860710304319e-06
500, -1, 3.2142569859323847e-06
278, 318, 3.0713084685847504e-06
227, -1, 2.6093367276504845e-06
569, 606, 2.5140573793636836e-06
105, 154, 2.3599619630831008e-06
171, 176, 2.3031154715403214e-06
105, 130, 2.28440752394483e-06
218, 237, 2.176376997578821e-06
218, 229, 2.0568068087320364e-06
656, -1, 1.9252028006455583e-06
569, 663, 1.8070926090697974e-06
533, 857, 1.5620014722975583e-06
881, 965, 1.4815103021097458e-06
0, 229, 1.3839152062548801e-06
369, 606, 1.3140812264211979e-06
569, 857, 1.3011941685223605e-06
275, 279, 1.269241175962335e-06
683, 792, 1.2556223461321349e-06
369, 795, 1.2383907512386518e-06
533, 708, 1.185560246863969e-06
533, 668, 1.085929929426236e-06
0, 237, 1.0111844387143768e-06
157, -1, 8.991882448027714e-07
171, 224, 8.756714217837583e-07
638, 792, 8.730777397541791e-07
569, 708, 8.594166784993462e-07
381, 477, 8.51874611486413e-07
64, 114, 7.602660997774959e-07
237, 279, 7.153930232498182e-07
405, 484, 7.02873044288469e-07
105, 279, 5.83636490248839e-07
569, 668, 5.733311248145257e-07
683, 965, 5.666605154057292e-07
356, 488, 5.610165025496381e-07
218, 341, 5.579227508362751e-07
218, 488, 5.429327974873967e-07
237, 484, 4.969388786908313e-07
533, 584, 4.5489122234024155e-07
0, 477, 4.2174954672690014e-07
218, 248, 3.9753631975929625e-07
275, -1, 3.628761073281775e-07
