Gene = Acp7
index = 98
Annotated 5SS: [  224  1609 14015 14587 15704 15995 16207 16388 16532 16675 16849 20082]
Annotated 3SS: [ 1356 13813 14403 15579 15931 16091 16279 16473 16606 16776 19943 23061]
SMsplice 5SS: [  224  6711 14015 14587 15704 15995 16207 16388 16532 16675 16849 20082]
SMsplice 3SS: [ 6554 13813 14403 15579 15931 16091 16279 16473 16606 16776 19943 23061]
top_k =  100
Partition function (log Z): 15.271167785695157

Sorted 5' Splice Sites (High to Low Probability):
Position 16388: 0.991630730938186
Position 14015: 0.990784666871755
Position 16675: 0.9833397039331859
Position 6711: 0.9756433149188075
Position 16532: 0.9612778975749448
Position 16207: 0.9518436251155252
Position 20082: 0.9290301116947511
Position 224: 0.7978586643827005
Position 15704: 0.5791284608352599
Position 16849: 0.5473964370696022
Position 1609: 0.42323915179683225
Position 15995: 0.37923890772959695
Position 14587: 0.3705848613524358
Position 14604: 0.3356746930146581
Position 16857: 0.300146463665186
Position 7500: 0.2957930480387063
Position 9236: 0.18541272155941113
Position 594: 0.16750892753184848
Position 22663: 0.11494687410313653
Position 16877: 0.10822029548476858
Position 14583: 0.09724755145533162
Position 11200: 0.06796300443259198
Position 19480: 0.06236487345357518
Position 20067: 0.04658125022419287
Position 18624: 0.045059469025876195
Position 14333: 0.04183546284412721
Position 6726: 0.024356685081192646
Position 16217: 0.017751769752691344
Position 16702: 0.015666562957214164
Position 327: 0.012322808347654833
Position 17808: 0.012007173373355565
Position 16977: 0.01177255449023121
Position 16135: 0.009226453684658544
Position 23316: 0.007972614493239239
Position 19492: 0.007097853391328134
Position 19667: 0.006565833688742339
Position 14010: 0.005930605690214852
Position 691: 0.004665675266161807
Position 704: 0.004351104988555103
Position 567: 0.004212003457583699
Position 881: 0.0034110032909528197
Position 263: 0.0019107133995321145
Position 771: 0.0017682868037729412
Position 18049: 0.0014665991293339674
Position 972: 0.0010059455530330285
Position 924: 0.000984866978206253
Position 16415: 7.88803422885112e-05
Position 17035: 6.379164009272256e-05
Position 16536: 5.7707269535057774e-05
Position 16425: 2.8464631275948674e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 13813: 0.9967152725619688
Position 16606: 0.9947374731028813
Position 16279: 0.9941836940153863
Position 19943: 0.9743155738949276
Position 16776: 0.9673707944479143
Position 16473: 0.9543612548172846
Position 14403: 0.7724857423356981
Position 6554: 0.668279552048194
Position 16091: 0.6378325366398457
Position 23061: 0.631609691681293
Position 15579: 0.5876671666766706
Position 15931: 0.3771113178863119
Position 6624: 0.3317204479518056
Position 16037: 0.3308827847923306
Position 1356: 0.3212284442273269
Position 7392: 0.2504292653771456
Position 22481: 0.20208363757274692
Position 9096: 0.09807731126295981
Position 9068: 0.0873354102964513
Position 19380: 0.07268951920036495
Position 11014: 0.06796300443259196
Position 21564: 0.06478937803866565
Position 20185: 0.056068445399029464
Position 21776: 0.05160607753902274
Position 7333: 0.04536378266156069
Position 18507: 0.04505946902587614
Position 1321: 0.043932971444585314
Position 14195: 0.04183546284412721
Position 14454: 0.03102136348672727
Position 19975: 0.025684426105071847
Position 22290: 0.02549931601414248
Position 1427: 0.02477549202835535
Position 22812: 0.01965927717949486
Position 23378: 0.012359234990036192
Position 22525: 0.011038821423998363
Position 20500: 0.010908327829449223
Position 1297: 0.01074161065264691
Position 17694: 0.008671218403675594
Position 1548: 0.0073685236005216715
Position 20513: 0.00733852690093153
Position 1368: 0.005351564111278647
Position 1584: 0.005198704163648561
Position 16283: 0.004780088493745906
Position 1553: 0.00464184156846874
Position 15994: 0.0037610688797677884
Position 19626: 0.0033390413332806835
Position 17714: 0.0033359549696799703
Position 16577: 0.0031278574885424105
Position 20843: 0.002918148643261585
Position 20753: 0.0026519673032472614
Position 17937: 0.0014665991293339683
Position 16483: 0.0007137659578642692
Position 16497: 0.0003389039156983762
