Gene = LOC101740954
index = 434
Annotated 5SS: [270 472]
Annotated 3SS: [340 991]
SMsplice 5SS: [270 472 832]
SMsplice 3SS: [340 691 991]
length: 1101
Partition function (logZ) = -3.7835138205862027
#Introns = 963
5SS, 3SS, prob
472, 691, 0.6576980669261382
832, 991, 0.36727463722754156
270, 340, 0.2793871165906538
472, 991, 0.25069341500220543
270, 366, 0.13331746947513862
270, 382, 0.04528584137305779
114, 308, 0.03930702674109464
114, 340, 0.036412231679403766
270, 691, 0.03198767241106422
15, 340, 0.029539381935243178
114, 326, 0.027815307976605683
15, 308, 0.02729540941731283
86, 340, 0.024089063332296892
86, 308, 0.022034072470100204
15, 326, 0.02169498388534268
715, 991, 0.02052022224697189
114, 366, 0.019372558427678304
86, 326, 0.017283958872167354
270, 371, 0.017097747592438286
15, 366, 0.013646814707536373
114, 691, 0.012624136997476838
86, 366, 0.011283905921690925
114, 382, 0.01084393944119777
832, 912, 0.00965416448242105
15, 382, 0.007469917857177165
270, 991, 0.007140885757318266
86, 691, 0.006905928096477519
15, 691, 0.006813852144066532
86, 382, 0.006553219980646234
270, 408, 0.004209532688015708
220, 308, 0.0033816933593864454
921, 991, 0.003350753151467094
100, 340, 0.003176794752992512
100, 308, 0.003133218554572683
73, 340, 0.0030307548659958476
114, 371, 0.0029135805605747483
73, 308, 0.0028753537689585437
73, 326, 0.002299465605966278
100, 326, 0.0022795631427179725
832, 934, 0.0022792287335659488
472, 812, 0.002189770109301919
114, 991, 0.0021409600120925695
15, 371, 0.002015919214685234
472, 912, 0.0019353398185972671
472, 590, 0.001703233250587758
86, 371, 0.0016883327931117495
114, 408, 0.0016569576048815894
523, 691, 0.0016474026433983885
100, 366, 0.001605050652141856
220, 326, 0.0015375900231759982
73, 366, 0.001459586556773812
263, 340, 0.0013970084992726642
823, 991, 0.0013876275011173896
220, 340, 0.001369992542638027
15, 408, 0.0011358361135795133
86, 991, 0.0011207703763098163
86, 408, 0.0010810438733774605
836, 991, 0.001031072438222645
15, 991, 0.0010136657264880906
100, 691, 0.0010133543660954141
435, 691, 0.000995564117417406
100, 382, 0.0008805284863013905
472, 630, 0.0008798476113664141
472, 648, 0.0008725728333938177
73, 382, 0.0008719545674718557
73, 691, 0.000838891321022059
472, 934, 0.0006865120656149149
263, 326, 0.000635815216048629
618, 691, 0.000632202271968599
523, 991, 0.0006048649852394326
114, 189, 0.0004945099816681097
6, 340, 0.00048648802979951115
515, 691, 0.0004835248803362318
758, 991, 0.00047916002556714103
6, 308, 0.00046695321192732816
220, 366, 0.00046606264140116417
715, 812, 0.0004611390863746376
263, 366, 0.0004504149462924314
724, 991, 0.0004408802189491717
383, 691, 0.00037798719542016257
6, 326, 0.0003664818025774292
289, 366, 0.0003475060123840872
435, 991, 0.00033200529730467016
29, 340, 0.00033153255455980806
220, 691, 0.00031501205871291483
29, 308, 0.00030855106532847007
713, 991, 0.0002620801087237645
220, 382, 0.0002478974435103978
472, 653, 0.00024496510794323626
29, 326, 0.0002376447330850315
832, 1071, 0.00023763024058408907
100, 371, 0.00023718069206114323
73, 371, 0.00022209860516052046
6, 366, 0.0002215071095947908
719, 991, 0.00021605765261126111
15, 113, 0.00021569096676058052
86, 189, 0.00020441008960105593
515, 991, 0.00018267436103359012
289, 382, 0.0001756403580113325
15, 141, 0.00017136484971698378
472, 1071, 0.0001650689303189854
100, 991, 0.00016411165176734782
29, 366, 0.000162999763542851
263, 382, 0.00015800535919919948
472, 544, 0.0001540435761098212
100, 408, 0.0001449175285965335
472, 801, 0.00014046812677137547
73, 991, 0.0001400597842352289
715, 912, 0.00013987191881970022
73, 408, 0.00013661714491856812
592, 691, 0.0001363030573343815
263, 691, 0.00013138207424490356
6, 382, 0.00012257703729785427
827, 991, 0.00011277619349272041
6, 691, 0.00010947581587747037
832, 999, 0.0001075139028648452
383, 991, 0.00010711938117141162
15, 189, 9.032320057017732e-05
29, 382, 8.815267417979284e-05
29, 691, 8.218259591210323e-05
270, 812, 7.609869409398383e-05
472, 999, 7.398060855571731e-05
289, 691, 7.195845039250865e-05
618, 991, 7.107163148386089e-05
372, 691, 7.048365209557245e-05
220, 371, 6.791810931583169e-05
10, 340, 6.770173779000884e-05
644, 991, 6.592518507641072e-05
270, 912, 6.408838991323125e-05
10, 308, 6.371621224744214e-05
220, 991, 6.35120439350282e-05
263, 371, 5.713031655750131e-05
289, 371, 5.3759639845643365e-05
114, 212, 5.2194809379370216e-05
751, 991, 5.1968491619504405e-05
270, 410, 5.044874350649706e-05
10, 326, 5.039512090340628e-05
15, 82, 5.0106042518950706e-05
270, 590, 4.9323291543477763e-05
715, 934, 4.664041425285086e-05
73, 141, 4.144137169398007e-05
100, 189, 4.1383982959898644e-05
580, 691, 4.0045220329966545e-05
912, 991, 3.919689785504792e-05
270, 648, 3.8480132750544665e-05
270, 630, 3.749190901131173e-05
715, 801, 3.658595611363156e-05
270, 439, 3.6498920254953406e-05
823, 912, 3.5277310350835784e-05
220, 408, 3.4686947561861494e-05
6, 371, 3.285692134739423e-05
10, 366, 3.0925553792568856e-05
421, 691, 3.061996731262783e-05
263, 991, 2.9239656017471478e-05
90, 340, 2.7454175557904733e-05
472, 570, 2.692196260077056e-05
327, 691, 2.6437987381743547e-05
114, 812, 2.6325947844894982e-05
836, 912, 2.559753084008466e-05
90, 308, 2.5414856098896358e-05
29, 371, 2.4070829388102025e-05
138, 308, 2.2444478601808627e-05
270, 934, 2.1984389954945584e-05
472, 758, 2.1141342695661978e-05
114, 590, 2.070643083470191e-05
114, 410, 2.040864223510802e-05
138, 340, 1.986187953928001e-05
90, 326, 1.945911073446814e-05
114, 912, 1.9294346664191722e-05
6, 408, 1.8873340038068016e-05
372, 991, 1.8693425750163394e-05
592, 991, 1.8684147060018727e-05
550, 691, 1.842968942890582e-05
734, 991, 1.832803193958107e-05
114, 439, 1.808766202697267e-05
838, 991, 1.7763403738533666e-05
73, 189, 1.7340870226889633e-05
10, 382, 1.7036338367797087e-05
289, 991, 1.694861914280184e-05
263, 408, 1.667929376198352e-05
715, 1071, 1.5915620279520305e-05
6, 991, 1.5905242128271322e-05
138, 326, 1.5642012414932343e-05
10, 691, 1.5363541386078998e-05
114, 648, 1.5189516025043369e-05
544, 691, 1.4985135660246113e-05
570, 691, 1.4938317373390194e-05
114, 630, 1.491201227274837e-05
270, 392, 1.4699489727322516e-05
86, 212, 1.4384266515129024e-05
706, 991, 1.4120062141533092e-05
15, 410, 1.391329182946561e-05
86, 812, 1.3792985090125443e-05
86, 410, 1.3245319502231366e-05
556, 691, 1.3109794099190985e-05
29, 408, 1.3009960320395079e-05
90, 366, 1.2986709690158614e-05
15, 812, 1.2900000015210843e-05
29, 991, 1.2737321830823935e-05
289, 408, 1.2400486171643408e-05
15, 590, 1.1881385768967474e-05
724, 812, 1.184311925269208e-05
86, 590, 1.1525224399208153e-05
327, 408, 1.1291006209756472e-05
764, 991, 1.1074360426079972e-05
270, 653, 1.0942959572639048e-05
15, 439, 1.0835294600266866e-05
15, 212, 1.0833893240037157e-05
270, 405, 1.0405182990109456e-05
86, 439, 1.0302408408275312e-05
421, 991, 1.022527420775321e-05
86, 912, 9.939005371028052e-06
832, 1014, 9.562797779186802e-06
138, 366, 9.244408095054059e-06
15, 912, 9.020955055838418e-06
86, 648, 8.952257145385204e-06
86, 630, 8.65483267577349e-06
15, 648, 8.529109290717102e-06
15, 630, 8.429953672370505e-06
90, 691, 8.072945738538621e-06
580, 991, 8.01153781274923e-06
90, 382, 7.391960876216061e-06
