Gene = Pea15a
index = 807
Annotated 5SS: [ 208 6397 7694]
Annotated 3SS: [6222 7537 8113]
SMsplice 5SS: [ 208 6152 6322 7694 8203]
SMsplice 3SS: [6075 6222 7613 8113 8725]
top_k =  500
Partition function (log Z): 0.9468637651111393

Sorted 5' Splice Sites (High to Low Probability):
Position 208: 0.981373115353686
Position 7694: 0.9487202845135468
Position 6152: 0.9219978472772247
Position 8203: 0.9010412026884335
Position 6322: 0.4672799829883645
Position 6331: 0.2991177325664398
Position 8568: 0.280858432087193
Position 6700: 0.19078445335450522
Position 8615: 0.17149406548290935
Position 2559: 0.12271508057009127
Position 8642: 0.12108631158514095
Position 9542: 0.10937204491956537
Position 6397: 0.08426776089236006
Position 2386: 0.08282419802503772
Position 6468: 0.04446288697956573
Position 9237: 0.04093479513669536
Position 6296: 0.03322868253670821
Position 6505: 0.019431026913937954
Position 4515: 0.01817475869444488
Position 4412: 0.017664800735265777
Position 3670: 0.017409339108259505
Position 246: 0.016280048695652992
Position 5322: 0.015430682255043333
Position 3660: 0.010327375748117441
Position 4709: 0.009943688694989378
Position 5538: 0.009065496114672193
Position 1025: 0.008349299585344758
Position 606: 0.008190463715084547
Position 4680: 0.007365139246895679
Position 9509: 0.0069603112800804955
Position 6809: 0.00675495974712296
Position 4638: 0.00531950148078396
Position 1550: 0.005116774114603926
Position 3486: 0.004864490190786038
Position 6165: 0.00462679023145843
Position 2403: 0.004032728656538224
Position 9924: 0.0037747246955947274
Position 2823: 0.003181251777845384
Position 5179: 0.0029353646707189897
Position 4420: 0.002895983555296276
Position 9182: 0.0026103702546451716
Position 8271: 0.0015175305527347872
Position 8041: 0.0013620320662171383
Position 8557: 0.0009054088062859273
Position 8000: 0.0007528074837710373
Position 47: 0.0005964942830437013
Position 6188: 0.0004642931673892086
Position 8317: 0.0004619971544758508
Position 600: 0.00044656737534196517
Position 8019: 0.00043367677241360164
Position 1047: 0.0003899623650944877
Position 7974: 0.00034808710830134463
Position 7764: 0.00030771590451856917
Position 8012: 0.0002799692888053083
Position 1332: 0.0002353339004434317
Position 2399: 0.00023048981390655403
Position 4496: 0.00020179398411456032
Position 4535: 0.00019432782327476346
Position 5088: 0.00019159936905555828
Position 8323: 0.00017644130508237597
Position 3168: 0.00015787596052308913
Position 7686: 0.00015412775346152868
Position 4093: 0.00014978506397008944
Position 1207: 0.00014629644694602375
Position 9546: 0.00013586338758524676
Position 8585: 0.00013330125107825544
Position 464: 0.00013074361656876073
Position 2961: 0.0001299446662244002
Position 7957: 0.00012760605040066145
Position 4153: 0.00012586078486203308
Position 4924: 0.00010035395060351534
Position 8311: 9.801643133909732e-05
Position 6359: 9.668567057963797e-05
Position 9824: 9.481249145911497e-05
Position 7725: 9.031895639430641e-05
Position 4913: 8.887113948683213e-05
Position 42: 8.410292371575174e-05
Position 4333: 7.842647601109785e-05
Position 1991: 7.739761411788955e-05
Position 174: 6.758279998881931e-05
Position 6423: 6.382743280127401e-05
Position 6538: 6.212021886594698e-05
Position 7092: 6.141336062801755e-05
Position 697: 5.7200647464302605e-05
Position 6717: 5.397064158277847e-05
Position 1172: 5.376146261515149e-05
Position 4342: 5.2801550248846756e-05
Position 8313: 4.461192146287913e-05
Position 4164: 4.244528903933368e-05
Position 324: 4.186349968196539e-05
Position 3477: 3.8700846150048275e-05
Position 6820: 3.781427145724517e-05
Position 6533: 3.543389232767035e-05
Position 6352: 3.312076182661216e-05
Position 1923: 2.612751329884801e-05
Position 7220: 2.517282358956312e-05
Position 1941: 2.4790747212561825e-05
Position 641: 1.802891079042286e-05
Position 1552: 1.6216294592825247e-05
Position 6473: 1.6202823348575985e-05
Position 1286: 1.6159300828001475e-05
Position 3905: 1.5712535384913013e-05
Position 1870: 1.4769037510200067e-05
Position 1845: 1.4690011056795743e-05
Position 1904: 1.446048626432841e-05
Position 1814: 1.3480780500384844e-05
Position 1796: 1.2824338223130917e-05
Position 6912: 1.235136208680069e-05
Position 1098: 1.1932200399139334e-05
Position 2675: 9.212188455524422e-06
Position 621: 8.739312883277234e-06
Position 1806: 3.3020392033982113e-06
Position 230: 1.0862083346183148e-06
Position 8732: 1.0086445842868226e-06
Position 263: 6.149006487317431e-07
Position 2275: 5.289884587135318e-07
Position 55: 3.196919761372771e-07
Position 438: 3.1743698990648995e-07
Position 8582: 2.8363459829243263e-07
Position 8871: 2.537707680452122e-07
Position 232: 1.7528038567509578e-07
Position 348: 1.488830667499073e-07
Position 331: 1.4462818146948335e-07
Position 417: 1.2975715307777712e-07
Position 272: 7.161539946629135e-08
Position 235: 5.158891144146877e-08
Position 118: 4.915372215451158e-08
Position 430: 3.5775093708040724e-08
Position 358: 2.935844967658488e-08
Position 396: 1.845868241037932e-08
Position 37: 1.0531834768622728e-08
Position 382: 6.295828506382126e-09
Position 333: 2.3334830991028017e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8113: 0.9665192257744054
Position 6222: 0.9287653430204577
Position 7613: 0.7247450656064373
Position 6075: 0.6633021727645257
Position 8725: 0.443003701822435
Position 8455: 0.3346998313009938
Position 6053: 0.21528426549247281
Position 10025: 0.19495644613601978
Position 7537: 0.16017160946279943
Position 8424: 0.15794429001994795
Position 9373: 0.13779778164839152
Position 9391: 0.11257281431943052
Position 6600: 0.11148707277120566
Position 2339: 0.10275928708540667
Position 2272: 0.08985555579157171
Position 6583: 0.0589754846237322
Position 8838: 0.054996712447859225
Position 9099: 0.04601737444246562
Position 8521: 0.04360345921392311
Position 8518: 0.041698914741906255
Position 4257: 0.040981467388485134
Position 6251: 0.03120871827625024
Position 6026: 0.02897682966773385
Position 9171: 0.02646345493516126
Position 6097: 0.01957462645576566
Position 9757: 0.015923431674490115
Position 8971: 0.01361450352622628
Position 7629: 0.012719479572712905
Position 7557: 0.012335458955437799
Position 3319: 0.011026775414232281
Position 4601: 0.009858529675169736
Position 7269: 0.009159466386417825
Position 5205: 0.009007167029702978
Position 3601: 0.008945672612409927
Position 3432: 0.008198110932847174
Position 7319: 0.007854870327671173
Position 6231: 0.007227997902475403
Position 5254: 0.006962697184528193
Position 5396: 0.00687494506725853
Position 8353: 0.006670232467538521
Position 9069: 0.006664476116381782
Position 7506: 0.0065776932531101204
Position 2474: 0.006280277056268098
Position 4615: 0.006211534742334646
Position 527: 0.005900776530573748
Position 7407: 0.005715127529446501
Position 9780: 0.005670907053238739
Position 9736: 0.005303461317151666
Position 7644: 0.005226182193046562
Position 7865: 0.005171520283326389
Position 9104: 0.00470058588915506
Position 8548: 0.004472611291061572
Position 7448: 0.004195669712399097
Position 2299: 0.004107241320145263
Position 9687: 0.0037764904786045917
Position 1396: 0.0034357850008752354
Position 865: 0.0033581718381949705
Position 6490: 0.0030082533676790736
Position 5087: 0.0028628243909811697
Position 2245: 0.0027935158362989037
Position 4375: 0.0026921022951242953
Position 3408: 0.0026844211297466303
Position 9268: 0.002185964632735707
Position 4308: 0.0021475881402113913
Position 2447: 0.0018972908350074213
Position 3367: 0.001780664740720823
Position 8525: 0.0016926178413900737
Position 9640: 0.0015519740135891288
Position 1418: 0.0015283230675342864
Position 749: 0.001406646116167434
Position 371: 0.0013910393845553096
Position 8127: 0.0013362760887156782
Position 2641: 0.001308005841052357
Position 2530: 0.0012733732223516258
Position 6640: 0.0011057040253213426
Position 10058: 0.0010041877154551226
Position 6423: 0.0009942327164219537
Position 6186: 0.0009742436481390746
Position 547: 0.000932525536125455
Position 6585: 0.0009206714862587839
Position 6671: 0.0007976080947026748
Position 4795: 0.0007648921204425794
Position 2623: 0.0007364077139151333
Position 5462: 0.0006552599453013403
Position 10004: 0.0006120215951079776
Position 5062: 0.0006056292414461683
Position 2193: 0.0005858250308281808
Position 9993: 0.000546908478746972
Position 2592: 0.0005278362040714377
Position 9422: 0.0005267837538471843
Position 924: 0.0005039633524098489
Position 2725: 0.00041879645638538373
Position 1084: 0.0003902025179311724
Position 988: 0.000387953159455426
Position 483: 0.0003636805186920447
Position 7169: 0.00035897407624266314
Position 911: 0.0003438758639859253
Position 9716: 0.000306956438062859
Position 9396: 0.0002996748781418783
Position 4047: 0.00029419202376124853
Position 9647: 0.00028631022376036626
Position 952: 0.0002763972608366165
Position 7909: 0.0002654613703388813
Position 460: 0.0002582844423486801
Position 427: 0.0002475497662885831
Position 9218: 0.00024049791338453855
Position 997: 0.00023631016103348827
Position 2480: 0.00023180648232418088
Position 930: 0.0002279579460489197
Position 8430: 0.00021531318896013743
Position 6691: 0.00021293952912663152
Position 949: 0.00018038865130257187
Position 8594: 0.00017665970954784275
Position 2651: 0.00017663736320334028
Position 9950: 0.00017608677136532886
Position 7350: 0.00016826474279953835
Position 1376: 0.0001610139065372392
Position 6653: 0.00016098470557643
Position 8562: 0.00015417584462850512
Position 7880: 0.00011041604679068646
Position 10034: 0.00010865325276894737
