Gene = AT4G38090
index = 1086
Annotated 5SS: [460 654 778]
Annotated 3SS: [547 723 860]
SMsplice 5SS: [460 654 778]
SMsplice 3SS: [547 723 860]
length: 1098
Partition function (logZ) = -1.395482456944762
#Introns = 1025
5SS, 3SS, prob
460, 547, 0.8133750293267183
778, 860, 0.739130430657067
654, 723, 0.6376913848205491
642, 723, 0.11955839209145892
647, 723, 0.11177057118450641
654, 760, 0.06555197249149924
446, 547, 0.05072213751812135
299, 547, 0.03350907232112136
460, 530, 0.031172521042076257
299, 366, 0.021169322603587955
939, 1019, 0.016687898619234254
375, 547, 0.014048865230979977
299, 395, 0.013803031790556952
446, 530, 0.012391132202113091
637, 723, 0.012230858654788582
440, 547, 0.008801688153918748
654, 860, 0.005598251617104699
460, 723, 0.0052425471269423665
299, 530, 0.005088703452117316
598, 723, 0.004672572991653213
761, 860, 0.004406930381205424
299, 392, 0.0032909287740199504
440, 530, 0.0030411494846056845
647, 760, 0.0029640585483341688
375, 530, 0.002464486001562728
206, 298, 0.0024357419213913473
907, 1019, 0.0024178416522722236
1021, 1094, 0.0023465469743615976
299, 723, 0.0018342534398644963
642, 760, 0.001764003968978879
580, 723, 0.0017405367499098922
778, 882, 0.0015989107251814017
375, 459, 0.0012647624487556093
916, 1019, 0.0012527420954341175
907, 991, 0.0012355366376622771
449, 547, 0.0010046558663025435
742, 860, 0.0008628857896492215
939, 1044, 0.0008370585914392555
375, 723, 0.0007613022293992592
939, 1083, 0.0007263699551349078
299, 505, 0.000609852027741929
460, 579, 0.000604533084505645
601, 723, 0.0006028002316342434
409, 547, 0.0005746230156862302
299, 379, 0.0005686935909830287
927, 1019, 0.0005546711838483713
446, 723, 0.0005467364945161041
1021, 1083, 0.0005153454710163862
452, 547, 0.0005118009083321898
660, 723, 0.0005059372077529529
585, 723, 0.0004906389399587066
375, 505, 0.00042189928753385176
299, 459, 0.00039205284960599487
654, 777, 0.000384708913668075
647, 860, 0.0003575405364168695
939, 1050, 0.00033329317623479723
939, 1094, 0.0003033611515187697
286, 366, 0.000282813952400262
660, 760, 0.0002768115952802565
642, 860, 0.00025875152338183737
460, 760, 0.0002525743459254813
916, 991, 0.00021571421350536453
654, 741, 0.00021451383129574762
907, 1083, 0.0001903801370568967
160, 298, 0.00018586366228075558
449, 530, 0.00018487253416796443
778, 1019, 0.00015788384294802637
778, 938, 0.00013894236841259015
637, 760, 0.0001346369360806252
180, 298, 0.00013382306350094136
440, 723, 0.0001330424786666678
598, 760, 0.0001238553430878739
136, 298, 0.0001224981169487953
409, 530, 0.00012133774149818097
548, 723, 0.00010940374811724263
907, 1044, 0.00010767811693860696
206, 547, 0.0001059996959309101
724, 860, 0.00010000565775216297
299, 579, 9.825591082856223e-05
474, 547, 9.679092250501847e-05
907, 1094, 9.485214372152126e-05
675, 760, 8.907239650301386e-05
299, 760, 8.836843396366643e-05
460, 860, 8.244897732788303e-05
299, 434, 8.113963012492469e-05
286, 547, 7.88065115234773e-05
763, 860, 7.87637201971444e-05
603, 723, 7.641949647065666e-05
345, 547, 6.664671003170585e-05
452, 530, 6.626425390965737e-05
580, 760, 6.228216633840007e-05
798, 860, 6.113522739402214e-05
916, 1083, 6.07655299110647e-05
206, 366, 5.827694522872075e-05
988, 1083, 5.713731913030341e-05
907, 1050, 5.410123856354474e-05
238, 547, 5.3742827770944246e-05
238, 366, 4.880864744046504e-05
409, 505, 4.753168717506724e-05
446, 579, 4.562695097519005e-05
654, 816, 4.552108549460509e-05
238, 340, 4.471763239591958e-05
160, 547, 4.290949586071119e-05
299, 512, 4.154683645543768e-05
916, 1044, 4.0899471812982234e-05
778, 912, 4.07595890432044e-05
136, 547, 4.06406003646365e-05
375, 579, 4.035232839188545e-05
598, 860, 3.9784564941009233e-05
460, 589, 3.9421927084490015e-05
944, 1019, 3.697614778661756e-05
375, 760, 3.652713507739872e-05
778, 1083, 3.4881636917264745e-05
440, 505, 3.425901843340692e-05
654, 784, 3.2666323657738436e-05
778, 966, 2.9980126467398285e-05
916, 1094, 2.9864272608584368e-05
299, 860, 2.8845767285589048e-05
206, 340, 2.8465762083978015e-05
778, 991, 2.7926297578466534e-05
446, 760, 2.6340566258295355e-05
375, 512, 2.5212283788291144e-05
160, 366, 2.2650610466194026e-05
637, 860, 2.2576876193698842e-05
654, 882, 2.1600422440728343e-05
409, 723, 2.1476390264408757e-05
136, 366, 2.1452919518765055e-05
647, 777, 2.102884956372333e-05
778, 890, 2.0818187488165956e-05
180, 547, 2.027391252194754e-05
580, 860, 1.9991367193384625e-05
916, 1050, 1.9800382344238572e-05
927, 1083, 1.7933574493914462e-05
299, 438, 1.6999486456982444e-05
660, 860, 1.6932586995770916e-05
778, 1094, 1.686048512748595e-05
286, 395, 1.596305727199405e-05
206, 530, 1.5933487570122322e-05
585, 760, 1.5539860333546562e-05
988, 1094, 1.518910800410523e-05
601, 760, 1.516535885633221e-05
939, 1027, 1.4694844597847947e-05
212, 298, 1.429303440939359e-05
642, 777, 1.3908120670454568e-05
927, 1044, 1.3903322487869044e-05
778, 1044, 1.343557180750806e-05
299, 400, 1.3427663240683328e-05
742, 816, 1.2057936294365752e-05
446, 512, 1.1906290085679064e-05
375, 860, 1.189506134121187e-05
286, 530, 1.1845918588519222e-05
654, 827, 1.1725895316038417e-05
647, 741, 1.1487589914556767e-05
303, 547, 1.133017195568685e-05
180, 366, 1.1123531641038632e-05
954, 1019, 1.0706023592742682e-05
345, 530, 1.0403677713388741e-05
440, 579, 1.0168403931824305e-05
954, 1044, 9.693289339007533e-06
1002, 1083, 9.5610990848095e-06
104, 298, 9.484355229774016e-06
654, 1019, 9.11988382788323e-06
449, 723, 9.095562238398262e-06
440, 512, 8.812114573167407e-06
136, 221, 8.63257581081859e-06
446, 860, 8.59811163829377e-06
238, 530, 8.078418560709094e-06
299, 589, 8.00390174220598e-06
684, 760, 7.96072035954053e-06
363, 547, 7.787919314232768e-06
375, 464, 7.658726896959091e-06
160, 340, 7.640576972074513e-06
927, 991, 7.638550616051326e-06
654, 938, 7.569681143409324e-06
