Gene = TMF1
index = 1457
Annotated 5SS: [  359  4946  7812  8554  9497 12753 13461 13740 17281 18756 22489 24078
 24404 26308 26744 28249]
Annotated 3SS: [ 3740  7707  8426  9390 12609 13293 13582 17187 18598 22295 24007 24310
 26205 26590 28122 28982]
SMsplice 5SS: [  359   736  3628  4172  7812  8554 12753 13461 13740 17281 24078 24404
 27448 28249]
SMsplice 3SS: [  658  3530  4079  7634  8426 12609 13293 13582 17187 24007 24310 27323
 28122 28982]
top_k =  100
Partition function (log Z): 14.217240843607469

Sorted 5' Splice Sites (High to Low Probability):
Position 4172: 0.9999999999999986
Position 7812: 0.9999521509227077
Position 24078: 0.9992881257553783
Position 27448: 0.9960270913431197
Position 359: 0.9903109822170529
Position 13461: 0.9853365404600269
Position 8554: 0.9752290831912483
Position 17281: 0.948339720783671
Position 24404: 0.9068965396005007
Position 13740: 0.8614920514130192
Position 736: 0.7243281659969439
Position 12753: 0.6937568173656079
Position 28249: 0.693399959090184
Position 3628: 0.6416865321393492
Position 22489: 0.5482331949093991
Position 29483: 0.4644000254044355
Position 9497: 0.41976470391621695
Position 26308: 0.4166891066531956
Position 29159: 0.4040369363499098
Position 7403: 0.28232866176857263
Position 26744: 0.23922591148770575
Position 3941: 0.21074259823548003
Position 4946: 0.20775544553888387
Position 88: 0.20740987994505494
Position 9058: 0.18387150656981968
Position 17583: 0.1646638811486196
Position 4955: 0.15199129754826302
Position 56: 0.14104247919769633
Position 30221: 0.10714166916084089
Position 3555: 0.10340013549110573
Position 729: 0.09747664062592866
Position 3615: 0.08010862850446748
Position 17758: 0.06922440801521057
Position 5750: 0.06622476300298229
Position 20573: 0.050987842814037974
Position 17317: 0.04862960078506117
Position 29070: 0.04647588754855552
Position 3640: 0.046437974204973094
Position 14359: 0.042113835028949956
Position 18756: 0.03369734033823333
Position 14627: 0.02548546546155528
Position 29081: 0.013298111397246895
Position 17715: 0.009943588052460275
Position 3595: 0.008597452500476437
Position 8798: 0.007156863232056212
Position 1252: 0.006299962718565268
Position 28213: 0.006291035006804418
Position 13396: 0.005514062236408589
Position 2169: 0.0038458608065052116
Position 421: 0.00341500827892828
Position 27763: 0.003156206768928109
Position 17293: 0.003030678431269004
Position 38: 0.0012487971453254002
Position 740: 0.0011721059582365722
Position 557: 0.0008262284767312256
Position 82: 0.0003800605983739648
Position 585: 0.0002466073233563486
Position 1548: 0.00014009496878846612
Position 182: 7.90524830972417e-05
Position 221: 1.8818849905823167e-05
Position 29: 8.262206324507362e-06
Position 225: 3.7449866979146106e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 24007: 1.0000000000000004
Position 17187: 0.9988268886302825
Position 27323: 0.9960270913431203
Position 4079: 0.9932222176412486
Position 7634: 0.9724637406427266
Position 13293: 0.9261183154408316
Position 24310: 0.9061846653558802
Position 3530: 0.8802307228403714
Position 12609: 0.6937568173656079
Position 28122: 0.6676198562362498
Position 28982: 0.6096717496600643
Position 22295: 0.5482331949093995
Position 29381: 0.5280733583232549
Position 8426: 0.5236116432116832
Position 13582: 0.44640594861732846
Position 32328: 0.4278815673542331
Position 13605: 0.4150106975807342
Position 8476: 0.4093374812339064
Position 658: 0.36769661518126184
Position 642: 0.3458694116044118
Position 161: 0.3263968091667971
Position 7309: 0.28232866176857263
Position 26590: 0.23922591148770567
Position 3740: 0.21752038059422935
Position 4819: 0.20454323659172063
Position 17483: 0.18325947846591228
Position 9390: 0.18308051550520707
Position 8867: 0.17641610940481206
Position 9374: 0.17173421283166623
Position 29015: 0.14453556634859613
Position 26205: 0.12624890230995608
Position 26231: 0.12462887854166549
Position 30053: 0.12366798452545617
Position 612: 0.10133505334680129
Position 30325: 0.10074298171399435
Position 26135: 0.09399099039122331
Position 4721: 0.08437867697132335
Position 26185: 0.07182033541035077
Position 4696: 0.07078291414217487
Position 13395: 0.06480769247056067
Position 30023: 0.058255980208286706
Position 9278: 0.05598021962687072
Position 5677: 0.04471492679586943
Position 17621: 0.042366500966681105
Position 14253: 0.04197382227303799
Position 27845: 0.03062646173030933
Position 20325: 0.030197737258350277
Position 29357: 0.028342078879973386
Position 7542: 0.027488410279980932
Position 8322: 0.026846357231416852
Position 14507: 0.025485465461555248
Position 5482: 0.021509836207112887
Position 20435: 0.020790105555687704
Position 18598: 0.020012485910864096
Position 17582: 0.01820589778369736
Position 8690: 0.014612260397063754
Position 8226: 0.014558519921538754
Position 18583: 0.013684854427369228
Position 9200: 0.008969755952473298
Position 27907: 0.00868207747588646
Position 240: 0.008249983803645
Position 1130: 0.006299962718565269
Position 508: 0.00514453673114308
Position 293: 0.004898923226920909
Position 2046: 0.003765629911725178
Position 24482: 0.003496772498895941
Position 28325: 0.0034471890027763263
Position 539: 0.0032328265864899116
Position 27614: 0.0028954065616068067
Position 309: 0.0018759811200086518
Position 273: 0.0014241203187606746
Position 17214: 0.0011731113697174599
Position 8045: 0.0008750815927030946
Position 248: 0.0006250412304839637
Position 261: 0.00027911941302012644
Position 279: 0.0002700771772117115
Position 27555: 0.0002608002073213024
Position 208: 0.00022462954554712888
Position 14267: 0.00014001275591197856
Position 168: 8.871400747099109e-05
Position 282: 8.059178229007441e-05
Position 2106: 8.023089478003214e-05
Position 258: 7.583656169437855e-05
Position 1387: 7.023001291735658e-05
Position 1355: 6.986495587110958e-05
Position 467: 5.275652095154738e-05
Position 458: 4.98148477086572e-05
Position 460: 4.5625525735441446e-05
Position 4572: 4.1915381928080925e-05
Position 313: 4.032898416183751e-05
Position 211: 4.081744818830781e-06
