Gene = CENPH
index = 343
Annotated 5SS: [  221  2303  5148  6244  7562 13022 13423 18812]
Annotated 3SS: [ 2246  5098  6168  7504 12957 13370 18647 20158]
SMsplice 5SS: [  168  6244  7589 12860 13022 18812]
SMsplice 3SS: [ 6168  7504 12753 12957 18647 20158]
top_k =  1000
Partition function (log Z): -7.896420875710719

Sorted 5' Splice Sites (High to Low Probability):
Position 7589: 0.955641646350128
Position 18812: 0.8307630269844385
Position 13022: 0.7545765639691424
Position 5148: 0.5365078847370875
Position 12860: 0.5257373881280526
Position 6244: 0.5077138152081377
Position 168: 0.33827205370986524
Position 2303: 0.3336668947780547
Position 221: 0.3190467610746899
Position 10147: 0.19999146336837978
Position 5623: 0.1561071480353016
Position 564: 0.13918517654308832
Position 729: 0.11697872146282082
Position 715: 0.10187243646706963
Position 6203: 0.0943758898811673
Position 13082: 0.09091624558225787
Position 16109: 0.0630623506331512
Position 8905: 0.04391209971424858
Position 2568: 0.0354331058430004
Position 13319: 0.03399639022371263
Position 327: 0.031565060155839965
Position 413: 0.030325029320266997
Position 9994: 0.025170161914254648
Position 6782: 0.02476868607717924
Position 254: 0.019440845869244973
Position 20386: 0.01909989189657531
Position 7562: 0.018465548574312252
Position 5451: 0.01715784438406415
Position 9906: 0.015638373870121323
Position 13423: 0.012875918993145967
Position 6766: 0.012568628013374961
Position 11908: 0.01172962915663639
Position 20248: 0.011728071961502861
Position 300: 0.010194717564812664
Position 2655: 0.009902148381094662
Position 422: 0.007008656059812265
Position 600: 0.006919357096356537
Position 19483: 0.006402510334220465
Position 1906: 0.005349007728413745
Position 19568: 0.004821996725357253
Position 7761: 0.004603662346270362
Position 19555: 0.003889747836661499
Position 6866: 0.003860179477537831
Position 6293: 0.0033412904307467337
Position 10436: 0.0031967193789435204
Position 10188: 0.003186409778855349
Position 6956: 0.0028184727820029024
Position 10384: 0.0025568646024277564
Position 2186: 0.0023768177069892833
Position 11598: 0.0023330179780874146
Position 18723: 0.002321827645557323
Position 322: 0.0021923338439350753
Position 18669: 0.0021479508947280256
Position 10026: 0.002067115365002236
Position 2174: 0.0018491303215774403
Position 1161: 0.001845122709374419
Position 977: 0.0017523402321687714
Position 1750: 0.0015681654910512986
Position 1782: 0.0015513969610353661
Position 2465: 0.0014273761026063298
Position 5099: 0.0013033244926638659
Position 317: 0.0012269991594465247
Position 1027: 0.0011247953871088598
Position 9754: 0.0010997306626478395
Position 5469: 0.0009887741571226766
Position 2679: 0.000869789995760165
Position 3050: 0.0008590437471564366
Position 14682: 0.0007981405289156668
Position 447: 0.0007405550368010933
Position 1284: 0.0006200637384015128
Position 479: 0.0006197775991892183
Position 2914: 0.0005799762220558366
Position 4826: 0.000505966705392188
Position 3199: 0.0004950404445398539
Position 64: 0.00036694150456952307
Position 9431: 0.00032241407523144464
