Gene = Srrd
index = 1027
Annotated 5SS: [ 166 1945 3144 3322 4723 5065]
Annotated 3SS: [1903 2916 3222 4567 4992 5298]
SMsplice 5SS: [ 166 3322 4139 4723]
SMsplice 3SS: [3222 4025 4567 4992]
top_k =  500
Partition function (log Z): -0.5024443539195145

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.999018435342659
Position 4723: 0.986225339124356
Position 3322: 0.8070112023597914
Position 4139: 0.5357574546733227
Position 3144: 0.39804493853400824
Position 1945: 0.3599723511529501
Position 5065: 0.09875707116782466
Position 2620: 0.04898330334485171
Position 2159: 0.04137971083363125
Position 2324: 0.038640575004633214
Position 4362: 0.038180129672163
Position 3782: 0.024998212376424602
Position 1790: 0.017947979112877595
Position 2053: 0.017631828297504547
Position 2154: 0.0167911170993843
Position 5233: 0.016768122468495555
Position 1955: 0.01589517970677797
Position 5246: 0.010250834015685193
Position 2119: 0.008771820563657252
Position 3311: 0.005895025568009003
Position 4321: 0.005806216369370972
Position 436: 0.00497620278918048
Position 2644: 0.004711505017893029
Position 2113: 0.0044527598027127805
Position 1390: 0.00431377733501592
Position 2143: 0.004079421379444714
Position 459: 0.0039463009959550726
Position 3010: 0.003923875809956918
Position 3053: 0.0036713463544549843
Position 2385: 0.003327085361472564
Position 3326: 0.0032687337231594327
Position 2356: 0.003105206811465877
Position 5039: 0.0030957530403760837
Position 836: 0.0028905728391429
Position 373: 0.0026995081100977055
Position 2561: 0.002649237930009768
Position 1572: 0.002353469906222053
Position 1734: 0.0020959948435866718
Position 2263: 0.0014985980979729532
Position 491: 0.0013820773080012322
Position 3274: 0.0013159950078645804
Position 5189: 0.0012367539199510222
Position 5071: 0.0011535937361572498
Position 5113: 0.0007989936807404153
Position 513: 0.0006787965613776084
Position 1681: 0.0006146556201602637
Position 4219: 0.0005000377539035144
Position 3223: 0.0004983015614623244
Position 221: 0.0004780160815178376
Position 4757: 0.0003710558802806648
Position 5453: 0.0003605889516492095
Position 4975: 0.00033928012397333617
Position 4971: 0.00025515396445146367
Position 1968: 0.0002472294991500902
Position 5127: 0.00022379377913560948
Position 200: 0.00016689593866568275
Position 912: 9.20633316776861e-05
Position 1949: 9.028715314674869e-05
Position 140: 3.921256945466758e-05
Position 875: 3.129617962640046e-05
Position 681: 3.0949265094619357e-05
Position 1535: 2.899209054320651e-05
Position 1019: 1.6454804792247386e-05
Position 738: 1.635409387621563e-05
Position 1174: 1.6024937581774677e-05
Position 671: 1.4682516320721291e-05
Position 1121: 1.3963903084161055e-05
Position 2140: 1.3856466111122434e-05
Position 330: 1.3362630355932914e-05
Position 282: 1.2894811217066202e-05
Position 170: 1.2883059917736051e-05
Position 942: 1.2424511260635303e-05
Position 579: 1.2129484983196545e-05
Position 1015: 1.2085501461027517e-05
Position 1035: 1.1442596739975723e-05
Position 1394: 1.0262935843627975e-05
Position 1561: 9.130101170753008e-06
Position 761: 8.572689090659402e-06
Position 1162: 8.226411436055758e-06
Position 400: 8.152976086733528e-06
Position 4660: 7.621872024355896e-06
Position 4769: 5.963496287651503e-06
Position 360: 5.893686979706769e-06
Position 202: 5.59121748174134e-06
Position 1006: 5.521024648823921e-06
Position 4682: 4.5021954411324604e-06
Position 1291: 4.405965599782108e-06
Position 1029: 4.0928409015258805e-06
Position 1083: 3.6337593255001814e-06
Position 406: 2.97077090966789e-06
Position 395: 2.812531036094216e-06
Position 1185: 2.79402470639136e-06
Position 338: 2.282576590298891e-06
Position 636: 2.1034799513643056e-06
Position 1351: 2.0659431377336916e-06
Position 817: 1.9308589762411552e-06
Position 666: 1.8675809676858877e-06
Position 656: 1.8120044680845698e-06
Position 736: 1.4408692934661086e-06
Position 332: 1.2277708174345737e-06
Position 318: 1.2074458339568467e-06
Position 718: 1.1578526725073749e-06
Position 916: 1.1379107312672336e-06
Position 260: 4.2669730795387136e-08
Position 9: 1.6408615412964254e-08
Position 268: 1.6319757423361647e-08
Position 50: 1.3953982445165198e-08
Position 223: 1.2525484683488461e-08
Position 248: 9.389240619919174e-09
Position 4176: 7.768492710109939e-09
Position 393: 3.346542443156722e-10
Position 262: 3.144523612595765e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4992: 0.7266850128585416
Position 3222: 0.702197118068624
Position 4567: 0.6751643859302767
Position 4025: 0.5740001568880836
Position 3132: 0.25515870645852834
Position 5298: 0.23178512058099804
Position 4544: 0.1885787151752808
Position 1790: 0.10120320907048791
Position 1903: 0.09633168454174569
Position 1478: 0.08575549384067811
Position 4472: 0.0769810665696932
Position 2041: 0.0738018405734625
Position 3010: 0.07115612117888179
Position 3176: 0.06838977209632856
Position 5151: 0.0489431128622656
Position 2938: 0.04715732467909727
Position 4628: 0.044889661144785285
Position 2240: 0.03886123024085284
Position 4874: 0.03852328643064422
Position 1718: 0.033210298338182426
Position 2916: 0.03275500195206057
Position 2508: 0.03199894514674941
Position 3020: 0.024926556688314696
Position 1811: 0.02252905802941113
Position 3642: 0.02048798878631851
Position 5430: 0.01872239123396026
Position 1604: 0.0185942357610327
Position 2262: 0.016822399019319798
Position 1933: 0.016075188845031778
Position 5225: 0.014388618026185386
Position 5394: 0.014139613001698165
Position 1770: 0.012738365538099735
Position 271: 0.012495009520606492
Position 1856: 0.011538532396866653
Position 1545: 0.01084159372801031
Position 5135: 0.006995611495287536
Position 2970: 0.006664714468945647
Position 2445: 0.005492016630326059
Position 2530: 0.004532695447155748
Position 5014: 0.004462022421649941
Position 5530: 0.004425548863789023
Position 4503: 0.003956454559545703
Position 2857: 0.003949960938740159
Position 4290: 0.003448201996432489
Position 2024: 0.0034025152627710177
Position 5334: 0.0027938510427421128
Position 4921: 0.0026056031447665444
Position 2869: 0.0025359732175998205
Position 5100: 0.00244276518799752
Position 2482: 0.002413099569071704
Position 2973: 0.0023772992388804786
Position 2960: 0.002336234759960064
Position 5434: 0.002325010566770573
Position 3605: 0.0022994869330050824
Position 2078: 0.0021198741589531643
Position 3561: 0.0019509045401554575
Position 4168: 0.0019042533989761666
Position 1239: 0.001690224395658629
Position 5228: 0.0016857468021874377
Position 1749: 0.0016369708511632384
Position 5049: 0.001576834155477867
Position 5038: 0.001534838283543042
Position 4237: 0.001484632876713915
Position 5343: 0.0013675278148434168
Position 1288: 0.0013458138402652794
Position 3107: 0.0013047439009940777
Position 771: 0.0012951318556227475
Position 2773: 0.0011827060718298814
Position 5554: 0.0011211734347036624
Position 3230: 0.0011052462525288468
Position 1681: 0.001070957212574262
Position 680: 0.001025569541644233
Position 5571: 0.0009502576443329916
Position 1277: 0.0008524485915637429
Position 1684: 0.0008462753319173732
Position 1794: 0.0007238561724481033
Position 2814: 0.0007049121688759194
Position 409: 0.0006751248896951248
Position 2490: 0.0006050630836040357
Position 1733: 0.0005643777499453535
Position 490: 0.0004951399923478379
Position 4680: 0.00047000054159229774
Position 1756: 0.0004682498147653749
Position 1631: 0.0004364451336211612
Position 4036: 0.00035464150327205987
Position 730: 0.0003369691631531468
Position 2464: 0.00030966034365948494
Position 4667: 0.00022838942128658283
Position 5448: 0.00022445766458306968
Position 4852: 0.00018155926605481536
Position 1248: 0.00017517872832179923
Position 3725: 0.00016737316757886822
Position 353: 0.00016204802507975493
Position 3686: 0.00013583503980330933
Position 929: 0.00012524632882125432
Position 5634: 0.00010866292598602824
Position 2402: 8.937919286705234e-05
Position 1907: 8.752544356874238e-05
Position 687: 8.35831210550785e-05
Position 2135: 8.238368571746232e-05
Position 4821: 7.417569312304445e-05
Position 5401: 7.295818530936733e-05
Position 318: 5.589184543561934e-05
Position 1209: 5.427394229287186e-05
Position 1383: 4.0410107039179536e-05
Position 4366: 3.236251211251895e-05
Position 2460: 2.5183877733154133e-05
Position 985: 2.4431290654941765e-05
Position 745: 2.2788237374836387e-05
Position 999: 2.0768524802607433e-05
Position 755: 2.0334932475358063e-05
Position 2245: 1.9221337470579145e-05
Position 1687: 1.9064595459708653e-05
Position 1386: 1.4825441182703027e-05
Position 733: 1.4803123063765176e-05
Position 275: 1.4521177569857866e-05
Position 1220: 1.4179173940498758e-05
Position 1698: 1.4163650591474114e-05
Position 1492: 1.3766770377173834e-05
Position 1258: 1.3457418156656728e-05
Position 905: 1.326159127904227e-05
Position 1126: 1.1197657070287551e-05
Position 2286: 9.833250493519013e-06
Position 1637: 9.769712051403877e-06
Position 587: 9.272132001719378e-06
Position 1349: 8.92383961567443e-06
Position 4940: 7.797768384305298e-06
Position 1091: 7.2888201839830966e-06
Position 823: 6.888553172854631e-06
Position 1329: 3.3226822696717186e-06
Position 554: 2.455998799340488e-06
Position 1315: 2.425607323887294e-06
Position 592: 1.7272740291901738e-06
Position 1094: 1.4892343380234896e-06
Position 1310: 1.3666560932912439e-06
Position 242: 1.1841985940330415e-06
Position 696: 9.753870327502376e-07
Position 435: 7.450021071986819e-07
Position 429: 6.564600592183796e-07
Position 386: 5.3419645827276e-07
Position 727: 5.063615885791554e-07
