Gene = Ung
index = 1166
Annotated 5SS: [ 588 1351 5036 5510 6406]
Annotated 3SS: [1254 4937 5420 6226 7309]
SMsplice 5SS: [ 175  588 1351 5036 5510]
SMsplice 3SS: [ 392 1254 4937 5420 6226]
top_k =  500
Partition function (log Z): -1.3257906532169752

Sorted 5' Splice Sites (High to Low Probability):
Position 1351: 0.9362528598359733
Position 588: 0.86480463286794
Position 5510: 0.7870360564436393
Position 5036: 0.7474548472649769
Position 6406: 0.540263620290058
Position 175: 0.511188160998352
Position 3803: 0.21152710125776278
Position 3931: 0.1653491187518001
Position 3674: 0.13199787898059345
Position 592: 0.11183182002431605
Position 5567: 0.051464576141000036
Position 4209: 0.04796002208697642
Position 5114: 0.04609174917429171
Position 235: 0.03617203115473893
Position 5174: 0.028487203027871142
Position 6110: 0.020800129839244605
Position 7024: 0.015247973613469757
Position 1811: 0.014308752823404637
Position 2182: 0.014272256537200484
Position 4938: 0.013509077520439165
Position 274: 0.01141885355864704
Position 1421: 0.010664643883613826
Position 5496: 0.010260356082693508
Position 6112: 0.009092062146574405
Position 201: 0.008969596442997907
Position 5237: 0.007876811576469337
Position 6144: 0.007321360998708385
Position 659: 0.006447458072838673
Position 167: 0.005385465349521853
Position 1709: 0.005354296013715276
Position 5684: 0.005038688751937183
Position 184: 0.004925030333611185
Position 8183: 0.004403164285085366
Position 790: 0.003926996300652975
Position 7541: 0.0038415049029495523
Position 3887: 0.003709714777276512
Position 283: 0.0036076966445627166
Position 4342: 0.003601236841185286
Position 90: 0.0034972341246840627
Position 4543: 0.0032959896080430495
Position 5247: 0.003106174447326853
Position 5801: 0.0030694732693210443
Position 1448: 0.0029359587623112547
Position 4805: 0.002778450998845973
Position 323: 0.0026909477776364947
Position 5278: 0.002635455273980051
Position 4944: 0.002312750363108104
Position 828: 0.002071044685968472
Position 6114: 0.0020405722355862333
Position 2886: 0.001964908500490855
Position 768: 0.0019381132666414925
Position 4631: 0.001927033397657113
Position 977: 0.0018350135371057298
Position 7489: 0.0014177795091313034
Position 5102: 0.001266343832391511
Position 177: 0.0012345993813458478
Position 5965: 0.0012278186254773306
Position 6082: 0.0011963362660431063
Position 6566: 0.0011808398074948
Position 6156: 0.0011807477424859991
Position 1398: 0.0011648367367446627
Position 6067: 0.0009636555416540195
Position 689: 0.0009434100003799222
Position 24: 0.0008753214532009343
Position 602: 0.0008003074613729803
Position 33: 0.0007690794789681285
Position 206: 0.0007206311524946429
Position 3704: 0.0006871883738867807
Position 332: 0.0006055939665321058
Position 6913: 0.0005427168972232261
Position 4801: 0.0005357806006559168
Position 6101: 0.0005306204005373115
Position 554: 0.0004961620964903412
Position 5973: 0.0004649429804002112
Position 1213: 0.00041052050956884875
Position 1896: 0.00039399451970217035
Position 109: 0.0003900199863856442
Position 5675: 0.00032377323798853195
Position 4539: 0.00031639827124713924
Position 3709: 0.0002827809567530464
Position 4050: 0.0002730537514623467
Position 8258: 0.00023757197690912906
Position 575: 0.00019082107319468396
Position 309: 0.00017693065426434965
Position 772: 0.00015098680344802052
Position 258: 0.00013180767019108224
Position 5928: 0.00013014832813237223
Position 1161: 0.00012838974000514586
Position 5989: 0.00011075411765791437
Position 868: 0.00010378340763255001
Position 780: 9.98067363101195e-05
Position 582: 9.229881913602781e-05
Position 516: 8.394098616982005e-05
Position 563: 8.360170126151141e-05
Position 943: 7.545715097466163e-05
Position 237: 5.559958198649724e-05
Position 60: 5.3295829285774095e-05
Position 1335: 2.0013331869464238e-05
Position 1472: 1.851128467834119e-05
Position 1366: 1.2995633783552788e-05
Position 417: 9.636532365422511e-06
Position 1455: 4.023702110946184e-06
Position 1315: 3.367783666251372e-06
Position 6344: 1.9073145153165506e-06
Position 6321: 1.8210811346774531e-06
Position 1435: 7.58494851043759e-07
Position 5571: 3.2010366098907873e-07
Position 5715: 2.4611031862537497e-07
Position 5575: 3.8699145766279444e-08
Position 620: 1.3100050350253324e-08
Position 6319: 7.097003048431845e-09
Position 6316: 6.867129937372388e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6226: 0.8440333784863461
Position 5420: 0.8410786103994827
Position 1254: 0.8266312138283703
Position 4937: 0.7660623821432341
Position 392: 0.5494197881031522
Position 8032: 0.17027877012735224
Position 3585: 0.16938476907151617
Position 3643: 0.12081640733799467
Position 5879: 0.11114610775986705
Position 3866: 0.09690519447843837
Position 6502: 0.0815438079773106
Position 8131: 0.07834772719863116
Position 7309: 0.06417922476997966
Position 3798: 0.06051833647288999
Position 4101: 0.049393066075393975
Position 1314: 0.0482975409794573
Position 7469: 0.04617600275160162
Position 4864: 0.04395026172056644
Position 3546: 0.039509777576995156
Position 1276: 0.0384997890969572
Position 5058: 0.030445137980074175
Position 7330: 0.028773932370338078
Position 1206: 0.02468549052448291
Position 6469: 0.022295309864989662
Position 7992: 0.02123295435916249
Position 6593: 0.019384656879231132
Position 8257: 0.018887606959625016
Position 7362: 0.018797406998817396
Position 6912: 0.018166098720577603
Position 1580: 0.014484861058611164
Position 4961: 0.011640367579792301
Position 5346: 0.009761755029751235
Position 1959: 0.009675241580528928
Position 7644: 0.009108714028872223
Position 5240: 0.008821232889343647
Position 3476: 0.00842450871687403
Position 7486: 0.007603387923709397
Position 6891: 0.006332622916382945
Position 8299: 0.006294102485348137
Position 473: 0.006039121852141558
Position 7394: 0.005839266965486766
Position 458: 0.005604236357592604
Position 3674: 0.005542234125824456
Position 4365: 0.005244286805044219
Position 5319: 0.004834290646003219
Position 3461: 0.004682816211895134
Position 6430: 0.004533113022601766
Position 499: 0.004457979904468911
Position 397: 0.004084134266085861
Position 679: 0.0039315600573948065
Position 1185: 0.0038875675904447658
Position 1293: 0.0035865600336629387
Position 1280: 0.0034444819926578705
Position 4607: 0.0033142315995018895
Position 5440: 0.0031240050601394065
Position 3752: 0.0029936671120772496
Position 6673: 0.0027367323781255725
Position 3774: 0.0025536699880814914
Position 455: 0.0023915746634188993
Position 448: 0.0022590120708985595
Position 425: 0.0021435640610064943
Position 7411: 0.0018555238566031547
Position 1699: 0.0017875040581064893
Position 2773: 0.0016120413026650532
Position 3615: 0.001573108512147589
Position 1031: 0.0015410536260199535
Position 2137: 0.001464242080564542
Position 5724: 0.0013357443562421326
Position 3685: 0.001323033568593234
Position 6917: 0.001318726979847905
Position 717: 0.0012380404773429646
Position 5627: 0.0012293176280468473
Position 911: 0.0011786848726644897
Position 6285: 0.001071565340423757
Position 684: 0.0010493048379342398
Position 5918: 0.001048288875708651
Position 2052: 0.0010120787171435882
Position 1656: 0.0009857147742863429
Position 5005: 0.000949174690955359
Position 7334: 0.0009338301973678619
Position 7414: 0.0009176486247679503
Position 1755: 0.0008681500960113175
Position 2040: 0.0008535518170617423
Position 5452: 0.0008316867020669242
Position 3728: 0.0008146125573769423
Position 1789: 0.0008118976209471032
Position 6771: 0.000782989105199449
Position 482: 0.0007504221617443767
Position 6923: 0.0007395708723827473
Position 1708: 0.0006895902089588732
Position 475: 0.0006855068891915024
Position 7879: 0.0006480914567877753
Position 345: 0.0006252948272653955
Position 1969: 0.0006167205111846042
Position 7659: 0.0006145151036172112
Position 343: 0.0005806346701531561
Position 852: 0.0005570106044033626
Position 1311: 0.0005360630283330541
Position 2079: 0.000531503449477113
Position 7698: 0.0004959388588020664
Position 7312: 0.0004460083997574544
Position 410: 0.0004238834372271952
Position 252: 0.0004153417658062949
Position 3968: 0.0003949476130371387
Position 7380: 0.0003898289768048624
Position 720: 0.0003892240999556557
Position 269: 0.000313604032870421
Position 3802: 0.00031016418270108764
Position 4943: 0.00029805434126234647
Position 4465: 0.0002951344719030816
Position 1614: 0.0002875652721930379
Position 8370: 0.00023757197690912955
Position 6607: 0.00023428026499806149
Position 3732: 0.0001935335768726908
Position 2810: 0.0001801385499259251
Position 5983: 0.00016719620490305767
Position 914: 0.0001529437645818929
