Gene = CG17219
index = 405
Annotated 5SS: [ 46 680]
Annotated 3SS: [104 731]
SMsplice 5SS: [ 46 680]
SMsplice 3SS: [104 731]
length: 1364
Partition function (logZ) = -3.544630452796901
#Introns = 798
5SS, 3SS, prob
46, 104, 0.9276176856622617
680, 731, 0.8209405511861013
264, 731, 0.08589913030072147
264, 488, 0.055112409356051016
264, 568, 0.028385883317884775
264, 465, 0.023872242730054383
633, 731, 0.010511542667268513
46, 144, 0.00961581092195441
46, 240, 0.009405360122943868
264, 542, 0.008266686130281238
377, 731, 0.006042809792543307
377, 488, 0.005709475458379827
46, 123, 0.005335629546173674
662, 731, 0.005091527471868021
264, 822, 0.0040824612190873445
377, 465, 0.003815489871882478
264, 367, 0.002675465770139946
568, 731, 0.0025175262030646076
680, 822, 0.0023280956037847215
46, 731, 0.0023064713398006117
449, 731, 0.002023527249233903
377, 568, 0.0016510947935459853
264, 311, 0.001584632133203625
46, 488, 0.0009888389411384004
46, 193, 0.0009566692589914032
449, 568, 0.0009316849014572
264, 938, 0.0007311561126312892
516, 568, 0.0005809165466589979
295, 731, 0.0005444742045732302
273, 731, 0.0005436090375408796
377, 542, 0.0005238938496128083
1078, 1218, 0.0005197980414343613
377, 433, 0.0005105229362808328
264, 469, 0.0005047825308833281
46, 568, 0.0004986441829391198
264, 424, 0.0004868878722134786
273, 488, 0.0004798612698027929
46, 165, 0.00047375797181435484
264, 574, 0.000468884386005617
412, 488, 0.0004555204405439608
412, 465, 0.00043740630281015064
46, 465, 0.00042403708540661325
449, 542, 0.0003699235861276996
1078, 1197, 0.00036302947264362276
188, 240, 0.0003346418232521548
264, 433, 0.0003232299639708825
264, 944, 0.0002995399810866956
295, 488, 0.00028004882357995735
46, 120, 0.0002733228235193791
680, 938, 0.00025174989420202856
264, 1218, 0.00022014195798454556
273, 568, 0.00021511131246742765
311, 731, 0.0002131054805101247
46, 542, 0.0001949823991992968
264, 511, 0.0001763333792986985
264, 829, 0.00017588614073615734
273, 465, 0.00016655631088936722
264, 589, 0.00015870891723238764
516, 731, 0.00015845733776681777
633, 822, 0.0001505216667617595
377, 822, 0.00014820984145172972
295, 568, 0.00013401475800431742
311, 488, 0.00013024847780492094
377, 424, 0.00011909140066775181
680, 738, 0.0001177514914114405
680, 944, 0.00011673488945796745
295, 465, 0.0001148678140450321
449, 511, 0.00010596529579493875
264, 597, 0.00010323727359214732
680, 829, 0.00010082637632913822
295, 367, 9.825683873514589e-05
412, 731, 9.619056469271628e-05
264, 376, 9.23219747219924e-05
311, 367, 8.655449320238406e-05
264, 1197, 8.376053103645984e-05
680, 1218, 8.29744549409241e-05
46, 822, 8.141946542384412e-05
264, 801, 7.849576761156849e-05
5, 68, 7.423843416744546e-05
264, 877, 6.952195576266195e-05
377, 469, 6.642407592367829e-05
449, 822, 6.513830119448893e-05
19, 104, 6.284995810802448e-05
311, 465, 6.213516919414654e-05
568, 822, 5.906780536275578e-05
273, 542, 5.616595959351024e-05
5, 104, 5.43492943733224e-05
680, 801, 5.333669660596738e-05
469, 542, 5.3011143664917064e-05
311, 568, 5.247688555584695e-05
16, 104, 5.181117377142922e-05
469, 731, 4.679684724356623e-05
264, 706, 4.280458777818717e-05
295, 542, 4.0889600503957304e-05
46, 244, 4.035611538263313e-05
264, 673, 3.952264239701292e-05
377, 938, 3.8557664115004265e-05
412, 568, 3.458566445443194e-05
680, 877, 3.445670169200446e-05
264, 849, 3.3508747398872296e-05
503, 568, 3.288849210699904e-05
501, 568, 3.278272143707832e-05
264, 809, 3.237080624775033e-05
273, 822, 3.105260780305898e-05
1078, 1224, 3.07528875808519e-05
469, 568, 3.0403344608730132e-05
680, 1197, 2.903023513496436e-05
829, 938, 2.8460072940572705e-05
377, 436, 2.7547248168990087e-05
680, 849, 2.743876026953486e-05
46, 247, 2.7108205256162817e-05
633, 706, 2.6912401839985683e-05
16, 68, 2.6904318745689797e-05
377, 574, 2.6160456799480217e-05
46, 367, 2.52612503177395e-05
104, 240, 2.520287940932929e-05
633, 938, 2.476316131880465e-05
273, 367, 2.4465234748270204e-05
599, 731, 2.295757453722186e-05
169, 240, 2.236319341847235e-05
46, 215, 2.145347395330851e-05
680, 809, 1.956584121411025e-05
516, 574, 1.796745834706111e-05
311, 542, 1.629419617974746e-05
104, 165, 1.615582351063222e-05
377, 944, 1.614796979367496e-05
295, 822, 1.5468304995561387e-05
264, 385, 1.50409185001479e-05
19, 68, 1.4986108037032993e-05
264, 436, 1.487922710848701e-05
377, 511, 1.4814670999747499e-05
449, 574, 1.407149152591134e-05
829, 944, 1.4009968627213122e-05
829, 877, 1.3656356211014584e-05
264, 1224, 1.3630515099866916e-05
412, 469, 1.3417545111029993e-05
377, 589, 1.296839138927751e-05
