Gene = Gm29695
index = 479
Annotated 5SS: [33]
Annotated 3SS: [12851]
SMsplice 5SS: [  33 5487 7145 8944 9785]
SMsplice 3SS: [ 5339  7054  8886  9696 12089]
top_k =  1000
Partition function (log Z): -9.982227495578783

Sorted 5' Splice Sites (High to Low Probability):
Position 8944: 0.8351595535660177
Position 5487: 0.8049523417854163
Position 9785: 0.7397217817554674
Position 33: 0.7354022724531708
Position 7145: 0.5477919680478854
Position 12652: 0.2748633239527176
Position 12139: 0.2166185485156668
Position 3251: 0.2052994303720569
Position 10331: 0.17832400857732483
Position 10097: 0.1483279704237352
Position 4621: 0.14046959334159168
Position 12985: 0.13280871082572424
Position 14051: 0.12116875766975117
Position 309: 0.1208652449425754
Position 8421: 0.11584933617035656
Position 7131: 0.10652451084636311
Position 7948: 0.08437609276481461
Position 9616: 0.08394266479744521
Position 2660: 0.07881991920047168
Position 11846: 0.07768422501123685
Position 10482: 0.07088098170356799
Position 586: 0.0697698598283032
Position 1410: 0.06571574868682534
Position 9151: 0.048292854201292285
Position 12733: 0.03972103731455531
Position 6530: 0.03555417697299784
Position 5108: 0.0349892895293145
Position 5460: 0.034799029425336435
Position 94: 0.03377910368582815
Position 1375: 0.028900007642571095
Position 14583: 0.024529327398707654
Position 12983: 0.022304373406489827
Position 12254: 0.02181295746978611
Position 7480: 0.02021205297079641
Position 8399: 0.017761666875418507
Position 5432: 0.01675901303454515
Position 7136: 0.014454883514585936
Position 8313: 0.013913012851890087
Position 12246: 0.0120605064668147
Position 7936: 0.01068947746759964
Position 1847: 0.009240242233133826
Position 1048: 0.008936031415085076
Position 2442: 0.00839304637992638
Position 10315: 0.008191163367408778
Position 5721: 0.007545764794336176
Position 4749: 0.007540631799848874
Position 5422: 0.007433145450187221
Position 290: 0.0073381404503017915
Position 516: 0.0072082947206485995
Position 1186: 0.006728395542923395
Position 8743: 0.006503193696035381
Position 2588: 0.005734420591881978
Position 9428: 0.005319664579181101
Position 7187: 0.005160637203900006
Position 61: 0.005042526123294675
Position 8364: 0.005040625237005692
Position 13444: 0.00472546686470092
Position 9745: 0.004517602376251992
Position 9473: 0.003845332396682361
Position 3082: 0.003594460003493881
Position 745: 0.0032637030608571576
Position 13083: 0.0032453896375664983
Position 2011: 0.003234221321936412
Position 8295: 0.0032278343745476682
Position 8787: 0.0032160681478446006
Position 11412: 0.0030494376567059295
Position 8036: 0.0029578882433473823
Position 1334: 0.0026752842257072996
Position 9521: 0.002579677541695898
Position 5708: 0.002428335271428535
Position 12703: 0.0021992292038718
Position 14990: 0.0019427100833232154
Position 6188: 0.001690759006511594
Position 4940: 0.0016475610252491553
Position 14362: 0.0016247551555193759
Position 6687: 0.0015425218509872878
Position 1064: 0.0014479558931397225
Position 6712: 0.0013053344307404503
Position 5503: 0.0012960583829962392
Position 615: 0.001217278715463106
Position 495: 0.0011347388677498352
Position 1034: 0.0008665595931349169
Position 1526: 0.0008259965015561938
Position 5754: 0.0007815692233372469
Position 9895: 0.0007370112531518981
Position 9316: 0.0007268268892247396
Position 37: 0.0006375103381478771
Position 5898: 0.0005530375020278685
Position 6577: 0.0005392550369950875
Position 6562: 0.0005374090334029747
Position 10446: 0.00047219834832256665
Position 2724: 0.00044640894987100826
Position 6896: 0.00041764979811185175
Position 215: 0.0004063876214352669
Position 12017: 0.0003898755626992772
Position 12641: 0.0003226912495181269
Position 11445: 0.0002968528584099186
Position 5607: 0.0002524531880092927
Position 70: 0.0002479653542828427
Position 125: 0.00022940158687936342
Position 2824: 0.0002112240123226036
Position 9761: 0.0002097755339698577
Position 11047: 0.0001813938256897366
Position 278: 0.0001716212988451708
Position 7675: 0.0001250441030060666
Position 12593: 0.00010506690610752251
Position 1326: 9.555969597939472e-05
Position 2402: 7.850317336892526e-05
Position 862: 6.585368007431518e-05
Position 1014: 6.211671223871356e-05
Position 843: 5.6772490999782605e-05
Position 1245: 4.8477946782695806e-05
Position 1648: 3.749598740364496e-05
Position 2295: 3.605230704668346e-05
Position 2388: 3.458531712131496e-05
Position 2229: 3.193645117101594e-05
Position 670: 3.1399600681309084e-05
Position 1439: 3.091290516850327e-05
Position 979: 3.0452052605939406e-05
Position 1893: 2.7295601714521334e-05
Position 1414: 2.5987944825904953e-05
Position 13057: 2.505412182542223e-05
Position 1168: 2.15671697000627e-05
Position 1842: 1.760395457060217e-05
Position 1121: 1.1751280722209184e-05
Position 488: 6.833378902673289e-06
Position 264: 6.054249137483863e-06
Position 456: 5.573916048125687e-06
Position 1192: 4.801468243090179e-06
Position 1101: 4.778078744348321e-06
Position 338: 3.616661023029196e-06
Position 1113: 3.452330550446709e-06
Position 531: 2.9186204222104983e-06
Position 373: 2.9185835939185598e-06
Position 400: 2.641362206327623e-06
Position 560: 1.8387334438655632e-06
Position 1174: 5.843704692800642e-07
Position 1159: 5.790340845158533e-07
