Gene = NUCKS1
index = 969
Annotated 5SS: [  320 20705 22577 26351 29776 30750]
Annotated 3SS: [20654 22470 26294 29622 30599 31796]
SMsplice 5SS: [  320 20705 20891 22577 26351 29776 30750 34821]
SMsplice 3SS: [20654 20812 22470 26294 29622 30599 34727 34920]
top_k =  100
Partition function (log Z): -24.483178470658864

Sorted 5' Splice Sites (High to Low Probability):
Position 320: 0.9991323496659215
Position 2194: 0.003139090165941788
Position 1706: 0.0016176122236051167
Position 44: 0.001296558632826202
Position 952: 0.0011209062060059847
Position 1626: 0.001008972370126078
Position 187: 0.0008634161741383989
Position 1856: 0.0006716815908695613
Position 2058: 0.00045279438557760746
Position 1154: 0.0002768992541274276
Position 1097: 0.00025405600877069224
Position 48: 0.00023414913025869395
Position 216: 0.00012600480593522219
Position 227: 0.00012006018955552846
Position 19: 3.6857672129141057e-06
Position 349: 3.634889148320577e-06
Position 85: 3.4776716821884747e-06
Position 201: 3.3500932709047585e-06
Position 786: 1.7153568513478084e-06
Position 324: 1.0514459936154972e-06
Position 248: 9.097909078199234e-07
Position 128: 4.55533350949864e-07
Position 53: 1.992985449278078e-07
Position 164: 7.634314980400129e-08
Position 17: 1.9428449627296214e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 14627: 0.680888680715211
Position 12897: 0.05613810107735796
Position 9669: 0.04136257014050762
Position 11393: 0.040265742018121393
Position 2307: 0.020373087972858993
Position 8483: 0.017603756655430573
Position 7907: 0.01494058282107251
Position 5747: 0.012874341162448328
Position 1483: 0.012695924286390521
Position 1978: 0.012322086937141508
Position 2051: 0.009935842360866066
Position 1599: 0.009223867069888378
Position 8283: 0.008164416237246059
Position 890: 0.007028297691152286
Position 4008: 0.006873268921501211
Position 4770: 0.004970810369622451
Position 4795: 0.004751593808970238
Position 7478: 0.004573891859491717
Position 1011: 0.003991053239843632
Position 2884: 0.0034704175411194253
Position 3591: 0.002991248010094987
Position 1058: 0.0029412025255410586
Position 6331: 0.002473834124246942
Position 1507: 0.002317977029379818
Position 3202: 0.0021866529492541526
Position 542: 0.002123467652568961
Position 3788: 0.001986151377906469
Position 1849: 0.0017893232249951276
Position 2057: 0.001531990176402118
Position 138: 0.001516856585390884
Position 2507: 0.0012904525346461332
Position 4706: 0.0012571264072032621
Position 4198: 0.0012040317844664802
Position 3565: 0.0010948082230251485
Position 2661: 0.0010817947911398286
Position 2758: 0.0009579765957874054
Position 297: 0.0009276692677699858
Position 2999: 0.0008972419317939869
Position 731: 0.0008955452755602757
Position 3887: 0.0008304546647683302
Position 811: 0.0007918601217075699
Position 1277: 0.0007684001271057522
Position 2641: 0.0005486755350318222
Position 2555: 0.000541829660938556
Position 1936: 0.0005140776419014852
Position 688: 0.0004668163340463185
Position 771: 0.0004648108805352603
Position 2366: 0.0004150353774670511
Position 835: 0.00039043512545568914
Position 1452: 0.00035754610081442244
Position 584: 0.0002554730012500506
Position 1697: 6.648569176772692e-05
Position 952: 5.734464547133293e-06
Position 141: 1.256321352401475e-06
Position 106: 3.045066807970512e-07
Position 159: 2.4751343934494496e-07
