Gene = AT2G44735
index = 540
Annotated 5SS: [  94  230  696 1411 2145 2260 2468]
Annotated 3SS: [ 172  553  968 2096 2243 2407 2773]
SMsplice 5SS: [327]
SMsplice 3SS: [491]
length: 3059
Partition function (logZ) = -11.502469819849107
#Introns = 1278
5SS, 3SS, prob
327, 491, 0.3914769246827492
2582, 2664, 0.1550997878412559
1982, 2128, 0.14924373276073893
1982, 2092, 0.1319386675265373
1982, 2113, 0.09650411770633707
621, 910, 0.0946048865507306
327, 910, 0.059736770591641564
2260, 2363, 0.05703712800617959
1982, 2363, 0.05173503949822611
1764, 1886, 0.04972842377677042
1764, 1878, 0.04627118207490761
1982, 2407, 0.043144675816475006
327, 439, 0.03693941356137711
1764, 1855, 0.031177235330997484
2304, 2407, 0.030063983454345217
2548, 2664, 0.02798009861427224
1982, 2096, 0.026805768064959132
2326, 2407, 0.018785689466466114
2244, 2363, 0.016389543305802324
2260, 2407, 0.013679364896648328
331, 491, 0.010915790074625084
2273, 2363, 0.010814377001951809
2281, 2363, 0.01020023237747158
2732, 2869, 0.009653313725231188
2582, 2773, 0.00924487325058298
1169, 1265, 0.007930854268563015
387, 491, 0.007247737772566797
1982, 2433, 0.007111631979743585
2175, 2363, 0.006699508717576755
2244, 2407, 0.006014190253261698
621, 1886, 0.005943946087893652
1982, 2664, 0.005476213262350052
2548, 2773, 0.005135804598301241
2175, 2407, 0.005085150057534562
304, 491, 0.005035658254270335
327, 562, 0.005012666749517405
396, 491, 0.0042398041042359036
621, 1878, 0.00422303658425577
2582, 2731, 0.004148463263996672
327, 1886, 0.0039706047188206904
327, 553, 0.003905912045845851
2206, 2363, 0.003864223956602616
621, 1265, 0.003559087481091598
1537, 1886, 0.003073357387080625
1687, 1886, 0.0030610883124200195
327, 1878, 0.002818297609203041
2619, 2773, 0.0028174179574111126
2206, 2407, 0.002714040614530977
2619, 2731, 0.0025615708370155055
1764, 2128, 0.0024811092817229553
1982, 2773, 0.002466914880987613
327, 1265, 0.0023516001673646544
696, 910, 0.0022178959281928773
1537, 1878, 0.00218099900051727
