Gene = MED10
index = 828
Annotated 5SS: [ 233 1429 4271]
Annotated 3SS: [1344 4167 5992]
SMsplice 5SS: [ 233 1429 3844 4271]
SMsplice 3SS: [1344 3671 4107 5992]
length: 6714
Partition function (logZ) = -1.0217000151459854
#Introns = 2125
5SS, 3SS, prob
233, 1344, 0.4820060880808883
3844, 4107, 0.47503537018320724
1429, 3671, 0.36599032108378465
4271, 5992, 0.31074618662659614
3844, 4167, 0.2469028584301387
1053, 1344, 0.22614048544117907
3041, 3671, 0.18687222905067047
5871, 5992, 0.18683646029244716
233, 985, 0.18461518470188262
233, 527, 0.1338860394664568
1429, 2652, 0.08333454496419589
1429, 2924, 0.08180240687042602
4271, 6095, 0.07775512815117169
1429, 1780, 0.07694033141900322
3054, 3671, 0.07677077224226665
4271, 4668, 0.07092984651773371
657, 1344, 0.07091090542978752
4271, 4633, 0.06624299347166705
4271, 5694, 0.06553427588309002
4271, 4927, 0.060092015407569414
4271, 5641, 0.05574209273166229
4271, 5762, 0.04918532749408327
1429, 2942, 0.046670703714881925
1429, 2970, 0.04511492101269403
4271, 6115, 0.04211125051192248
3829, 4107, 0.03997988652418829
1429, 4107, 0.03666463835047201
625, 1344, 0.03206911779551701
233, 3671, 0.027617797575887386
1949, 3671, 0.027543858196224534
2754, 3671, 0.02742700655530428
657, 985, 0.026948753851791258
1429, 2335, 0.026346233817077975
5871, 6095, 0.025660220970704382
4271, 5709, 0.024508848672403053
1429, 4167, 0.02269639017199247
3829, 4167, 0.022200088175535287
233, 1182, 0.020158948942438977
1899, 3671, 0.01934401635087977
3901, 4107, 0.017502138370927654
3041, 4107, 0.01667510881986753
233, 928, 0.016210216378201338
4271, 5724, 0.015762297580910755
2746, 3671, 0.014589388685820746
1053, 1182, 0.01452735114010798
5871, 6115, 0.013964511717166637
1429, 2891, 0.013831483002263218
4271, 5668, 0.013479266366315494
3844, 5992, 0.013283123181370116
186, 1344, 0.012654107253615389
1429, 2649, 0.011744726768553137
4271, 4363, 0.011615472765064208
2754, 2924, 0.011218199912124766
2520, 3671, 0.011168130361133486
4271, 4545, 0.010479910731265977
3041, 4167, 0.010324762697739347
233, 789, 0.010211968552903147
3901, 4167, 0.0099191028534771
625, 985, 0.009830919339431091
1053, 3671, 0.009515344420380267
1273, 1344, 0.009333629985248247
1429, 2192, 0.009194510222665857
1264, 1344, 0.009185556474620873
4271, 5515, 0.008867628241495923
1281, 1344, 0.008844511807209611
233, 605, 0.008420619725006611
233, 1369, 0.008369683228274988
1429, 2494, 0.008330095356722784
1429, 3682, 0.008215957908121994
1429, 1722, 0.007685095938856734
6182, 6288, 0.0069426539095511835
1949, 2652, 0.006851434925094982
3054, 4107, 0.006703597754888924
1949, 2924, 0.006310448212047249
2495, 3671, 0.006306645168196489
233, 2924, 0.006211887515822565
2754, 2942, 0.006208847406021297
1429, 2600, 0.0061571156546647255
2734, 3671, 0.006094057306312671
233, 766, 0.006079942174057108
2746, 2924, 0.0058857054804696725
2520, 2652, 0.005799966466010166
233, 505, 0.005757236126546566
2803, 3671, 0.005605236332074816
2837, 3671, 0.0055772890713728165
2754, 2970, 0.005515911304482051
233, 2652, 0.005492733940126205
233, 559, 0.005372989457071303
4271, 4414, 0.005166154845958454
3369, 3671, 0.005118989940107381
2897, 3671, 0.005099971012122267
3844, 4175, 0.005095850931100302
2837, 2924, 0.005092727492485885
4271, 5599, 0.004997100923262327
4271, 4721, 0.004726534847074075
4271, 6211, 0.00463643897528818
233, 400, 0.004567208292626463
1899, 2652, 0.0044698148689634
186, 985, 0.004388221933290548
4271, 5767, 0.0043539128317526595
1899, 2924, 0.00418991176759145
1429, 1830, 0.004182849507405932
1429, 3648, 0.004161538185328567
2142, 3671, 0.004125600112361387
2336, 3671, 0.00409337239409955
233, 1780, 0.00409098711159451
4418, 5992, 0.004039108404770204
3041, 3682, 0.003987961036781326
3054, 4167, 0.003825466971495773
657, 3671, 0.0038071941280706473
6182, 6291, 0.003757881874821172
233, 892, 0.0037519135089973538
1053, 1369, 0.003739599442481805
1530, 3671, 0.0037291244711977986
2803, 2924, 0.0036957355858108303
233, 350, 0.0036945197070716485
3844, 4195, 0.0036761888307057363
233, 592, 0.003660513068592587
1429, 3587, 0.0036000427231969038
233, 2942, 0.0035609369735928403
1429, 2060, 0.0035428587969376433
233, 2970, 0.00341979721735504
1091, 1344, 0.0034146165749999267
186, 527, 0.003400166754795812
1949, 2942, 0.003290574612993817
1949, 2970, 0.0032869950265255027
3844, 6095, 0.003278114872549464
2746, 2942, 0.0032482284205000013
2520, 2924, 0.0031044578499187753
3844, 4111, 0.0030258237969901934
3027, 3671, 0.0030238435537223935
2746, 2970, 0.0029136511790120675
4271, 4583, 0.002895748559613273
657, 1182, 0.0027533865097035307
657, 928, 0.0026845862266214027
4271, 6288, 0.002680616487747749
657, 789, 0.0026694343494222225
1949, 4107, 0.0026329252571156677
2837, 2942, 0.002617423484806061
4271, 5087, 0.0025985977498381154
1073, 1344, 0.0025948684276506434
2754, 4107, 0.0025892829149960807
2495, 2652, 0.0025878494194673408
3844, 4668, 0.0025311986667487436
1206, 1344, 0.0025301294681121843
3844, 5694, 0.0024406461329438195
6182, 6363, 0.002418094235784876
2754, 2891, 0.002392382390039704
1429, 3533, 0.002324072769936826
657, 766, 0.0023105776006340562
1899, 2970, 0.002305423323080226
233, 4107, 0.0022966241646248525
3844, 4633, 0.00229235314179209
2734, 2924, 0.0022726692960872057
3844, 4927, 0.0022593502903429335
3844, 5641, 0.0022567186347698487
1053, 2652, 0.0022550008009460487
1053, 2924, 0.0021557150867495926
1899, 2942, 0.002148276036833651
3598, 3671, 0.0021234452161401174
4271, 6363, 0.002099091992952704
1429, 2823, 0.002096963831885125
3041, 3648, 0.002059264802972211
4271, 6041, 0.0020471496946861444
1053, 1780, 0.0020025193022566268
6182, 6317, 0.0019953974347814716
1949, 2335, 0.0019398556215313727
1429, 2519, 0.0019008090964710877
1234, 1344, 0.0018954845580946968
3844, 4058, 0.0018688809607575827
3041, 3587, 0.001830046861714963
1429, 3706, 0.0017829566120790325
2627, 3671, 0.0017529347983279429
4271, 5093, 0.0017287325862559268
1899, 4107, 0.0017180988741117265
233, 1231, 0.0017171017369649966
3844, 6115, 0.0017153399528212442
1429, 5992, 0.0017135528078126387
2520, 2942, 0.001662861099704084
1429, 3762, 0.0016517962491999325
714, 1344, 0.0016482883806870718
233, 2335, 0.0016071490726519671
2495, 2924, 0.0015903491855707723
3844, 3972, 0.0015671284374348545
3054, 3682, 0.0015656565863503822
4271, 6017, 0.0015552323351417942
4271, 4614, 0.001549537457429484
4271, 4601, 0.0015411636795046011
4271, 6291, 0.0015310142147483413
2803, 2942, 0.0015288510168800277
2837, 2970, 0.0015257324235279437
1949, 4167, 0.0015159702434095874
2897, 2970, 0.001511381516019589
2520, 2970, 0.001498102432809562
4786, 5992, 0.0014857157990622275
1155, 1344, 0.0014843825662184777
1429, 1533, 0.0014805149097670077
729, 1344, 0.0014321173259136928
625, 3671, 0.0014246108193907304
657, 1369, 0.0014147400973000771
233, 4167, 0.001410600754158145
2754, 4167, 0.0013978869813570413
2746, 4107, 0.0013735117960149055
3844, 5762, 0.0013671245914510834
1899, 2335, 0.0013336764408810706
3844, 3933, 0.001315211783082067
4271, 6317, 0.0013104597297394012
4271, 4898, 0.001282463069368925
1429, 1922, 0.0012801728681597685
4418, 4668, 0.0012682673997341828
4271, 5804, 0.001262206682515267
1429, 3186, 0.0012564056196350062
4271, 5229, 0.0012543518059167174
4271, 5547, 0.0012456480785598618
2272, 3671, 0.001241341414741884
3893, 4107, 0.0012399228197531734
1053, 2942, 0.0012328549096854084
3844, 4208, 0.0012231588430753966
4271, 6636, 0.0012013693342632823
2734, 2942, 0.001196047382586031
2803, 2970, 0.0011955704109394777
1053, 2970, 0.001188852663414015
2336, 2652, 0.0011863762576100616
5871, 6211, 0.0011833944579936928
3041, 3186, 0.001172930497160701
4271, 4901, 0.0011704766504660388
1429, 1782, 0.0011622949251641358
2734, 2970, 0.001157091042506746
4271, 6583, 0.001148378775352439
4418, 4633, 0.0011456463049755445
3829, 5992, 0.0011176049091934392
3844, 4123, 0.0011113072159229997
2746, 2891, 0.0010988480610507687
3041, 3533, 0.0010897785943421562
2142, 2652, 0.0010704780335412582
1899, 4167, 0.0010622203231888852
233, 2891, 0.001057710229350875
625, 1182, 0.0010350451141048335
1053, 1231, 0.0010278233231724753
1530, 1780, 0.0010272912028109881
4271, 5925, 0.0009774571959480034
2520, 4107, 0.0009570988643580163
1949, 2891, 0.0009543647187492243
4418, 6095, 0.0009415038679882983
233, 1193, 0.000940167529422356
1053, 4107, 0.0009390345922144676
1949, 2649, 0.0009224577450545162
2336, 2924, 0.0009210361361022634
2142, 2924, 0.0009142187838728286
657, 2652, 0.0009132894568664122
625, 928, 0.0009071429337390927
6182, 6583, 0.0008847984505163337
1530, 2652, 0.0008733356652930045
6182, 6636, 0.0008708159954321947
657, 2924, 0.0008615073563731331
1949, 2192, 0.0008283524728919339
2520, 2649, 0.0008264959890308777
4418, 4927, 0.0008237428907651923
2495, 2942, 0.00081071722591528
