Gene = AT4G20310
index = 849
Annotated 5SS: [ 395  557  830  986 1501 1877]
Annotated 3SS: [ 464  681  904 1068 1576 1957]
SMsplice 5SS: [ 395  557  810  986 1501 1877]
SMsplice 3SS: [ 464  659  904 1068 1576 1957]
length: 2534
Partition function (logZ) = 16.360414639511244
#Introns = 1414
5SS, 3SS, prob
986, 1068, 0.9752175567678041
557, 659, 0.9340530730699719
810, 904, 0.8758654856248516
395, 464, 0.8569271339929739
1877, 1957, 0.7583799255155398
1501, 1576, 0.5607263941761471
1489, 1576, 0.4222644374828859
1299, 1381, 0.3028373898113758
1877, 1988, 0.18870995441725266
395, 480, 0.12631717824634064
830, 904, 0.09770403326951661
1299, 1416, 0.0597470779677326
1705, 1795, 0.05316856666704787
1877, 2019, 0.03247816779924026
10, 95, 0.023903645457747903
557, 643, 0.019503396232420356
557, 722, 0.016412816495465186
1719, 1795, 0.015417710785356704
2131, 2241, 0.012398681789244942
1671, 1795, 0.011303811015420944
1671, 1745, 0.011284406411633117
986, 1183, 0.011108838682089011
557, 631, 0.008408772307186571
1715, 1795, 0.008252481642051406
5, 95, 0.00805528379949108
395, 516, 0.007311965533410897
1315, 1416, 0.006570354734128972
1719, 1814, 0.006372332131103875
1705, 1814, 0.006155519127956243
1265, 1381, 0.0056766580937164125
1501, 1610, 0.0053746263874994565
1481, 1576, 0.00527204211599074
557, 681, 0.005138721901402525
583, 659, 0.005047433582109696
986, 1381, 0.004383844434724601
1340, 1416, 0.003960271109661954
972, 1068, 0.0035649171540748604
557, 904, 0.003452091620982745
371, 464, 0.0034189143759336587
1150, 1381, 0.003406959576805009
834, 904, 0.0033863472443358394
1238, 1381, 0.003058233629561851
986, 1416, 0.0028612321215388025
1695, 1795, 0.002495747044370645
810, 891, 0.002492280208520549
1671, 1814, 0.0023956736915706246
1877, 2025, 0.0023642505527546936
1150, 1416, 0.002223681757265539
795, 904, 0.0021603570080892145
1715, 1814, 0.0019971321703266542
1315, 1381, 0.0019290982874819596
1265, 1416, 0.0019234491051502948
1877, 1941, 0.0019046025704142118
1877, 2094, 0.00187976001192051
