Gene = TFB2M
index = 1395
Annotated 5SS: [  499  1979  8944  9752 15112 17780 21804]
Annotated 3SS: [ 1889  8789  9602 15021 17716 21642 25121]
SMsplice 5SS: [  499 17780 21804 25387]
SMsplice 3SS: [17716 21642 25121 25547]
length: 25765
Partition function (logZ) = -8.16995178809006
#Introns = 2099
5SS, 3SS, prob
17780, 21642, 0.719342228995624
499, 1889, 0.5391626968449651
21804, 25121, 0.46060938515103667
25387, 25547, 0.350530585386269
9752, 17716, 0.2536312122217311
18038, 21642, 0.2006974873455412
17780, 17893, 0.17669151453458828
21804, 24821, 0.16926855740291016
8944, 9602, 0.1339795500403884
8944, 17716, 0.11911578150547811
21804, 25547, 0.11744509585984954
12376, 17716, 0.11513805298370129
9421, 9602, 0.08215047917082967
10105, 17716, 0.07469313275215442
499, 6507, 0.07398271459275815
11171, 17716, 0.06408139990125647
15112, 17716, 0.06318455656387167
9752, 15021, 0.06318455656387167
7798, 9602, 0.06199841209103879
24918, 25121, 0.060970158415251184
2000, 6507, 0.059466727396196066
7798, 8789, 0.05877454116077708
499, 8789, 0.057661825840560475
2000, 8789, 0.05635150622686949
7798, 17716, 0.05622031511349286
153, 264, 0.05519162591216616
6600, 8789, 0.05080364563230065
9313, 9602, 0.05024453860027003
21804, 24534, 0.04974061721711554
6600, 17716, 0.04819359805357953
9421, 17716, 0.0461266478117916
6600, 9602, 0.0433261827478385
499, 17716, 0.04227782044967868
17780, 25121, 0.041042049133654335
2000, 17716, 0.040678005042295205
8944, 9126, 0.040227539057359124
499, 7735, 0.039839568772929844
1798, 1889, 0.03973489266475026
8944, 9217, 0.037662315413814144
1979, 6507, 0.0328493778636086
9752, 12197, 0.031108357132437436
1979, 8789, 0.031093077526934892
2000, 7735, 0.030055500613802202
9752, 12172, 0.029796144962661787
9752, 9880, 0.028951710628712705
499, 9602, 0.02890425512218001
2000, 9602, 0.02775851228813171
153, 335, 0.027611408821738983
24604, 25121, 0.02742969792191275
2026, 6507, 0.026387353786526502
9313, 17716, 0.026047173032671657
2026, 8789, 0.02496465253322514
8669, 8789, 0.024088091888396213
499, 1752, 0.021788932192713842
6600, 7735, 0.021586073331346184
8988, 17716, 0.02136388652369171
21804, 25004, 0.020601538810807514
499, 7732, 0.019624666600423106
6641, 8789, 0.01904256530145902
499, 7456, 0.018671880791745546
17780, 17846, 0.01818196015387923
9752, 10759, 0.017057660515231318
1979, 17716, 0.01597547462579644
1979, 9602, 0.015328023611051156
9752, 9835, 0.015246663078041128
17780, 24821, 0.014951683792705799
2000, 7732, 0.014817009875924797
7798, 9217, 0.014206997231794746
21804, 24710, 0.014189958621799783
2000, 7456, 0.014054059935886626
8944, 12197, 0.014016978596707433
24604, 24821, 0.013841924780585928
8944, 12172, 0.013424547798488978
1979, 7735, 0.013151454857135994
21804, 21896, 0.01307402456228723
8988, 9126, 0.012876058895115979
7798, 9126, 0.012752314656235195
2026, 17716, 0.012728295375089864
21804, 22583, 0.01258645887865629
2026, 9602, 0.012323581903143546
5208, 8789, 0.012205878494043006
6600, 9217, 0.012196235767541856
499, 6146, 0.012177931591391144
499, 1909, 0.012072719237119663
21804, 22077, 0.011869683855576723
7870, 8789, 0.01184992946000529
2000, 9217, 0.011460186630614228
24922, 25121, 0.01106477158001098
9752, 9950, 0.010996415082168188
6600, 9126, 0.010963380960659203
25387, 25668, 0.010763034033767395
3790, 8789, 0.01072595882376926
6600, 7456, 0.01058982982545825
2026, 7735, 0.010573641794272778
17780, 25547, 0.010440591581732016
25635, 25761, 0.010319973591842968
5208, 6507, 0.010115513419033034
2000, 9126, 0.010053564634954878
25635, 25731, 0.009982058565982131
15, 264, 0.009811331901869884
6376, 6507, 0.009806961948648593
24918, 25547, 0.00976326167989809
8944, 10759, 0.00933728062751707
3790, 6507, 0.00904295104755838
8944, 9054, 0.008863523053812243
499, 5116, 0.00840196141531022
8988, 9217, 0.00838513077226568
1979, 7732, 0.00818183175185717
111, 264, 0.008148473499531753
21804, 24221, 0.00807655157155548
15, 335, 0.007971228721008031
6600, 7732, 0.007858318527512951
25387, 25526, 0.007760780569922597
1979, 7456, 0.007758821896683057
21903, 25121, 0.006778772699906269
499, 12197, 0.006715195099094696
111, 335, 0.006661966968196636
2026, 7732, 0.006578113152112874
499, 12172, 0.006431375846229187
499, 1784, 0.00634098130080995
2026, 7456, 0.006230818844785419
22713, 25121, 0.006020583461595455
8944, 9880, 0.005975779829177131
7798, 8850, 0.005748025373575239
9752, 12341, 0.00573698396132949
499, 1708, 0.005718844408415446
1979, 9126, 0.005547889748963978
6329, 6507, 0.005545550832805334
499, 3732, 0.005544829138191123
2000, 8850, 0.0054528110638217145
4117, 8789, 0.0054346162597712615
24918, 25004, 0.0053298545342538774
499, 8850, 0.005301235082937702
2000, 6146, 0.005203396026673478
499, 1680, 0.0051682084410982895
499, 3709, 0.005139517456145968
10105, 10759, 0.0050511178387694445
7798, 10759, 0.004993999112184781
21804, 24124, 0.004877973901790699
6600, 8850, 0.004872973191990983
18038, 25121, 0.004866988356722232
21804, 25383, 0.0048034375579719645
6641, 7735, 0.004638100079041013
4117, 6507, 0.004513564418126321
1979, 9217, 0.004481573081794785
2026, 9126, 0.004453136592180406
24604, 25547, 0.004409907185897415
7798, 12172, 0.004356775965106822
499, 4067, 0.004341146657328908
6376, 8789, 0.004254980947662873
6600, 10759, 0.004214626993643485
25290, 25547, 0.004212107940048906
2000, 5116, 0.004212029591829255
21804, 25668, 0.004162090812549837
6641, 9126, 0.004069393698069303
499, 1797, 0.003987245675801059
9421, 10759, 0.003921912634808844
6641, 7456, 0.00392069868998788
4625, 8789, 0.003910588722117457
5885, 8789, 0.0038691044185616714
3311, 8789, 0.0037771614560979275
6329, 8789, 0.003621543089992789
2026, 9217, 0.0036031411700463787
5885, 6507, 0.0036008747236890796
10105, 12172, 0.0035570676652712406
2000, 10759, 0.003493899836239522
499, 3240, 0.003489041045427865
499, 4507, 0.003399540371633309
499, 5807, 0.003287286541223778
3311, 6507, 0.003253407510843099
4625, 6507, 0.0032224201880477732
7536, 8789, 0.003211901068554884
153, 358, 0.003211476066775649
499, 9217, 0.0031482670758601057
499, 3694, 0.0031267117988384246
9313, 10759, 0.003071751842228675
1979, 8850, 0.0030091079000943094
499, 8389, 0.0029603167495507723
499, 1309, 0.0029435918822829196
499, 8348, 0.0028762087559039405
1979, 6146, 0.002875782830745497
7798, 9880, 0.002852808667578916
499, 9126, 0.00274080471411133
9421, 9880, 0.0026496819775963694
2000, 3732, 0.0025975291691205885
5208, 7456, 0.0025630354586748685
499, 7559, 0.0025072596826698694
499, 8317, 0.0024913408653285648
1798, 6507, 0.002476576230258804
6600, 9880, 0.0024700627477731996
2026, 8850, 0.002416010451562107
2000, 3709, 0.0023975045628266693
25635, 25739, 0.002386196248193857
8988, 10759, 0.002352062095256553
1979, 5116, 0.0023285831975335576
2026, 6146, 0.002309273797599194
3790, 7456, 0.0022858577068876162
8944, 9835, 0.002167711213911248
247, 335, 0.002155257501541654
2000, 8389, 0.0020998124838714598
7565, 8789, 0.002092107380835896
2000, 9880, 0.002053521057035427
2000, 8348, 0.0020401529845696367
7798, 8348, 0.0020291587501962112
1798, 8789, 0.002008066379253308
9313, 9880, 0.001988923164964458
2000, 4067, 0.0019761288782459007
17780, 19421, 0.0019106270874695566
499, 6512, 0.0018848991974368574
1979, 10759, 0.0018750166622264486
2026, 5116, 0.0018685628975143554
6641, 8850, 0.0018210931043309937
137, 264, 0.0018142744281376068
499, 5052, 0.0018133326725457734
2000, 8796, 0.001715821615061791
2000, 8317, 0.0016372747988577618
130, 264, 0.0016200707282681944
499, 1659, 0.001619367948697802
6673, 8789, 0.0016087901052463391
24604, 24710, 0.0015969427710765373
7798, 8796, 0.0015809301485253217
6641, 10759, 0.0015623583937335779
2000, 5807, 0.0015585529180897925
2000, 4507, 0.001536110927367364
2000, 3240, 0.001512041887428173
2026, 10759, 0.0015073845656339313
2000, 7559, 0.0014655614634117927
2000, 3694, 0.0014590271902493767
