Gene = TTF2
index = 1510
Annotated 5SS: [   72   255  2171 13425 15557 15992 16521 17741 19347 21645 23866 26220
 28680 29906 30321 31108 31648 32599 35065 35997 37131 38605]
Annotated 3SS: [  151  2083 13357 14566 15876 16337 17612 19264 21524 23714 26113 28497
 29751 30228 31024 31513 32427 35005 35845 37047 38529 41076]
SMsplice 5SS: [   72   255  2171 14718 15992 16521 17741 19347 21645 23866 24742 26220
 27668 28680 30321 31648 35997 38605 38780]
SMsplice 3SS: [  151  2083 14566 15876 16337 17591 19264 21524 23714 24650 26113 27604
 28497 30228 31513 35845 38529 38672 41076]
top_k =  1000
Partition function (log Z): 24.765079219052865

Sorted 5' Splice Sites (High to Low Probability):
Position 72: 0.9984519171365603
Position 35997: 0.9863691296372236
Position 19347: 0.980802886544526
Position 15992: 0.9610390057930734
Position 255: 0.95022800524475
Position 38605: 0.9484054252504577
Position 30321: 0.907394285580607
Position 14718: 0.8730314892090205
Position 17741: 0.8257531116603498
Position 26220: 0.8072683553620873
Position 28680: 0.747760149889161
Position 2171: 0.7312346048159415
Position 24742: 0.7301372739361266
Position 31648: 0.7156118293710106
Position 23866: 0.7021867717988135
Position 16521: 0.6919362685062799
Position 21645: 0.6652681340535795
Position 32599: 0.6188575123428177
Position 27668: 0.5785096187266046
Position 17513: 0.4458073956545132
Position 31108: 0.37040118571710656
Position 38780: 0.3673585440870423
Position 38829: 0.3546652186894823
Position 37131: 0.31561726897092945
Position 13564: 0.30191645428481156
Position 15557: 0.2812102899094742
Position 2243: 0.2604309579292814
Position 25901: 0.25450403601338795
Position 13425: 0.218417289865251
Position 25236: 0.21560072572143332
Position 26200: 0.1783783734276971
Position 35149: 0.17328961980566673
Position 35065: 0.17058373160243723
Position 37855: 0.14382726090322595
Position 37936: 0.13940230870304973
Position 27764: 0.12597402425720755
Position 16563: 0.12288081474891274
Position 42693: 0.11633534282159377
Position 17703: 0.11495343957325396
Position 20500: 0.10912178524443512
Position 31385: 0.09055859398223332
Position 12933: 0.08300843506438164
Position 4733: 0.07663690575431598
Position 16645: 0.071204782389559
Position 34943: 0.06951927052925216
Position 24613: 0.06694378118975547
Position 15006: 0.06651839658379982
Position 16487: 0.061729644464307475
Position 14712: 0.059078566172168334
Position 28395: 0.056334858563466594
Position 24543: 0.05541924825610427
Position 30382: 0.054964645437793426
Position 28598: 0.04899710327281592
Position 259: 0.04705314121783817
Position 39645: 0.045516381909696625
Position 14194: 0.04367166860722571
Position 29906: 0.04256854573717481
Position 23507: 0.04252380541161689
Position 25850: 0.04196808245944936
Position 41260: 0.04068924103862783
Position 34520: 0.04038621175934458
Position 18334: 0.03904035692368651
Position 14663: 0.03657685526631775
Position 15494: 0.03593240795956987
Position 17195: 0.034795788476572366
Position 26479: 0.03443178323545759
Position 25887: 0.02998833748009969
Position 32379: 0.028554253787144185
Position 33191: 0.02835896381671088
Position 15587: 0.026631145493471994
Position 16582: 0.025585611320516684
Position 25654: 0.02552807327951144
Position 32882: 0.023656234832251925
Position 17153: 0.02299884977606486
Position 3231: 0.02276438921858151
Position 5113: 0.022076572031221948
Position 6120: 0.02138167072171831
Position 16242: 0.021238899120288125
Position 31957: 0.020786983582962822
Position 10314: 0.01904192391359464
Position 41161: 0.018260754697236436
Position 27866: 0.018133226246881625
Position 29603: 0.01770598802195969
Position 17980: 0.01686511050100057
Position 34308: 0.015514478608002893
Position 37048: 0.015035575187668834
Position 12398: 0.01458104335413369
Position 40763: 0.013977163278716644
Position 21389: 0.013227821639646708
Position 37255: 0.01313713356560214
Position 21806: 0.012452283402827141
Position 21192: 0.01117973515622743
Position 19541: 0.010782083003248392
Position 9247: 0.010124139141383534
Position 24124: 0.009909029758187774
Position 2795: 0.009719904548764207
Position 33506: 0.009413639993741134
Position 28020: 0.00938329189541511
Position 15306: 0.009326205469392043
Position 23310: 0.00894360002779955
Position 5925: 0.008902232193929284
Position 33443: 0.008851892243465859
Position 28721: 0.008822012185963122
Position 9301: 0.008777855355319332
Position 21240: 0.008486427124028209
Position 43268: 0.008426448126504666
Position 35964: 0.008337469650970944
Position 7797: 0.007571754755830147
Position 33018: 0.007569676035003955
Position 16021: 0.00710153773721579
Position 27827: 0.0068513348791599035
Position 35257: 0.006398576856477447
Position 5458: 0.006267193421551577
Position 39844: 0.00623096056823143
Position 36355: 0.0059904335269307125
Position 2496: 0.005849486451623063
Position 34895: 0.005830575548784212
Position 32345: 0.005796770362792252
Position 17487: 0.0056593187010618206
Position 21148: 0.005596593113305693
Position 34304: 0.00528379174961446
Position 8026: 0.005172244410240237
Position 16454: 0.0050506882678151765
Position 16659: 0.00494410645751632
Position 29833: 0.004783022156656575
Position 15480: 0.004635947681755677
Position 30082: 0.00415257708375177
Position 20373: 0.004119988049020442
Position 15464: 0.004023843122882993
Position 15053: 0.0037726970069206695
Position 19525: 0.003736227588222716
Position 17323: 0.0037347558179530614
Position 31327: 0.0036551759250575445
Position 25526: 0.0035662749160149617
Position 20389: 0.003318651854954698
Position 15920: 0.003062925595853431
Position 39199: 0.00297583744326121
Position 25922: 0.002761981253831386
Position 1544: 0.0027095922343123705
Position 30151: 0.0026702767149472647
Position 20083: 0.0025864776353388126
Position 20334: 0.002482653917780671
Position 27630: 0.002247672921087048
Position 16443: 0.0022162677378948495
Position 15717: 0.0022081881766551348
Position 37782: 0.0020750957302785797
Position 21279: 0.0020624849444703737
Position 14958: 0.002026024214109543
Position 19450: 0.001977725682864678
Position 36311: 0.0019256744420910296
Position 40777: 0.0019119884625404347
Position 816: 0.0018598985114989732
Position 25070: 0.001850421987724856
Position 40606: 0.0018380352136772471
Position 33289: 0.0018153308920244035
Position 34487: 0.0017991119672945946
Position 43830: 0.0017415077911368416
Position 28684: 0.0017122181788999395
Position 16506: 0.0015740086858213593
Position 16793: 0.0015383804914272828
Position 18155: 0.0015051320534595633
Position 24526: 0.001493599704641862
Position 15958: 0.001343559149704747
Position 28594: 0.0013167816919471525
Position 20586: 0.0013003735391000036
Position 35178: 0.0012734823711224317
Position 25926: 0.0012258884762919276
Position 31787: 0.0012142170983739816
Position 39027: 0.001175005811062165
Position 32291: 0.001165921052389301
Position 39243: 0.0011011039097917187
Position 32910: 0.0010932191852684285
Position 20804: 0.001083364506378084
Position 37286: 0.0010507353466348245
Position 993: 0.0010338447309231962
Position 28702: 0.0010228806210765312
Position 241: 0.0010122318714137454
Position 4368: 0.0009610097200649295
Position 19131: 0.0009595377366177279
Position 26319: 0.0009417486831005697
Position 4494: 0.000933862545933961
Position 1685: 0.0009112853945702742
Position 38573: 0.0009064286118734056
Position 53: 0.0008233340889473043
Position 19356: 0.0008223231176628217
Position 1034: 0.0008101725697005139
Position 28401: 0.0007431952059253214
Position 1977: 0.0007316662844907164
Position 953: 0.0006903591007822925
Position 24893: 0.0006894475898761294
Position 17205: 0.0006578885669224834
Position 42811: 0.0006547938110099402
Position 27831: 0.0005864771426741948
Position 38960: 0.0005688090857952759
Position 14828: 0.0005613456086307994
Position 1895: 0.0005427116457999545
Position 1460: 0.0005339307259496511
Position 18051: 0.0005040734510482754
Position 18629: 0.00048551950238843046
Position 27882: 0.000468514757821656
Position 881: 0.000462353438797987
Position 4479: 0.0004607412218384652
Position 906: 0.0004555352167665065
Position 19498: 0.0004536752289610658
Position 2499: 0.0004532955960617755
Position 38791: 0.0004462295223116993
Position 18608: 0.00044340060970234486
Position 16415: 0.0004311627507561554
Position 353: 0.0004124101886602492
Position 58: 0.0003924692799916735
Position 11947: 0.00038615469740342813
Position 17711: 0.0003585566160140247
Position 1891: 0.00034682759520894855
Position 22188: 0.0003358365660741446
Position 28763: 0.0003266892694544741
Position 1315: 0.00032346798335116875
Position 19766: 0.0003113292749967027
Position 18347: 0.00030714448318748674
Position 5812: 0.0002937679166142274
Position 37792: 0.0002929811151696818
Position 29644: 0.00028852834322184057
Position 982: 0.0002824931085106638
Position 17417: 0.000279401661708261
Position 29328: 0.0002627404888535141
Position 40278: 0.0002608900900643187
Position 24196: 0.00023307073376241117
Position 2483: 0.00023042302020947415
Position 19603: 0.00022984782249062683
Position 603: 0.00022779303235486475
Position 19808: 0.00021974794860822675
Position 3644: 0.0002156648026114676
Position 29914: 0.0002019294163486485
Position 3557: 0.00018376045977113478
Position 1162: 0.00017187992245615885
Position 4812: 0.0001706923386814426
Position 30569: 0.0001639838865929411
Position 21143: 0.00016063136095233904
Position 36170: 0.00015469363732560558
Position 20623: 0.0001363736226510624
Position 19483: 0.00013346120978196995
Position 20676: 0.00013285983857793274
Position 2416: 0.00013149255040315316
Position 231: 0.00012700368245704223
Position 3551: 0.00011626856698223848
Position 395: 0.00010814699894709075
Position 1199: 9.073515630680854e-05
Position 17189: 8.832314721487048e-05
Position 19555: 8.657009574606515e-05
Position 19732: 8.32142972051344e-05
Position 214: 7.69604558490606e-05
Position 23801: 7.113716328476966e-05
Position 5081: 6.434245454350643e-05
Position 3479: 6.377046307250408e-05
Position 1554: 6.314469144672728e-05
Position 2964: 6.0089954241809377e-05
Position 1242: 5.695680089717728e-05
Position 2629: 5.381291282952322e-05
Position 36595: 5.3097963786920765e-05
Position 1325: 4.8965167866520065e-05
Position 85: 4.703035750706906e-05
Position 1194: 4.40202120802471e-05
Position 35817: 4.151315431236312e-05
Position 36536: 4.1035759715297605e-05
Position 4609: 3.9572333865872414e-05
Position 23043: 3.93080879966769e-05
Position 499: 3.483961469506545e-05
Position 21137: 2.9847060844343097e-05
Position 1216: 2.6857731529116898e-05
Position 516: 2.4965874929694547e-05
Position 30393: 2.213003213816605e-05
Position 19944: 2.1557376095200983e-05
Position 327: 2.0826788783566014e-05
Position 418: 2.0019612534645733e-05
Position 373: 1.9601362281380267e-05
Position 671: 1.9125463516015443e-05
Position 1043: 1.8957856431210873e-05
Position 31644: 1.7215714643410357e-05
Position 1187: 1.7047794628160745e-05
Position 30771: 1.5424543850636875e-05
Position 60: 1.3092489064883805e-05
Position 30795: 1.291928782284338e-05
Position 1971: 1.2596132525344913e-05
Position 1172: 1.2124756372407465e-05
Position 1227: 1.0810595121351386e-05
Position 1274: 1.0574679398759916e-05
Position 30323: 1.0553971629770043e-05
Position 2920: 1.0411698127040902e-05
Position 829: 9.735555346045784e-06
Position 371: 9.53579514828509e-06
Position 3083: 9.010414604176076e-06
Position 2198: 8.844702641410206e-06
Position 2539: 8.637374029724463e-06
Position 1997: 6.46439955242648e-06
Position 1951: 6.361005674811509e-06
Position 1370: 5.235909928695932e-06
